Taxon	200SP1.16S.V3.V4	200SP2.16S.V3.V4	200SP3.16S.V3.V4	200SP4.16S.V3.V4	300SP1.16S.V3.V4	300SP2.16S.V3.V4	300SP3.16S.V3.V4	300SP4.16S.V3.V4	500SP1.16S.V3.V4	500SP2.16S.V3.V4	500SP3.16S.V3.V4	500SP4.16S.V3.V4	600SP1.16S.V3.V4	600SP2.16S.V3.V4	600SP3.16S.V3.V4	600SP4.16S.V3.V4	800SP1.16S.V3.V4	800SP2.16S.V3.V4	800SP3.16S.V3.V4	800SP4.16S.V3.V4	900SP1.16S.V3.V4	900SP2.16S.V3.V4	900SP3.16S.V3.V4	900SP4.16S.V3.V4	1000SP1.16S.V3.V4	1000SP2.16S.V3.V4	1000SP3.16S.V3.V4	1000SP4.16S.V3.V4	1100SP1.16S.V3.V4	1100SP2.16S.V3.V4	1100SP3.16S.V3.V4	1100SP4.16S.V3.V4	1200SP1.16S.V3.V4	1200SP2.16S.V3.V4	1200SP3.16S.V3.V4	1200SP4.16S.V3.V4	1300SP1.16S.V3.V4	1300SP2.16S.V3.V4	1300SP3.16S.V3.V4	1300SP4.16S.V3.V4	1400SP1.16S.V3.V4	1400SP2.16S.V3.V4	1400SP3.16S.V3.V4	1400SP4.16S.V3.V4	1500SP1.16S.V3.V4	1500SP2.16S.V3.V4	1500SP3.16S.V3.V4	1500SP4.16S.V3.V4
k__Archaea;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09731543624e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0549071182e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.98144412065e-05	0.0	0.0	0.0	0.0	6.02990834539e-05	0.0	0.0	0.0	0.0	3.77401215232e-05	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota	5.13544742586e-05	0.0	0.000106213489113	0.0	0.000652457590257	8.67152271939e-05	3.5336937701e-05	0.0	0.000310060038898	0.000163375811044	5.09035377959e-05	4.48299822922e-05	0.00291981199259	0.0019505033557	0.00295107123886	0.00474454666435	0.00125543215838	0.000490264742961	0.00261015232381	0.000877376227282	0.00320539163311	0.00180092182778	0.00277742169807	0.00223984875884	0.000884539901042	0.00148632580262	0.000961025093433	0.0032749716589	0.00021931748399	0.000132718404725	0.000359712230216	0.000862254796292	0.00166878378042	0.000256512569116	0.00107508819083	0.00145398984671	0.00030898370111	0.00030149541727	0.00033706918345	0.000295712173484	0.000179823772703	0.000186699525783	0.000452881458278	0.000133014099495	0.00044636214849	0.00190390138436	0.00102669404517	0.000871839581517
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.45618287905e-05	4.66788031555e-05	0.0	2.24149911461e-05	0.000118691544414	8.38926174497e-05	0.000177064274332	0.000867904877625	0.000289715113472	0.0	0.000545404963185	0.0	0.000739705761486	0.000183144592656	0.000534119557322	0.000719217491369	0.000276418719076	0.000198176773682	0.000192205018687	0.000529033883361	8.77269935959e-05	9.95388035436e-05	0.000119904076739	0.000251490982252	0.000473237191462	0.000114005586274	0.000503947589451	0.000345014539898	2.57486417591e-05	0.0	0.000168534591725	3.28569081649e-05	4.49559431757e-05	7.46798103133e-05	0.000264180850662	6.65070497473e-05	0.000223181074245	0.000225886604924	0.000280007466866	0.000167661457984
k__Archaea;p__[Parvarchaeota]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.90214247772e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13647822929e-05	0.0	2.76418719076e-05	4.95441934205e-05	0.0	5.03841793677e-05	0.0	0.0	3.99680255795e-05	3.59272831788e-05	4.98144412065e-05	8.55041897053e-05	0.0	0.0	0.0	6.02990834539e-05	8.42672958625e-05	6.57138163299e-05	0.0	0.0	0.0	0.0	4.95957942766e-05	0.000129078059957	0.0	0.0
k__Bacteria;Other	0.000282449608422	0.000288898060256	0.000265533722783	0.000427298254181	0.00184862983906	0.000780437044745	0.000954097317926	0.000526355365065	0.000676494630324	0.000583485039444	0.000967167218122	0.000963844619281	0.0011157005175	0.000776006711409	0.0025969426902	0.00133078747903	0.000676001931434	0.000910491665499	0.000818107444778	0.000877376227282	0.00254787540067	0.000518909679192	0.00117506302611	0.000863060989643	0.000718688669597	0.00094133967499	0.000640683395622	0.000806146869883	0.00100886042635	0.00119446564252	0.000959232613909	0.00111374577854	0.00171859822162	0.00131106424215	0.00191500083991	0.00150327763813	0.00102994567037	0.000723589001447	0.0006741383669	0.000952850336783	0.000584427261284	0.000373399051566	0.00083028267351	0.000465549348231	0.00123989485692	0.00132305011456	0.00130670151204	0.00171014687144
k__Bacteria;p__AD3	0.000128386185646	0.000206355757326	0.000238980350505	0.000366255646441	0.00141365811222	0.00173430454388	0.000848086504823	0.000902323482969	0.00121205287933	0.000956915464687	0.00162891320947	0.00154663438908	0.00455775530551	0.00335570469799	0.00908929941569	0.00804258519933	0.00444229840657	0.000770416024653	0.014414274027	0.00238144975977	0.00101367085833	0.00134306034614	0.00412340298252	0.00168502383692	0.000525195566244	0.000445897740785	0.000256273358249	0.00105806776672	0.000789542942363	0.000298616410631	3.99680255795e-05	0.000862254796292	0.00194276320705	0.000484523741663	0.00141105325046	0.00115826309823	0.000180240492314	0.0015677761698	0.00235948428415	0.0012157056021	0.000854162920338	0.00227773421456	0.00158508510397	0.000665070497473	0.00111590537122	0.00839007389719	0.00155559703814	0.004158004158
k__Bacteria;p__Acidobacteria	0.251200410836	0.247957078002	0.254965480616	0.257843975095	0.260439321444	0.271852237253	0.245803738648	0.267689299947	0.313019702906	0.284367268823	0.306871977602	0.359558872974	0.263590181835	0.200062919463	0.285191524523	0.292831105711	0.299082568807	0.254517439417	0.282324983443	0.383288071861	0.289224952741	0.350050364763	0.287121309234	0.327202860431	0.316582358957	0.345446888625	0.354789108382	0.37130620985	0.332923940697	0.384617936892	0.389448441247	0.327153840627	0.369797504296	0.360685173574	0.357735595498	0.30585538962	0.359734274017	0.338036661843	0.33462543187	0.405684245113	0.336135587125	0.349762891602	0.308110352115	0.332202713488	0.350369488667	0.34415437736	0.359654035219	0.318791496211
k__Bacteria;p__Actinobacteria	0.216048273206	0.244490301279	0.199761019649	0.188377487486	0.319812962157	0.266215747485	0.289974910774	0.218663057373	0.217436649097	0.218223404752	0.22448460168	0.171250532356	0.143379385653	0.26495385906	0.111019300006	0.144419371637	0.19806856591	0.313069057291	0.175191865675	0.158596198036	0.148324703433	0.14788925857	0.159488099816	0.186338977478	0.14722060978	0.116156361474	0.15664709023	0.120166267792	0.142424774103	0.104449384518	0.130615507594	0.14952935259	0.113601833171	0.106167702217	0.0966571476566	0.127285721327	0.15719545794	0.167149059334	0.177972528862	0.122819122721	0.150782233411	0.166423957283	0.171528852323	0.18941207768	0.129593810445	0.0880635064055	0.128678986995	0.135939910133
k__Bacteria;p__Armatimonadetes	0.000231095134164	0.000206355757326	0.000212426978226	0.0	0.000217485863419	0.000780437044745	0.000141347750804	0.000150387247161	0.000591932801533	0.000256733417355	0.000254517688979	0.000156904938023	0.000356074633243	0.000251677852349	0.000236085699109	0.0006943239021	0.000676001931434	0.000350189102115	0.000623319957926	0.000250678922081	0.000794498780855	0.000244192790208	0.000277742169807	0.000226039783002	0.000442269950521	0.000371581450654	0.000427122263748	0.000529033883361	0.000526361961576	0.000464514416537	0.000999200639488	0.000682618380398	0.000772123838701	0.000484523741663	0.000537544095414	0.000468234018434	0.00030898370111	0.000241196333816	0.000252801887587	0.000591424346969	0.000134867829527	0.00033605914641	0.000377401215232	0.000199521149242	0.000272776868522	0.000225886604924	0.000404455229917	0.000502984373952
k__Bacteria;p__BHI80-139	0.0	4.12711514651e-05	5.31067445566e-05	0.0	0.0	0.0	3.5336937701e-05	0.0	2.81872762635e-05	2.33394015777e-05	2.54517688979e-05	4.48299822922e-05	0.0	4.19463087248e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.73965096847e-05	0.0	4.27295645857e-05	0.0	5.52837438151e-05	0.0	0.0	0.0	0.0	0.0	0.000119904076739	0.0	0.0	0.0	0.0	2.4643895707e-05	2.57486417591e-05	0.0	0.0	0.0	0.0	0.0	3.77401215232e-05	0.0	0.0	0.0	0.0	0.0
