Tray_number,contents,tray_weight_g,trayandsoil_moist_g,trayandsoil_dry_g
5,300,5.98,17.79,17.03
6,500,6,22.93,20.08
9,300,5.89,22.5,21.3
4,500,6.02,30.36,25.84
7,800,6.12,29.64,26.2
8,800,5.83,26.73,23.38
15,800,5.57,23.45,19.05
28,800,5.96,28.03,24.28
29,1400,5.94,27.05,20.8
31,200,6.23,37.4,32.54
32,200,5.93,27.1,24.16
34,1400,6.05,20.32,15.37
30,summit,6.04,25.65,17.32
35,summit,6.07,25.79,19.23
33,1400,5.91,24.04,18
1,1000,6.19,20.46,14.13
36,1000,5.96,25.42,16.4
21,1300,5.94,25.31,17.22
2,900,6.08,27.54,19.76
3,900,6.07,18.45,14.14
20,900,5.98,25.15,18.89
19,1100,6.23,22.13,15.66
14,1100,5.59,19.11,13.31
11,1100,5.91,24.39,17.73
12,1000,5.87,22.89,15.37
18,summit,5.52,26.85,19.6
13,summit,5.82,24.87,17.88
127,1400,5.93,19.88,15.28
10,200,5.85,29.59,26.18
23,200,5.91,24.64,21.97
26,600,5.95,18.96,15.02
22,600,5.91,21.28,18.14
25,1200,6.3,25.99,18.7
24,600,5.95,21.91,16.96
16,500,5.52,21.83,18.6
17,500,5.51,20.08,17.34
A,900,11.96,31.24,23.65
B,1300,11.98,35.09,28.45
C,300,11.96,35.79,34.45
D,600,11.98,31.6,26.03
E,1200,12.77,29.17,22.85
F,1200,12.83,34.23,29.93
G,1000,12.89,32.35,22.52
H,1200,NA,NA,NA
I,1100,11.31,24.73,18
J,1300,11.58,30.79,23.77
K,300,11.56,28.54,27.41
L,1300,11.6,31.92,25.46
