[Header]	
System	TOC-L	
S/W Version	1.00	
User		
Date/Time	5/07/2018 11:22:13 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal		1.00		2/07/2018 3:26:09 PM	1	1	TC	30.52	10.00	 	1	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal		1.00		2/07/2018 3:28:51 PM	1	2	TC	31.64	10.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal		1.00		2/07/2018 3:31:35 PM	1	3	TC	31.49	10.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal		1.00		2/07/2018 3:38:17 PM	2	1	TC	69.83	20.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal		1.00		2/07/2018 3:41:16 PM	2	2	TC	69.78	20.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal		1.00		2/07/2018 3:48:04 PM	3	1	TC	178.9	50.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal		1.00		2/07/2018 3:53:12 PM	3	2	TC	206.1	50.00	 	1	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal		1.00		2/07/2018 3:56:09 PM	3	3	TC	182.2	50.00	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal		1.00		2/07/2018 4:02:47 PM	4	1	TC	363.7	100.0	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal		1.00		2/07/2018 4:05:49 PM	4	2	TC	368.0	100.0	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal		1.00		2/07/2018 4:13:43 PM	1	1	IC	31.22	10.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal		1.00		2/07/2018 4:15:54 PM	1	2	IC	29.50	10.00	 	1	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal		1.00		2/07/2018 4:18:32 PM	1	3	IC	32.92	10.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal		1.00		2/07/2018 4:25:18 PM	2	1	IC	65.97	20.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal		1.00		2/07/2018 4:27:49 PM	2	2	IC	65.34	20.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal		1.00		2/07/2018 4:34:22 PM	3	1	IC	170.8	50.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal		1.00		2/07/2018 4:37:28 PM	3	2	IC	170.2	50.00	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal		1.00		2/07/2018 4:43:59 PM	4	1	IC	351.6	100.0	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal		1.00		2/07/2018 4:47:07 PM	4	2	IC	345.0	100.0	 	0	50	
Unknown	TOC	Untitled	50	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal	1.00		2/07/2018 4:55:10 PM	1	1	TC	96.98	26.15	TOC:25.47mg/L TC:25.92mg/L IC:0.4502mg/L	0	50	
Unknown	TOC	Untitled	50	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal	1.00		2/07/2018 4:57:58 PM	1	2	TC	97.20	26.21	TOC:25.47mg/L TC:25.92mg/L IC:0.4502mg/L	0	50	
Unknown	TOC	Untitled	50	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal	1.00		2/07/2018 5:00:42 PM	1	3	TC	94.24	25.41	TOC:25.47mg/L TC:25.92mg/L IC:0.4502mg/L	0	50	
Unknown	TOC	Untitled	50	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal	1.00		2/07/2018 5:03:16 PM	1	1	IC	1.888	0.5365	TOC:25.47mg/L TC:25.92mg/L IC:0.4502mg/L	0	50	
Unknown	TOC	Untitled	50	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal	1.00		2/07/2018 5:05:59 PM	1	2	IC	1.844	0.5239	TOC:25.47mg/L TC:25.92mg/L IC:0.4502mg/L	0	50	
Unknown	TOC	Untitled	50	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\IC Cal 10-100.2018_07_02_16_05_49.cal	1.00		2/07/2018 5:08:08 PM	1	3	IC	1.021	0.2901	TOC:25.47mg/L TC:25.92mg/L IC:0.4502mg/L	0	50	
Unknown	TOC	Untitled	51	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal	1.00		2/07/2018 5:13:45 PM	1	1	TC	103.5	27.90	TOC:27.22mg/L TC:27.67mg/L IC:0.4528mg/L	0	50	
Unknown	TOC	Untitled	51	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal	1.00		2/07/2018 5:16:32 PM	1	2	TC	102.9	27.74	TOC:27.22mg/L TC:27.67mg/L IC:0.4528mg/L	0	50	
Unknown	TOC	Untitled	51	C:\TOC-L\Methods\2018-07-02_TOC_HWC.met	C:\TOC-L\CalCurves\TC10-100ppm.2018_07_02_15_18_13.cal	1.00		2/07/2018 5:19:24 PM	1	3	TC	101.5	27.37	TOC:27.22mg/L TC:27.67mg/L IC:0.4528mg/L	0	50	
