Sample name,sample ID,TOC mg/L,TC mg/L,IC mg/L
summit_SP1_HWC_diluted1to20,50,25.47,25.92,0.4502
summit_SP2_HWC_diluted1to20,51,27.22,27.67,0.4528
1200m_SP1_HWC_diluted1to20,52,59.19,59.48,0.295
1100m_SP3_HWC_diluted1to20,53,29.3,29.53,0.2264
1000m_SP4_HWC_diluted1to20,54,50.03,50.4,0.3693
900m_SP3_HWC_diluted1to20,55,25.6,25.85,0.2514
200m_SP4_HWC_diluted1to20,56,18.17,18.82,0.6581
300m_SP1_HWC_diluted1to20,57,12.01,12.47,0.4613
1100m_SP1_HWC_diluted1to20,58,35.61,36.2,0.5912
summit_SP4_HWC_diluted1to20,59,27.35,27.81,0.4659
