	chao1
1100SP3-16S-V3-V4	1252.04225352
1300SP3-16S-V3-V4	1106.30357143
1500SP3-16S-V3-V4	1429.81578947
900SP1-16S-V3-V4	1672.26363636
600SP4-16S-V3-V4	1494.91071429
200SP4-16S-V3-V4	1014.125
1500SP2-16S-V3-V4	1418.29608939
300SP1-16S-V3-V4	796.010204082
1100SP2-16S-V3-V4	1283.36842105
500SP1-16S-V3-V4	1328.5443787
800SP4-16S-V3-V4	1510.50276243
1300SP2-16S-V3-V4	1098.34090909
300SP3-16S-V3-V4	1147.19594595
500SP3-16S-V3-V4	1267.29268293
900SP3-16S-V3-V4	1690.65816327
1400SP4-16S-V3-V4	943.105691057
1000SP4-16S-V3-V4	1567.52941176
1200SP4-16S-V3-V4	1694.39593909
900SP2-16S-V3-V4	1552.0
500SP2-16S-V3-V4	1451.22093023
1300SP1-16S-V3-V4	1328.55555556
1100SP1-16S-V3-V4	1494.52317881
1500SP1-16S-V3-V4	1492.6969697
300SP2-16S-V3-V4	928.19047619
600SP3-16S-V3-V4	1446.93965517
200SP3-16S-V3-V4	1369.125
800SP3-16S-V3-V4	1217.22818792
1100SP4-16S-V3-V4	1475.921875
800SP2-16S-V3-V4	924.045454545
1300SP4-16S-V3-V4	1293.69565217
1500SP4-16S-V3-V4	1500.72727273
200SP2-16S-V3-V4	1161.07142857
1400SP1-16S-V3-V4	1159.07142857
1200SP1-16S-V3-V4	1699.51948052
1000SP1-16S-V3-V4	1562.69911504
600SP2-16S-V3-V4	1687.29100529
1400SP3-16S-V3-V4	1216.79220779
1000SP3-16S-V3-V4	1483.83823529
1200SP3-16S-V3-V4	1752.12444444
300SP4-16S-V3-V4	1016.10135135
500SP4-16S-V3-V4	1308.25888325
800SP1-16S-V3-V4	1348.91304348
1000SP2-16S-V3-V4	1623.08064516
600SP1-16S-V3-V4	1857.51737452
1200SP2-16S-V3-V4	1734.1773399
900SP4-16S-V3-V4	1397.14814815
200SP1-16S-V3-V4	1476.31609195
1400SP2-16S-V3-V4	1276.44578313
