	goods_coverage
1100SP3-16S-V3-V4	0.988768984812
1300SP3-16S-V3-V4	0.976657959046
1500SP3-16S-V3-V4	0.989857507311
900SP1-16S-V3-V4	0.990876962275
600SP4-16S-V3-V4	0.980038187815
200SP4-16S-V3-V4	0.984983518496
1500SP2-16S-V3-V4	0.990190067443
300SP1-16S-V3-V4	0.978795128317
1100SP2-16S-V3-V4	0.990411095259
500SP1-16S-V3-V4	0.991882064436
800SP4-16S-V3-V4	0.985418842699
1300SP2-16S-V3-V4	0.983478051134
300SP3-16S-V3-V4	0.991731156578
500SP3-16S-V3-V4	0.993255281242
900SP3-16S-V3-V4	0.992159124899
1400SP4-16S-V3-V4	0.984703378558
1000SP4-16S-V3-V4	0.991132384431
1200SP4-16S-V3-V4	0.99058603184
900SP2-16S-V3-V4	0.989316565428
500SP2-16S-V3-V4	0.992438033889
1300SP1-16S-V3-V4	0.992146664263
1100SP1-16S-V3-V4	0.984033687166
1500SP1-16S-V3-V4	0.991444725487
300SP2-16S-V3-V4	0.980922650017
600SP3-16S-V3-V4	0.980818036947
200SP3-16S-V3-V4	0.992060541689
800SP3-16S-V3-V4	0.992792862986
1100SP4-16S-V3-V4	0.987389523604
800SP2-16S-V3-V4	0.984031376944
1300SP4-16S-V3-V4	0.990537210448
1500SP4-16S-V3-V4	0.987995439608
200SP2-16S-V3-V4	0.988609162196
1400SP1-16S-V3-V4	0.987187556195
1200SP1-16S-V3-V4	0.990784328377
1000SP1-16S-V3-V4	0.990352986704
600SP2-16S-V3-V4	0.992281879195
1400SP3-16S-V3-V4	0.989244065366
1000SP3-16S-V3-V4	0.992760277629
1200SP3-16S-V3-V4	0.986124643037
300SP4-16S-V3-V4	0.98090081961
500SP4-16S-V3-V4	0.994015197364
800SP1-16S-V3-V4	0.968034765814
1000SP2-16S-V3-V4	0.990908640507
600SP1-16S-V3-V4	0.991644115273
1200SP2-16S-V3-V4	0.988171920424
900SP4-16S-V3-V4	0.994225710998
200SP1-16S-V3-V4	0.99132109385
1400SP2-16S-V3-V4	0.988648668832
