1
19/07/2018 11:04:44 AM
Wavelength (nm)	Absorbance
220	0.448
221	0.415
222	0.393
223	0.376
224	0.348
225	0.330
226	0.317
227	0.303
228	0.298
229	0.297
230	0.295
231	0.290
232	0.293
233	0.296
234	0.300
235	0.309
236	0.316
237	0.323
238	0.334
239	0.348
240	0.359
241	0.368
242	0.378
243	0.390
244	0.408
245	0.422
246	0.429
247	0.441
248	0.455
249	0.466
250	0.475
251	0.482
252	0.489
253	0.495
254	0.505
255	0.511
256	0.508
257	0.510
258	0.507
259	0.503
260	0.500
261	0.501
262	0.498
263	0.491
264	0.486
265	0.473
266	0.462
267	0.453
268	0.438
269	0.420
270	0.406
271	0.392
272	0.379
273	0.364
274	0.353
275	0.341
276	0.329
277	0.318
278	0.303
279	0.286
280	0.273
281	0.261
282	0.243
283	0.229
284	0.214
285	0.198
286	0.186
287	0.172
288	0.156
289	0.141
290	0.129
291	0.114
292	0.099
293	0.088
294	0.078
295	0.068
296	0.060
297	0.053
298	0.048
299	0.041
300	0.036
301	0.033
302	0.026
303	0.025
304	0.022
305	0.020
306	0.018
307	0.023
308	0.020
309	0.020
310	0.022
311	0.020
312	0.019
313	0.017
314	0.013
315	0.009
316	0.007
317	0.005
318	0.005
319	0.005
320	0.007
321	0.007
322	0.010
323	0.012
324	0.011
325	0.010
326	0.006
327	0.003
328	0.003
329	0.000
330	0.001
331	-0.002
332	0.001
333	0.003
334	0.005
335	0.001
336	-0.001
337	-0.001
338	-0.002
339	-0.001
340	0.000
341	0.000
342	-0.002
343	-0.002
344	-0.002
345	-0.003
346	-0.003
347	-0.002
348	-0.004
349	-0.007
350	-0.007


2
19/07/2018 11:05:46 AM
Wavelength (nm)	Absorbance
220	2.629
221	2.540
222	2.465
223	2.411
224	2.362
225	2.315
226	2.278
227	2.242
228	2.219
229	2.202
230	2.187
231	2.169
232	2.152
233	2.136
234	2.111
235	2.095
236	2.086
237	2.086
238	2.089
239	2.100
240	2.104
241	2.111
242	2.121
243	2.135
244	2.140
245	2.146
246	2.157
247	2.165
248	2.177
249	2.189
250	2.196
251	2.198
252	2.212
253	2.224
254	2.221
255	2.218
256	2.212
257	2.188
258	2.172
259	2.157
260	2.144
261	2.125
262	2.103
263	2.077
264	2.048
265	2.015
266	1.970
267	1.930
268	1.886
269	1.849
270	1.813
271	1.777
272	1.734
273	1.694
274	1.655
275	1.617
276	1.574
277	1.525
278	1.480
279	1.431
280	1.388
281	1.344
282	1.299
283	1.251
284	1.204
285	1.161
286	1.118
287	1.073
288	1.027
289	0.983
290	0.938
291	0.896
292	0.851
293	0.813
294	0.770
295	0.728
296	0.695
297	0.664
298	0.640
299	0.610
300	0.584
301	0.558
302	0.536
303	0.513
304	0.489
305	0.468
306	0.448
307	0.434
308	0.416
309	0.400
310	0.390
311	0.377
312	0.362
313	0.350
314	0.337
315	0.321
316	0.309
317	0.298
318	0.284
319	0.276
320	0.268
321	0.258
322	0.243
323	0.233
324	0.220
325	0.208
326	0.194
327	0.176
328	0.163
329	0.147
330	0.136
331	0.122
332	0.109
333	0.098
334	0.086
335	0.071
336	0.053
337	0.038
338	0.026
339	0.011
340	0.000
341	-0.012
342	-0.024
343	-0.031
344	-0.041
345	-0.053
346	-0.067
347	-0.074
348	-0.084
349	-0.099
350	-0.110


5
19/07/2018 11:06:31 AM
