36
20/07/2018 9:11:50 PM
Wavelength (nm)	Absorbance
220	0.991
221	0.944
222	0.903
223	0.869
224	0.843
225	0.816
226	0.792
227	0.773
228	0.771
229	0.768
230	0.767
231	0.770
232	0.771
233	0.775
234	0.788
235	0.809
236	0.824
237	0.849
238	0.880
239	0.915
240	0.945
241	0.977
242	1.012
243	1.041
244	1.076
245	1.110
246	1.134
247	1.162
248	1.199
249	1.228
250	1.247
251	1.265
252	1.289
253	1.314
254	1.335
255	1.349
256	1.356
257	1.350
258	1.342
259	1.342
260	1.337
261	1.326
262	1.313
263	1.296
264	1.276
265	1.252
266	1.225
267	1.194
268	1.157
269	1.118
270	1.086
271	1.055
272	1.023
273	0.987
274	0.953
275	0.922
276	0.890
277	0.856
278	0.818
279	0.777
280	0.736
281	0.698
282	0.660
283	0.618
284	0.578
285	0.540
286	0.507
287	0.470
288	0.431
289	0.396
290	0.360
291	0.325
292	0.290
293	0.258
294	0.226
295	0.197
296	0.173
297	0.151
298	0.135
299	0.121
300	0.108
301	0.099
302	0.090
303	0.079
304	0.074
305	0.074
306	0.067
307	0.065
308	0.061
309	0.057
310	0.054
311	0.051
312	0.048
313	0.043
314	0.040
315	0.034
316	0.032
317	0.030
318	0.032
319	0.033
320	0.030
321	0.026
322	0.023
323	0.023
324	0.024
325	0.021
326	0.018
327	0.015
328	0.015
329	0.015
330	0.015
331	0.011
332	0.006
333	0.002
334	0.002
335	0.006
336	0.004
337	0.001
338	0.000
339	0.003
340	0.000
341	0.000
342	0.001
343	-0.004
344	-0.005
345	-0.006
346	-0.007
347	-0.009
348	-0.008
349	-0.008
350	-0.012
