sample_elevation,SQ
200,529.13037
200,596.66799
200,807.60536
200,520.58627
300,216.86405
300,220.40313
300,529.61515
300,326.11714
500,489.19839
500,592.79443
600,1777.41365
600,1082.04278
600,1316.19066
800,161.26404
800,498.70551
800,521.14231
800,584.04167
900,167.60283
900,624.98980
900,948.90297
900,960.46341
1000,433.49773
1000,640.95962
1000,872.09437
1000,2088.10210
1100,472.80122
1100,720.59971
1100,2264.44223
1100,515.39465
1200,568.46983
1200,488.24657
1200,1116.74457
1200,422.58453
1300,762.60481
1300,627.71717
1300,537.48581
1400,793.86927
1400,593.13145
1400,977.68592
1400,884.05957
1500,482.54403
1500,451.00752
1500,843.29641
1500,783.64305
