sample_elevation,SQ
200,22485.71095
200,11536.00863
200,14508.28004
200,20092.09437
300,599.1757227
300,6686.865933
300,6628.95273
300,11514.08266
500,20006.83134
500,20273.69239
500,7799.252529
500,17381.04489
600,16799.73764
600,28298.29502
600,24924.54215
600,7800.653044
800,9920.534646
800,2844.34416
800,15234.24898
800,11277.66531
900,8858.478601
900,15307.5997
900,20271.4337
900,2581.529493
1000,20066.61859
1000,30326.83297
1000,8453.519651
1000,13445.18569
1100,22303.60381
1100,18254.89019
1100,7413.843469
1100,24546.84838
1200,10542.82538
1200,33033.79512
1200,12547.68767
1200,15292.04097
1300,10215.03251
1300,10153.43975
1300,3381.502935
1300,15894.40199
1400,22549.35669
1400,19303.63586
1400,22861.27987
1400,7442.325841
1500,20421.70701
1500,25016.2882
1500,27650.93867
1500,15850.82068
