sample_elevation,SQ
200,19040.82627
200,21288.70637
200,14876.40216
200,29304.97646
300,7284.165459
300,9536.050402
300,7964.919587
300,14239.0555
500,23792.97367
500,24521.13253
500,9614.323692
600,40020.24728
600,30805.32513
600,123308.185
600,18487.83613
800,16368.42426
800,8596.227589
800,46613.16738
800,17883.17973
900,24644.1319
900,28297.782
900,79407.65814
900,8037.303584
1000,47564.89265
1000,109768.2815
1000,39277.05712
1000,37104.34389
1100,50032.43406
1100,51403.33077
1100,35062.89697
1100,32189.62592
1200,25546.70479
1200,61650.57049
1200,48060.0303
1200,52136.91623
1300,45922.86476
1300,27692.24246
1300,43240.65703
1300,43879.90036
1400,55035.63901
1400,62206.21794
1400,110828.2713
1400,30103.0465
1500,75661.1991
1500,61742.58637
1500,4461.37516
