sample_elevation,SQ
200,11188.73825
200,24305.43043
200,22707.53511
200,24376.59305
300,10399.65455
300,12341.24149
300,13656.10735
300,18517.13786
500,14816.59958
500,24184.84960
500,15751.82992
600,26121.48451
600,18439.02514
600,24090.04771
800,15380.95739
800,16069.63331
800,17080.13394
900,1535.12330
900,3681.16362
900,27353.73872
900,11583.12859
1000,14678.49653
1000,25430.98985
1000,36992.01738
1100,8989.19675
1100,24222.99079
1100,25072.28107
1100,8521.58167
1200,31323.49172
1200,22925.33149
1200,180356.88153
1200,20184.92952
1300,33558.18942
1300,24522.14051
1300,15457.41046
1400,39229.77647
1400,34498.56036
1400,20897.89907
1400,32574.38645
1500,41595.55173
1500,21423.44490
1500,44942.36242
1500,34954.61198
