	observed_species
1100SP3-16S-V3-V4	975
1300SP3-16S-V3-V4	765
1500SP3-16S-V3-V4	1151
900SP1-16S-V3-V4	1421
600SP4-16S-V3-V4	1230
200SP4-16S-V3-V4	763
1500SP2-16S-V3-V4	1161
300SP1-16S-V3-V4	603
1100SP2-16S-V3-V4	1040
500SP1-16S-V3-V4	1084
800SP4-16S-V3-V4	1175
1300SP2-16S-V3-V4	815
300SP3-16S-V3-V4	963
500SP3-16S-V3-V4	1054
900SP3-16S-V3-V4	1348
1400SP4-16S-V3-V4	729
1000SP4-16S-V3-V4	1288
1200SP4-16S-V3-V4	1325
900SP2-16S-V3-V4	1203
500SP2-16S-V3-V4	1147
1300SP1-16S-V3-V4	1071
1100SP1-16S-V3-V4	1057
1500SP1-16S-V3-V4	1193
300SP2-16S-V3-V4	737
600SP3-16S-V3-V4	1220
200SP3-16S-V3-V4	1127
800SP3-16S-V3-V4	1103
1100SP4-16S-V3-V4	1156
800SP2-16S-V3-V4	728
1300SP4-16S-V3-V4	1037
1500SP4-16S-V3-V4	1159
200SP2-16S-V3-V4	890
1400SP1-16S-V3-V4	870
1200SP1-16S-V3-V4	1404
1000SP1-16S-V3-V4	1294
600SP2-16S-V3-V4	1330
1400SP3-16S-V3-V4	954
1000SP3-16S-V3-V4	1203
1200SP3-16S-V3-V4	1374
300SP4-16S-V3-V4	799
500SP4-16S-V3-V4	1128
800SP1-16S-V3-V4	874
1000SP2-16S-V3-V4	1262
600SP1-16S-V3-V4	1619
1200SP2-16S-V3-V4	1311
900SP4-16S-V3-V4	1189
200SP1-16S-V3-V4	1149
1400SP2-16S-V3-V4	999
