,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A04,SYBR,,Std-2,,1849.44828046532,,Standard,Unassigned,False
,A05,SYBR,,Std-2,,1534.92707654781,,Standard,Unassigned,False
,A06,SYBR,,Std-2,,1779.8437059767,,Standard,Unassigned,False
,A07,SYBR,,Std-3,,1189.60149687118,,Standard,Unassigned,False
,A08,SYBR,,Std-3,,1370.80516480772,,Standard,Unassigned,False
,A09,SYBR,,Std-3,,1465.3141373841,,Standard,Unassigned,False
,A10,SYBR,,Std-4,,1209.38057305556,,Standard,Unassigned,False
,A11,SYBR,,Std-4,,1455.9964362482,,Standard,Unassigned,False
,B01,SYBR,,Std-5,,1218.85814332394,,Standard,Unassigned,False
,B02,SYBR,,Std-5,,1305.69553756835,,Standard,Unassigned,False
,B03,SYBR,,Std-5,,1212.60374806948,,Standard,Unassigned,False
,B04,SYBR,,Std-6,,1186.57920286043,,Standard,Unassigned,False
,B05,SYBR,,Std-6,,1152.82958287952,,Standard,Unassigned,False
,B06,SYBR,,Std-6,,1087.75366958797,,Standard,Unassigned,False
,B07,SYBR,,Unkn,,1088.84565037061,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,,1245.01214447793,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,,1318.96277884412,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,,1070.31587163742,,Unknown,Unassigned,False
,B11,SYBR,,Unkn,,1208.49346346206,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,,344.07118067529,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,,1114.09713996111,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,,1289.67792940423,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,,1154.44464714435,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,,1340.62513409126,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,,1315.61621095836,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,,1335.72545786186,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,,1054.3041270264,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,,1090.26910290815,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,,1350.618134038,,Unknown,Unassigned,False
,C10,SYBR,,Unkn,,1433.14190998613,,Unknown,Unassigned,False
,C11,SYBR,,Unkn,,1056.24701825644,,Unknown,Unassigned,False
,C12,SYBR,,Unkn,,1010.06436416879,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,,926.270952491099,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,,942.059477346178,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,,1068.07878702227,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,,889.922227928524,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,,928.59873904263,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,,798.099294290682,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,,1065.23750620914,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,,886.428050326088,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,,1056.25808012736,,Unknown,Unassigned,False
,D10,SYBR,,Unkn,,928.676719414585,,Unknown,Unassigned,False
,D11,SYBR,,Unkn,,983.956156284044,,Unknown,Unassigned,False
,D12,SYBR,,Unkn,,914.967673949426,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,,918.243536736764,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,,989.91925837539,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,,852.006882745471,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,,956.736891133814,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,,927.093425674793,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,,1109.46329321013,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,,951.018908852628,,Unknown,Unassigned,False
,E08,SYBR,,Unkn,,1017.54244968699,,Unknown,Unassigned,False
,E09,SYBR,,Unkn,,1050.60645374428,,Unknown,Unassigned,False
,E10,SYBR,,Unkn,,1028.19130078423,,Unknown,Unassigned,False
,E11,SYBR,,Unkn,,843.123321316312,,Unknown,Unassigned,False
,E12,SYBR,,Unkn,,868.394693255887,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,,802.189498627422,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,,803.820154868216,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,,819.709897875155,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,,861.692576065615,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,,848.986744779058,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,,639.618557050006,,Unknown,Unassigned,False
