,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,,,,Std-2,Std-2,Std-2,Std-3,Std-3,Std-3,Std-4,Std-4,
A,Sample,,,,,,,,,,,,
A,Peak 1,,,,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,
A,Peak 2,,,,None,None,None,None,None,None,None,None,
B,Content,Std-5,Std-5,Std-5,Std-6,Std-6,Std-6,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Peak 1,88.2,88.2,88.2,88.2,88.2,88.2,87.6,87.9,87.6,87.6,87.3,None
B,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Peak 1,87.6,88.5,87.6,88.2,87.9,87.9,87.9,87.6,87.9,87.6,87.9,87.3
C,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Peak 1,88.5,87.9,87.6,87.9,87.6,87.6,88.2,87.9,87.6,87.6,87.6,87.6
D,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Peak 1,87.9,88.2,87.9,88.2,87.9,88.2,87.6,87.9,87.9,87.9,87.9,88.2
E,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,,,
F,Sample,,,,,,,,,,,,
F,Peak 1,87.6,87.9,87.6,87.9,87.6,None,,,,,,
F,Peak 2,None,None,None,None,None,None,,,,,,
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Peak 1,,,,,,,,,,,,
G,Peak 2,,,,,,,,,,,,
H,Content,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,
H,Peak 1,,,,,,,,,,,,
H,Peak 2,,,,,,,,,,,,
