,Well,Fluor,Target,Content,Sample,Melt Temp
,A04,SYBR,,Std-2,,88.2
,A05,SYBR,,Std-2,,88.2
,A06,SYBR,,Std-2,,88.2
,A07,SYBR,,Std-3,,88.2
,A08,SYBR,,Std-3,,88.2
,A09,SYBR,,Std-3,,88.2
,A10,SYBR,,Std-4,,88.2
,A11,SYBR,,Std-4,,88.2
,B01,SYBR,,Std-5,,88.2
,B02,SYBR,,Std-5,,88.2
,B03,SYBR,,Std-5,,88.2
,B04,SYBR,,Std-6,,88.2
,B05,SYBR,,Std-6,,88.2
,B06,SYBR,,Std-6,,88.2
,B07,SYBR,,Unkn,,87.6
,B08,SYBR,,Unkn,,87.9
,B09,SYBR,,Unkn,,87.6
,B10,SYBR,,Unkn,,87.6
,B11,SYBR,,Unkn,,87.3
,B12,SYBR,,Unkn,,None
,C01,SYBR,,Unkn,,87.6
,C02,SYBR,,Unkn,,88.5
,C03,SYBR,,Unkn,,87.6
,C04,SYBR,,Unkn,,88.2
,C05,SYBR,,Unkn,,87.9
,C06,SYBR,,Unkn,,87.9
,C07,SYBR,,Unkn,,87.9
,C08,SYBR,,Unkn,,87.6
,C09,SYBR,,Unkn,,87.9
,C10,SYBR,,Unkn,,87.6
,C11,SYBR,,Unkn,,87.9
,C12,SYBR,,Unkn,,87.3
,D01,SYBR,,Unkn,,88.5
,D02,SYBR,,Unkn,,87.9
,D03,SYBR,,Unkn,,87.6
,D04,SYBR,,Unkn,,87.9
,D05,SYBR,,Unkn,,87.6
,D06,SYBR,,Unkn,,87.6
,D07,SYBR,,Unkn,,88.2
,D08,SYBR,,Unkn,,87.9
,D09,SYBR,,Unkn,,87.6
,D10,SYBR,,Unkn,,87.6
,D11,SYBR,,Unkn,,87.6
,D12,SYBR,,Unkn,,87.6
,E01,SYBR,,Unkn,,87.9
,E02,SYBR,,Unkn,,88.2
,E03,SYBR,,Unkn,,87.9
,E04,SYBR,,Unkn,,88.2
,E05,SYBR,,Unkn,,87.9
,E06,SYBR,,Unkn,,88.2
,E07,SYBR,,Unkn,,87.6
,E08,SYBR,,Unkn,,87.9
,E09,SYBR,,Unkn,,87.9
,E10,SYBR,,Unkn,,87.9
,E11,SYBR,,Unkn,,87.9
,E12,SYBR,,Unkn,,88.2
,F01,SYBR,,Unkn,,87.6
,F02,SYBR,,Unkn,,87.9
,F03,SYBR,,Unkn,,87.6
,F04,SYBR,,Unkn,,87.9
,F05,SYBR,,Unkn,,87.6
,F06,SYBR,,Unkn,,None
