,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,,,,Std-2,Std-2,Std-2,Std-3,Std-3,Std-3,Std-4,Std-4,
A,Sample,,,,,,,,,,,,
A,Cq,,,,7.1363276935242,7.818745125715,7.15114437945886,11.6292668760802,12.7339338021804,11.9602294557409,15.3076645426222,14.7845051341593,
A,,,,,100000,100000,100000,10000,10000,10000,1000,1000,
B,Content,Std-5,Std-5,Std-5,Std-6,Std-6,Std-6,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,20.2839687141352,20.2139321885309,20.6624562328489,24.6552797350404,25.0516474692779,25.0550446792338,27.4030739316597,29.3035484198498,26.949801218615,27.6930028547416,25.6955866005472,32.2380830244007
B,,100,100,100,10,10,10,2.39240875114266,0.872498208463639,3.04310878715712,2.05118586900031,5.92136069321991,0.183796233942061
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,26.7082278312117,29.4862119796236,25.6032083852912,26.6691393045145,25.8932527283003,26.1416402908311,27.2513009675821,26.0617155130139,27.7093915530768,26.9060795080975,26.3770104599113,28.9776236566274
C,,3.45940653696209,0.791880212616978,6.21892404473811,3.53192719753084,5.331608861843,4.6730825081888,2.59310418736213,4.87558343264438,2.0334210826779,3.11455207205082,4.12429009002524,1.03727083905251
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,27.4027356348486,26.5071723653802,25.628173204873,26.8351754327457,26.8946847666526,27.4985576357291,25.2071666112372,24.6833816291028,26.2336340617019,25.2428582209733,25.4234205143902,27.4913332346601
D,,2.39283835707055,3.84898394832388,6.13706482904583,3.23399551649141,3.1334455538788,2.27418511326348,7.67370803715256,10.1330659870381,4.45039264991692,7.5297080929339,6.84159625998251,2.28292203708918
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,26.6655548900771,27.1631402655774,25.622551291666,25.8008328332528,26.0668886526317,25.6034183034672,26.1345064049373,26.132590429738,24.8444681342629,25.0185077442983,25.2140891299778,25.9573438130932
E,,3.53865295387044,2.71732472410598,6.15540447467755,5.59965956624939,4.86221493211819,6.2182311949445,4.69081011282689,4.69558272962237,9.30270949986122,8.48188302704393,7.64556507520958,5.15329375402554
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,,,
F,Sample,,,,,,,,,,,,
F,Cq,24.9749063217581,25.5895029371169,25.3768902860764,25.6201608405701,25.402774136788,25.4080995198378,,,,,,
F,,8.68045859473244,6.26432730452561,7.01266253544391,6.16321913280903,6.91698058084466,6.89745734616407,,,,,,
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Cq,,,,,,,,,,,,
G,,,,,,,,,,,,,
H,Content,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,
H,Cq,,,,,,,,,,,,
H,,,,,,,,,,,,,
