,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A04,SYBR,,Std-2,,88.2,585.619455042357,82.2,90.9,
,A05,SYBR,,Std-2,,88.2,489.778247050802,82.5,91.2,
,A06,SYBR,,Std-2,,88.2,563.072056337564,83.1,90.6,
,A07,SYBR,,Std-3,,88.2,444.336029995801,84.9,91.2,
,A08,SYBR,,Std-3,,88.2,491.459592065674,84,91.5,
,A09,SYBR,,Std-3,,88.2,524.519533919918,83.4,90.9,
,A10,SYBR,,Std-4,,88.2,439.621256044086,81.9,90.9,
,A11,SYBR,,Std-4,,88.2,525.811762294327,81.9,92.4,
,B01,SYBR,,Std-5,,88.2,422.197347502101,83.7,90.9,
,B02,SYBR,,Std-5,,88.2,452.896848205644,82.8,90.3,
,B03,SYBR,,Std-5,,88.2,453.904262695792,81.6,91.5,
,B04,SYBR,,Std-6,,88.2,405.503131388102,81.9,90.3,
,B05,SYBR,,Std-6,,88.2,398.546633504064,84,90.6,
,B06,SYBR,,Std-6,,88.2,373.589024131103,84.3,90.3,
,B07,SYBR,,Unkn,,87.6,245.582527040201,82.5,93,
,B08,SYBR,,Unkn,,87.9,252.623896970957,82.2,93.3,
,B09,SYBR,,Unkn,,87.6,304.691066060388,81,94.5,
,B10,SYBR,,Unkn,,87.6,232.006191254065,81.9,93.9,
,B11,SYBR,,Unkn,,87.3,320.60873481767,82.8,91.5,
,B12,SYBR,,Unkn,,None,None,None,None,
,C01,SYBR,,Unkn,,87.6,294.31112510004,80.4,93,
,C02,SYBR,,Unkn,,88.5,299.407090101383,81.9,92.4,
,C03,SYBR,,Unkn,,87.6,256.006331153104,79.8,92.4,
,C04,SYBR,,Unkn,,88.2,348.879318845265,82.2,93.3,
,C05,SYBR,,Unkn,,87.9,312.662949205601,81.9,93.9,
,C06,SYBR,,Unkn,,87.9,267.07945911614,81.3,93,
,C07,SYBR,,Unkn,,87.9,229.474347924032,82.2,93,
,C08,SYBR,,Unkn,,87.6,251.979691299759,81.9,93,
,C09,SYBR,,Unkn,,87.9,296.240701748369,80.1,94.5,
,C10,SYBR,,Unkn,,87.6,312.195922833022,80.7,93,
,C11,SYBR,,Unkn,,87.9,232.652703104335,80.7,92.4,
,C12,SYBR,,Unkn,,87.3,290.346563642955,80.4,90,
,D01,SYBR,,Unkn,,88.5,210.493766270575,78.3,93.3,
,D02,SYBR,,Unkn,,87.9,228.335791588313,81,92.4,
,D03,SYBR,,Unkn,,87.6,267.346550229598,81.3,92.7,
,D04,SYBR,,Unkn,,87.9,204.047512247531,81.6,94.5,
,D05,SYBR,,Unkn,,87.6,219.128135749584,81.6,93.6,
,D06,SYBR,,Unkn,,87.6,174.950492252296,81.9,94.5,
,D07,SYBR,,Unkn,,88.2,254.158257437779,82.8,94.5,
,D08,SYBR,,Unkn,,87.9,221.064076805651,81,93.9,
,D09,SYBR,,Unkn,,87.6,241.626337435954,79.2,94.5,
,D10,SYBR,,Unkn,,87.6,249.286361276031,81,94.5,
,D11,SYBR,,Unkn,,87.6,274.317031360256,81,93.9,
,D12,SYBR,,Unkn,,87.6,250.13392002174,82.2,92.4,
,E01,SYBR,,Unkn,,87.9,229.9477333134,81.6,93,
,E02,SYBR,,Unkn,,88.2,196.157969174595,81,93,
,E03,SYBR,,Unkn,,87.9,183.11392993646,80.7,92.7,
,E04,SYBR,,Unkn,,88.2,236.699364708096,81,94.5,
,E05,SYBR,,Unkn,,87.9,221.993822447387,82.8,93,
,E06,SYBR,,Unkn,,88.2,207.104154801843,80.7,93.6,
,E07,SYBR,,Unkn,,87.6,216.424886398585,78.9,94.5,
,E08,SYBR,,Unkn,,87.9,195.424388202301,81,92.1,
,E09,SYBR,,Unkn,,87.9,226.842061734802,81.9,94.5,
,E10,SYBR,,Unkn,,87.9,229.647664714218,80.7,93.6,
,E11,SYBR,,Unkn,,87.9,200.628590291183,81,93.3,
,E12,SYBR,,Unkn,,88.2,249.448221484648,82.5,93.3,
,F01,SYBR,,Unkn,,87.6,232.101359972982,81.6,93.6,
,F02,SYBR,,Unkn,,87.9,228.148858576989,82.2,92.4,
,F03,SYBR,,Unkn,,87.6,226.134428274524,80.7,92.7,
,F04,SYBR,,Unkn,,87.9,200.053284824008,81.3,94.5,
,F05,SYBR,,Unkn,,87.6,229.342436723775,82.5,94.5,
,F06,SYBR,,Unkn,,None,None,None,None,
