,Temperature,A4,A5,A6,A7,A8,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6
,72,4259.55037560345,3941.01236076345,4206.26950513971,3753.85280309832,3934.35077274326,4024.90718192511,3694.40363779071,4000.62644107907,3692.29384828391,3794.7616023289,3866.27398189322,3659.28266104495,3594.13158639729,3558.2852057806,3491.20354557531,3752.75937267119,3804.93878484302,3537.31340196047,3758.09397465193,2799.93710028674,3632.40452986439,3850.59460998358,3701.30503948813,3870.00965249007,3832.7317334465,3847.37514843028,3554.96442584844,3630.02085930518,3883.41758413402,3977.11010638632,3593.3214486709,3499.03416156877,3404.83787178775,3472.46290504724,3594.74631464589,3384.87770038923,3424.08331615821,3252.66055642226,3637.25013411095,3475.0977078809,3566.46225181164,3480.64414453399,3587.69895363659,3318.97062294161,3428.42007111224,3536.17407871626,3443.61399242685,3500.91458430715,3470.63417108777,3660.38505881662,3482.77949396517,3523.29018657299,3674.94236797418,3619.12385530167,3417.10912888695,3369.06516787612,3308.48374542882,3325.72226576668,3299.12790771859,3379.96321834624,3363.73141146,3112.07957463703
,72.3,4255.74952276351,3936.95325308621,4201.44617026059,3749.65445452098,3931.55664464548,4023.63527899744,3695.28733199299,3996.93495163066,3691.82921505845,3798.40487728195,3869.79337502691,3658.94681236471,3597.69951016132,3558.520633352,3491.02788733036,3751.46051901882,3802.75118842914,3536.0895599948,3759.62778953193,2798.13365230441,3637.43569755254,3853.33714629133,3699.73657255957,3878.72545321031,3834.56770412838,3848.88373738688,3557.37983946637,3627.72638866341,3883.27748135276,3972.52964756734,3593.2280963298,3513.31121050889,3410.83831145275,3474.70390698196,3595.92895646493,3386.07483967859,3425.19826684934,3254.8311779336,3637.29051112496,3472.31433106324,3565.87627648321,3480.05182871814,3585.80791609559,3331.27983138208,3436.15333535876,3537.67213541434,3445.62339204451,3507.84328226044,3472.57909727343,3660.44022041193,3482.10719662031,3521.3907085681,3674.80938372877,3614.01323836904,3419.63556484466,3378.62607865362,3311.68511296122,3331.1369838694,3305.46135481144,3382.28820004185,3366.57270348503,3113.5961636893
,72.6,4251.94866992358,3932.89414540897,4196.62283538146,3745.45610594365,3928.7625165477,4022.36337606978,3696.17102619527,3993.24346218225,3691.36458183298,3802.04815223501,3873.3127681606,3658.61096368448,3601.26743392536,3558.75606092339,3490.85222908541,3750.16166536645,3800.56359201526,3534.86571802912,3761.16160441194,2796.33020432207,3642.46686524069,3856.07968259909,3698.16810563101,3887.44125393055,3836.40367481026,3850.39232634349,3559.7952530843,3625.43191802164,3883.13737857151,3967.94918874836,3593.13474398869,3527.588259449,3416.83875111774,3476.94490891668,3597.11159828398,3387.27197896795,3426.31321754048,3257.00179944494,3637.33088813897,3469.53095424557,3565.29030115478,3479.45951290229,3583.91687855459,3343.58903982255,3443.88659960529,3539.17019211242,3447.63279166217,3514.77198021374,3474.52402345908,3660.49538200725,3481.43489927545,3519.49123056321,3674.67639948337,3608.90262143642,3422.16200080237,3388.18698943111,3314.88648049362,3336.55170197213,3311.7948019043,3384.61318173746,3369.41399551005,3115.11275274157
,72.9,4248.14781708364,3928.83503773173,4191.79950050234,3741.25775736631,3925.96838844992,4021.09147314212,3697.05472039756,3989.55197273384,3690.89994860751,3805.69142718807,3876.83216129429,3658.27511500425,3604.83535768939,3558.99148849479,3490.67657084046,3748.86281171408,3798.37599560138,3533.64187606344,3762.69541929195,2794.52675633973,3647.49803292884,3858.82221890685,3696.59963870245,3896.15705465079,3838.23964549214,3851.90091530009,3562.21066670223,3623.13744737987,3882.99727579026,3963.36872992937,3593.04139164759,3541.86530838912,3422.83919078273,3479.18591085139,3598.29424010303,3388.46911825731,3427.42816823161,3259.17242095628,3637.37126515298,3466.7475774279,3564.70432582635,3478.86719708645,3582.02584101358,3355.89824826303,3451.61986385182,3540.6682488105,3449.64219127984,3521.70067816704,3476.46894964474,3660.55054360256,3480.76260193059,3517.59175255833,3674.54341523797,3603.79200450379,3424.68843676008,3397.74790020861,3318.08784802602,3341.96642007485,3318.12824899715,3386.93816343306,3372.25528753508,3116.62934179384
,73.2,4244.34696424371,3924.77593005448,4186.97616562322,3737.05940878898,3923.17426035214,4019.81957021445,3697.93841459984,3985.86048328543,3690.43531538204,3809.33470214113,3880.35155442798,3657.93926632401,3608.40328145342,3559.22691606619,3490.50091259551,3747.56395806171,3796.18839918749,3532.41803409776,3764.22923417195,2792.7233083574,3652.52920061699,3861.56475521461,3695.0311717739,3904.87285537103,3840.07561617401,3853.4095042567,3564.62608032016,3620.84297673811,3882.857173009,3958.78827111039,3592.94803930648,3556.14235732923,3428.83963044773,3481.42691278611,3599.47688192207,3389.66625754667,3428.54311892275,3261.34304246763,3637.41164216698,3463.96420061023,3564.11835049792,3478.2748812706,3580.13480347258,3368.2074567035,3459.35312809835,3542.16630550858,3451.6515908975,3528.62937612034,3478.41387583039,3660.60570519788,3480.09030458573,3515.69227455344,3674.41043099256,3598.68138757116,3427.21487271778,3407.3088109861,3321.28921555842,3347.38113817758,3324.46169609,3389.26314512867,3375.09657956011,3118.14593084611
,73.5,4240.54611140392,3920.71682237736,4182.15283074405,3732.8610602117,3920.38013225438,4018.54766728673,3698.8221088021,3982.16899383701,3689.97068215668,3812.97797709429,3883.87094756178,3657.60341764373,3611.97120521744,3559.46234363763,3490.32525435056,3746.26510440931,3794.00080277357,3531.19419213212,3765.76304905196,2790.9198603751,3657.56036830505,3864.30729152225,3693.46270484527,3913.58865609119,3841.91158685591,3854.91809321318,3567.04149393793,3618.54850609647,3882.71707022775,3954.20781229154,3592.85468696551,3570.41940626927,3434.84007011278,3483.66791472083,3600.65952374096,3390.86339683598,3429.65806961386,3263.513663979,3637.45201918095,3461.18082379254,3563.5323751696,3477.68256545474,3578.24376593161,3380.51666514395,3467.08639234486,3543.66436220663,3453.66099051524,3535.55807407362,3480.35880201602,3660.66086679327,3479.41800724091,3513.79279654855,3674.27744674717,3593.57077063858,3429.74130867544,3416.86972176366,3324.49058309078,3352.79585628027,3330.79514318276,3391.58812682424,3377.93787158513,3119.66251989841
,73.8,4236.74525856399,3916.65771470012,4177.32949586493,3728.66271163436,3917.5860041566,4017.27576435907,3699.70580300439,3978.4775043886,3689.50604893121,3816.62125204735,3887.39034069547,3657.26756896349,3615.53912898147,3559.69777120902,3490.14959610561,3744.96625075694,3791.81320635969,3529.97035016644,3767.29686393197,2789.11641239277,3662.5915359932,3867.04982783001,3691.89423791671,3922.30445681143,3843.74755753779,3856.42668216979,3569.45690755586,3616.2540354547,3882.5769674465,3949.62735347256,3592.7613346244,3584.69645520938,3440.84050977777,3485.90891665554,3601.84216556001,3392.06053612534,3430.773020305,3265.68428549034,3637.49239619495,3458.39744697487,3562.94639984117,3477.0902496389,3576.35272839061,3392.82587358442,3474.81965659139,3545.16241890471,3455.6703901329,3542.48677202692,3482.30372820167,3660.71602838858,3478.74570989605,3511.89331854367,3674.14446250176,3588.46015370596,3432.26774463315,3426.43063254116,3327.69195062318,3358.210574383,3337.12859027562,3393.91310851984,3380.77916361016,3121.17910895067
,74.1,4230.63898765241,3911.49512413024,4170.35360665908,3723.19343018725,3912.45023334453,4013.21165017936,3697.88382936951,3972.32781082233,3687.01472403444,3817.17338995515,3886.73686893801,3653.41795330549,3616.33936249537,3556.93721471418,3487.88741921631,3741.06106607917,3786.63229808312,3526.62955480725,3765.62976584115,2786.94202107554,3664.09407678799,3865.54969726681,3687.62903777176,3926.28264901708,3842.21519588857,3855.06576369109,3569.79520720335,3612.05166245461,3879.49220786392,3942.70471292065,3589.81901613239,3592.0805017343,3443.6095850523,3485.10549345438,3599.51991267218,3390.64807780379,3429.66750995086,3265.62179961177,3634.7682700087,3453.92722906598,3560.09910212038,3474.25695819213,3572.18569164692,3402.88808667359,3479.14189967261,3543.19401140062,3454.40654548141,3546.48022696884,3481.49574646797,3658.40317822152,3476.75354125557,3508.07174513361,3671.61716790316,3581.56295296796,3432.50541801909,3432.7841658183,3328.71011693347,3360.77047864674,3341.04716660746,3393.25253246933,3381.28341073119,3120.87435918966
,74.4,4222.34642971584,3905.38809189363,4161.84155338202,3716.80808397979,3905.06672089353,4006.6104521637,3693.93325480698,3964.61777044645,3682.4824659891,3814.05940215932,3882.61936700991,3646.87267986577,3614.79928019081,3552.39254522048,3483.90726982109,3734.88977139969,3779.67988692688,3521.52250374561,3760.90832429386,2784.40869000459,3662.77578806508,3860.61077755503,3681.80138902286,3927.27030334583,3837.97237630621,3851.31781545968,3568.75099408562,3606.75149489061,3874.61118969498,3933.84261847275,3585.23960961716,3592.79002297848,3443.44491961038,3481.83370691234,3594.66579383016,3387.23357029015,3426.9857945902,3264.03506054905,3630.35920301227,3448.15082690781,3555.93025627903,3470.21505601198,3566.97444782203,3410.2816044376,3480.63804658553,3538.27999192629,3450.87070660823,3547.93058614394,3478.71187273715,3654.32878537891,3473.42043051714,3502.64723135255,3667.00011356439,3574.11780531186,3431.39630321194,3435.86150989504,3327.39539883297,3360.10527820176,3342.60804928177,3390.87074371583,3379.98298820582,3119.47962686996
,74.7,4212.69064013619,3898.26328798552,4151.94951662893,3709.384587147,3896.38138764369,3998.42017072501,3688.30119233603,3955.16699538918,3676.10756373502,3808.27047880351,3875.73599083907,3638.62126344763,3610.89500114207,3546.40053210654,3478.56959870247,3727.49434988669,3771.81733860883,3515.50264799173,3754.5042865498,2781.13961304389,3659.23344590044,3852.96696760284,3674.60370768225,3926.15822803358,3831.70149496842,3845.91404418541,3566.39223347979,3600.48708494777,3868.74649796323,3923.64091173846,3579.11363447207,3588.13396482371,3440.86664793579,3476.8289823026,3588.46304087996,3382.28033490069,3422.96858273667,3261.11435575594,3624.63040624769,3441.23538220438,3550.89909411176,3465.35121183567,3560.52541322817,3414.64593757122,3479.55724303773,3531.12737358395,3446.08385542193,3547.07386021626,3474.34407754852,3648.71310565342,3469.10053117312,3496.38870468787,3661.47030710961,3565.89750310139,3429.00157254806,3436.21015396387,3324.32132636581,3357.22394847519,3341.85825483482,3387.33979353692,3377.22733004954,3117.34317272081
