,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,,,,Std-2,Std-2,Std-2,Std-3,Std-3,Std-3,Std-4,Std-4,
A,Sample,,,,,,,,,,,,
A,Cq,,,,7.1363276935242,7.818745125715,7.15114437945886,11.6292668760802,12.7339338021804,11.9602294557409,15.3076645426222,14.7845051341593,
A,,,,,326000000,326000000,326000000,32600000,32600000,32600000,3260000,3260000,
B,Content,Std-5,Std-5,Std-5,Std-6,Std-6,Std-6,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,20.2839687141352,20.2139321885309,20.6624562328489,24.6552797350404,25.0516474692779,25.0550446792338,27.4030739316597,29.3035484198498,26.949801218615,27.6930028547416,25.6955866005472,32.2380830244007
B,,326000,326000,326000,32600,32600,32600,7799.25252872597,2844.34415959185,9920.53464613333,6686.86593294182,19303.6358598988,599.175722651218
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,26.7082278312117,29.4862119796236,25.6032083852912,26.6691393045145,25.8932527283003,26.1416402908311,27.2513009675821,26.0617155130139,27.7093915530768,26.9060795080975,26.3770104599113,28.9776236566274
C,,11277.6653104977,2581.5294931317,20273.6923858482,11514.0826639518,17381.04488961,15234.2489766971,8453.51965080153,15894.4019904223,6628.95272953075,10153.4397548868,13445.1856934837,3381.50293531163
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,27.4027356348486,26.5071723653802,25.628173204873,26.8351754327457,26.8946847666526,27.4985576357291,25.2071666112372,24.6833816291028,26.2336340617019,25.2428582209733,25.4234205143902,27.4913332346601
D,,7800.6530440509,12547.6876715372,20006.8313426914,10542.8253837632,10215.032505646,7413.84346923981,25016.2882011197,33033.7951177472,14508.2800387307,24546.8483829669,22303.6038075452,7442.32584091161
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,26.6655548900771,27.1631402655774,25.622551291666,25.8008328332528,26.0668886526317,25.6034183034672,26.1345064049373,26.132590429738,24.8444681342629,25.0185077442983,25.2140891299778,25.9573438130932
E,,11536.0086296189,8858.47860058652,20066.6185874508,18254.8901859749,15850.8206787069,20271.4336955211,15292.0409678172,15307.5996985705,30326.8329695504,27650.9386681658,24924.5421451856,16799.737638125
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,,,,,
F,Sample,,,,,,,,,,,,
F,Cq,24.9749063217581,25.5895029371169,25.3768902860764,25.6201608405701,25.402774136788,25.4080995198378,,,,,,
F,,28298.2950188304,20421.7070127555,22861.2798655493,20092.0943729594,22549.3566935558,22485.7109484971,,,,,,
G,Content,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,
G,Cq,,,,,,,,,,,,
G,,,,,,,,,,,,,
H,Content,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,
H,Cq,,,,,,,,,,,,
H,,,,,,,,,,,,,
