,Well,Fluor,Target,Content,Sample,Cq,SQ
,A04,SYBR,,Std-2,,7.1363276935242,326000000
,A05,SYBR,,Std-2,,7.818745125715,326000000
,A06,SYBR,,Std-2,,7.15114437945886,326000000
,A07,SYBR,,Std-3,,11.6292668760802,32600000
,A08,SYBR,,Std-3,,12.7339338021804,32600000
,A09,SYBR,,Std-3,,11.9602294557409,32600000
,A10,SYBR,,Std-4,,15.3076645426222,3260000
,A11,SYBR,,Std-4,,14.7845051341593,3260000
,B01,SYBR,,Std-5,,20.2839687141352,326000
,B02,SYBR,,Std-5,,20.2139321885309,326000
,B03,SYBR,,Std-5,,20.6624562328489,326000
,B04,SYBR,,Std-6,,24.6552797350404,32600
,B05,SYBR,,Std-6,,25.0516474692779,32600
,B06,SYBR,,Std-6,,25.0550446792338,32600
,B07,SYBR,,Unkn,,27.4030739316597,7799.25252872597
,B08,SYBR,,Unkn,,29.3035484198498,2844.34415959185
,B09,SYBR,,Unkn,,26.949801218615,9920.53464613333
,B10,SYBR,,Unkn,,27.6930028547416,6686.86593294182
,B11,SYBR,,Unkn,,25.6955866005472,19303.6358598988
,B12,SYBR,,Unkn,,32.2380830244007,599.175722651218
,C01,SYBR,,Unkn,,26.7082278312117,11277.6653104977
,C02,SYBR,,Unkn,,29.4862119796236,2581.5294931317
,C03,SYBR,,Unkn,,25.6032083852912,20273.6923858482
,C04,SYBR,,Unkn,,26.6691393045145,11514.0826639518
,C05,SYBR,,Unkn,,25.8932527283003,17381.04488961
,C06,SYBR,,Unkn,,26.1416402908311,15234.2489766971
,C07,SYBR,,Unkn,,27.2513009675821,8453.51965080153
,C08,SYBR,,Unkn,,26.0617155130139,15894.4019904223
,C09,SYBR,,Unkn,,27.7093915530768,6628.95272953075
,C10,SYBR,,Unkn,,26.9060795080975,10153.4397548868
,C11,SYBR,,Unkn,,26.3770104599113,13445.1856934837
,C12,SYBR,,Unkn,,28.9776236566274,3381.50293531163
,D01,SYBR,,Unkn,,27.4027356348486,7800.6530440509
,D02,SYBR,,Unkn,,26.5071723653802,12547.6876715372
,D03,SYBR,,Unkn,,25.628173204873,20006.8313426914
,D04,SYBR,,Unkn,,26.8351754327457,10542.8253837632
,D05,SYBR,,Unkn,,26.8946847666526,10215.032505646
,D06,SYBR,,Unkn,,27.4985576357291,7413.84346923981
,D07,SYBR,,Unkn,,25.2071666112372,25016.2882011197
,D08,SYBR,,Unkn,,24.6833816291028,33033.7951177472
,D09,SYBR,,Unkn,,26.2336340617019,14508.2800387307
,D10,SYBR,,Unkn,,25.2428582209733,24546.8483829669
,D11,SYBR,,Unkn,,25.4234205143902,22303.6038075452
,D12,SYBR,,Unkn,,27.4913332346601,7442.32584091161
,E01,SYBR,,Unkn,,26.6655548900771,11536.0086296189
,E02,SYBR,,Unkn,,27.1631402655774,8858.47860058652
,E03,SYBR,,Unkn,,25.622551291666,20066.6185874508
,E04,SYBR,,Unkn,,25.8008328332528,18254.8901859749
,E05,SYBR,,Unkn,,26.0668886526317,15850.8206787069
,E06,SYBR,,Unkn,,25.6034183034672,20271.4336955211
,E07,SYBR,,Unkn,,26.1345064049373,15292.0409678172
,E08,SYBR,,Unkn,,26.132590429738,15307.5996985705
,E09,SYBR,,Unkn,,24.8444681342629,30326.8329695504
,E10,SYBR,,Unkn,,25.0185077442983,27650.9386681658
,E11,SYBR,,Unkn,,25.2140891299778,24924.5421451856
,E12,SYBR,,Unkn,,25.9573438130932,16799.737638125
,F01,SYBR,,Unkn,,24.9749063217581,28298.2950188304
,F02,SYBR,,Unkn,,25.5895029371169,20421.7070127555
,F03,SYBR,,Unkn,,25.3768902860764,22861.2798655493
,F04,SYBR,,Unkn,,25.6201608405701,20092.0943729594
,F05,SYBR,,Unkn,,25.402774136788,22549.3566935558
,F06,SYBR,,Unkn,,25.4080995198378,22485.7109484971
