,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A04,SYBR,,Std-2,,,15.1395687895881,15.171250179712,0.13067734038305,156000000,8.19312459835446,156000000,0,80,
,A05,SYBR,,Std-2,,,15.0593263083659,15.171250179712,0.13067734038305,156000000,8.19312459835446,156000000,0,80,
,A06,SYBR,,Std-2,,,15.3148554411821,15.171250179712,0.13067734038305,156000000,8.19312459835446,156000000,0,80,
,A07,SYBR,,Std-3,,,20.4189448360147,20.315108305957,0.101410679602467,15600000,7.19312459835446,15600000,0,80,
,A08,SYBR,,Std-3,,,20.2163113975325,20.315108305957,0.101410679602467,15600000,7.19312459835446,15600000,0,80,
,A09,SYBR,,Std-3,,,20.3100686843238,20.315108305957,0.101410679602467,15600000,7.19312459835446,15600000,0,80,
,A10,SYBR,,Std-4,,,24.232375887375,24.5460531870139,0.277336362413796,1560000,6.19312459835446,1560000,0,80,
,A11,SYBR,,Std-4,,,24.6470315496399,24.5460531870139,0.277336362413796,1560000,6.19312459835446,1560000,0,80,
,A12,SYBR,,Std-4,,,24.7587521240269,24.5460531870139,0.277336362413796,1560000,6.19312459835446,1560000,0,80,
,A19,SYBR,,Unkn,,,34.1778939517393,34.1778939517393,0,14816.5995803019,4.17074854419935,14816.5995803019,0,80,
,A20,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,80,
,A21,SYBR,,Unkn,,,34.1017948100598,34.1017948100598,0,15380.9573850713,4.18698336889278,15380.9573850713,0,80,
,A22,SYBR,,Unkn,,,34.8984864552919,34.8984864552919,0,10399.6545453516,4.01701891318923,10399.6545453516,0,80,
,A23,SYBR,,Unkn,,,32.1957451837085,32.1957451837085,0,39229.7764724598,4.59361583356788,39229.7764724598,0,80,
,A24,SYBR,,Unkn,,,34.5500253209279,34.5500253209279,0,12341.2414911699,4.09135885059219,12341.2414911699,0,80,
,B01,SYBR,,Unkn,,,34.0126282556357,34.0126282556357,0,16069.6333134264,4.20600596688329,16069.6333134264,0,80,
,B02,SYBR,,Unkn,,,38.7931342199373,38.7931342199373,0,1535.1233040424,3.18614326457837,1535.1233040424,0,80,
,B03,SYBR,,Unkn,,,33.1804390672648,33.1804390672648,0,24184.8495978578,4.38354339091722,24184.8495978578,0,80,
,B04,SYBR,,Unkn,,,34.3439293160452,34.3439293160452,0,13656.1073529549,4.13532692218201,13656.1073529549,0,80,
,B05,SYBR,,Unkn,,,34.0532912431851,34.0532912431851,0,15751.829921882,4.19733101392317,15751.829921882,0,80,
