,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A04,SYBR,,Std-2,,3264.95166210356,(+) Positive,Standard,Positive,False
,A05,SYBR,,Std-2,,3031.03573760645,(+) Positive,Standard,Positive,False
,A06,SYBR,,Std-2,,2985.65561624958,(+) Positive,Standard,Positive,False
,A07,SYBR,,Std-3,,2515.22259864583,(+) Positive,Standard,Positive,False
,A08,SYBR,,Std-3,,3173.76315131773,(+) Positive,Standard,Positive,False
,A09,SYBR,,Std-3,,3329.18297624286,(+) Positive,Standard,Positive,False
,A10,SYBR,,Std-4,,2737.07863934203,(+) Positive,Standard,Positive,False
,A11,SYBR,,Std-4,,2440.1958799274,(+) Positive,Standard,Positive,False
,A12,SYBR,,Std-4,,3062.56751584277,(+) Positive,Standard,Positive,False
,A19,SYBR,,Unkn,,1176.39843575041,(+) Positive,Unknown,Positive,False
,A20,SYBR,,Unkn,,-3.4948516932006,,Unknown,NoCall,False
,A21,SYBR,,Unkn,,1503.62760917751,(+) Positive,Unknown,Positive,False
,A22,SYBR,,Unkn,,1539.83269819547,(+) Positive,Unknown,Positive,False
,A23,SYBR,,Unkn,,1444.21604539984,(+) Positive,Unknown,Positive,False
,A24,SYBR,,Unkn,,1309.45973219727,(+) Positive,Unknown,Positive,False
,B01,SYBR,,Unkn,,1343.04576156003,(+) Positive,Unknown,Positive,False
,B02,SYBR,,Unkn,,107.93527485958,,Unknown,NoCall,False
,B03,SYBR,,Unkn,,1391.1858503009,(+) Positive,Unknown,Positive,False
,B04,SYBR,,Unkn,,1496.47115625585,(+) Positive,Unknown,Positive,False
,B05,SYBR,,Unkn,,1271.91494458261,(+) Positive,Unknown,Positive,False
,B06,SYBR,,Unkn,,1343.02229876029,(+) Positive,Unknown,Positive,False
,B07,SYBR,,Unkn,,12.7977094271644,,Unknown,NoCall,False
,B08,SYBR,,Unkn,,1244.32282627079,(+) Positive,Unknown,Positive,False
,B09,SYBR,,Unkn,,1386.47997143565,(+) Positive,Unknown,Positive,False
,B10,SYBR,,Unkn,,1466.21225896164,(+) Positive,Unknown,Positive,False
,B11,SYBR,,Unkn,,1346.78136267788,(+) Positive,Unknown,Positive,False
,B12,SYBR,,Unkn,,1221.46383651127,(+) Positive,Unknown,Positive,False
,B13,SYBR,,Unkn,,1269.73567311706,(+) Positive,Unknown,Positive,False
,B14,SYBR,,Unkn,,1204.37438986227,(+) Positive,Unknown,Positive,False
,B15,SYBR,,Unkn,,1385.19415428935,(+) Positive,Unknown,Positive,False
,B16,SYBR,,Unkn,,1244.30230288081,(+) Positive,Unknown,Positive,False
,B17,SYBR,,Unkn,,1137.8173907394,(+) Positive,Unknown,Positive,False
,B18,SYBR,,Unkn,,1059.12714141115,(+) Positive,Unknown,Positive,False
,B19,SYBR,,Unkn,,1086.13099087481,(+) Positive,Unknown,Positive,False
,B20,SYBR,,Unkn,,782.700389134855,(+) Positive,Unknown,Positive,False
,B21,SYBR,,Unkn,,1287.88997962722,(+) Positive,Unknown,Positive,False
,B22,SYBR,,Unkn,,1240.47636085345,(+) Positive,Unknown,Positive,False
,B23,SYBR,,Unkn,,1114.8260064818,(+) Positive,Unknown,Positive,False
,B24,SYBR,,Unkn,,1275.68628121925,(+) Positive,Unknown,Positive,False
,C01,SYBR,,Unkn,,1450.01405895147,(+) Positive,Unknown,Positive,False
,C02,SYBR,,Unkn,,1007.15958518177,(+) Positive,Unknown,Positive,False
,C03,SYBR,,Unkn,,1340.87421848779,(+) Positive,Unknown,Positive,False
,C04,SYBR,,Unkn,,1049.75662584229,(+) Positive,Unknown,Positive,False
,C05,SYBR,,Unkn,,1225.46762619932,(+) Positive,Unknown,Positive,False
,C06,SYBR,,Unkn,,1506.57542115442,(+) Positive,Unknown,Positive,False
,C07,SYBR,,Unkn,,1347.48082796762,(+) Positive,Unknown,Positive,False
,C08,SYBR,,Unkn,,1435.49968170561,(+) Positive,Unknown,Positive,False
,C09,SYBR,,Unkn,,1649.47477297956,(+) Positive,Unknown,Positive,False
,C10,SYBR,,Unkn,,1415.83590634713,(+) Positive,Unknown,Positive,False
,C11,SYBR,,Unkn,,1370.9226346703,(+) Positive,Unknown,Positive,False
,C12,SYBR,,Unkn,,1373.31153854979,(+) Positive,Unknown,Positive,False
,C13,SYBR,,Unkn,,1371.98847180401,(+) Positive,Unknown,Positive,False
,C14,SYBR,,Unkn,,1413.7103664262,(+) Positive,Unknown,Positive,False
,C15,SYBR,,Unkn,,1217.861534608,(+) Positive,Unknown,Positive,False
,C16,SYBR,,Unkn,,1226.0669619542,(+) Positive,Unknown,Positive,False
,C17,SYBR,,Unkn,,1468.28622192709,(+) Positive,Unknown,Positive,False
,C18,SYBR,,Unkn,,1449.51683869507,(+) Positive,Unknown,Positive,False
,C19,SYBR,,Neg Ctrl,,2.46026102176102,,ControlNegative,Negative,True
,C20,SYBR,,Neg Ctrl,,402.970987644549,,ControlNegative,Negative,True
,C21,SYBR,,Neg Ctrl,,-1.29333610378644,,ControlNegative,Negative,True
