,Temperature,A4,A5,A6,A7,A8,A9,A10,A11,A12,A19,A20,A21,A22,A23,A24,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
,55,76.030153646329,61.6771622242122,64.7130022298484,76.578444864543,80.7271320204666,89.8811885018154,53.587496897364,42.3258844912846,92.0774281316365,-83.3091882083966,14.2736038627519,-63.9938509779855,-91.2565670954564,-74.893973596664,-96.2983917726971,-68.4518391500656,11.0925508035065,-74.4280820127995,-66.0216502213105,-76.4055884476405,-72.294036295378,-6.29561509533649,-70.4506674648019,-78.1368096492323,-75.6530077632488,-47.5104994986062,-73.1589865873521,-78.6524647482562,-77.2300373500195,-81.5295543807156,-75.2105497014596,-82.644373437887,-93.0887957255686,-85.0583181373198,-20.6851617591622,-78.3098713376061,-83.8984868290394,-82.5524239618517,-85.4618168067979,-74.4546351269408,-86.0366014221908,-27.6245111956591,-78.0921251921306,-86.8560194279314,-75.7989008921599,-82.0358962902659,-93.1934041023131,-33.133309600106,-99.4310119153549,-99.5487440213056,-97.9647604898662,-103.855482934132,-97.2462741347314,-92.3125257534196,-97.6055328618622,-97.3285177345152,-94.6598483005243,-98.9222926215312,-52.0480397468043,-24.587401796541
,55.3,164.731999567044,133.633851485787,140.211504831338,165.919963873176,174.908786044351,194.742575087266,116.106243277622,91.7060830644543,199.50109428522,-180.5032411182,30.9261417026316,-138.653343785633,-197.722562040162,-162.270276126113,-208.646515507514,-148.312318158476,24.0338600742668,-161.26084436107,-143.046908812847,-165.545441636559,-156.637078639988,-13.6404993732295,-152.643112840407,-169.296420906669,-163.914850153709,-102.939415580321,-158.511137605938,-170.413673621222,-167.331747591708,-176.64736782489,-162.956191019833,-179.062809115426,-201.692390738732,-184.293022630868,-44.817850478186,-169.671387898149,-181.780054796258,-178.863585250682,-185.167269748066,-161.31837610838,-186.41263641475,-59.8531075905915,-169.199604582951,-188.188042093859,-164.230951933013,-177.744441962251,-201.919042221684,-71.7888374669038,-215.433859149933,-215.688945379484,-212.256981061381,-225.020213023958,-210.70026062526,-200.010472465747,-211.478654534046,-210.878455091458,-205.096337984474,-214.33163401332,-112.770752784747,-53.2727038925054
,55.6,152.060307292652,123.354324448415,129.426004459699,153.156889729082,161.45426404094,179.762377003633,107.174993794734,84.6517689825733,184.154856263283,-166.6183764168,28.5472077255059,-127.987701955963,-182.513134190921,-149.787947193335,-192.596783545397,-136.903678300131,22.1851016070156,-148.856164025603,-132.043300442628,-152.811176895285,-144.588072590756,-12.5912301906734,-140.901334929607,-156.273619298463,-151.3060155265,-95.0209989972226,-146.317973174718,-157.304929496512,-154.460074700037,-163.059108761436,-150.421099402923,-165.28874687578,-186.177591451134,-170.116636274644,-41.3703235183258,-156.619742675214,-167.796973658085,-165.104847923706,-170.923633613597,-148.909270253889,-172.073202844385,-55.249022391312,-156.184250384259,-173.71203885587,-151.597801784319,-164.071792580541,-186.386808204631,-66.2666192002193,-198.862023830708,-199.0974880426,-195.929520979737,-207.710965868269,-194.492548269474,-184.625051506843,-195.211065723735,-194.657035469041,-189.319696601052,-197.844585243069,-104.096079493613,-49.1748035930819
,55.9,152.060307292597,123.354324448439,129.426004459711,153.156889729087,161.45426404096,179.762377003616,107.174993794666,84.6517689825748,184.154856263281,-166.618376416777,28.5472077254921,-127.987701955991,-182.513134190908,-149.787947193346,-192.596783545437,-136.903678300129,22.1851016070336,-148.856164025569,-132.043300442585,-152.811176895279,-144.588072590744,-12.5912301906516,-140.901334929607,-156.273619298482,-151.306015526581,-95.0209989972196,-146.317973174701,-157.304929496536,-154.460074700022,-163.05910876143,-150.421099402934,-165.288746875794,-186.177591451172,-170.116636274668,-41.3703235183042,-156.619742675219,-167.796973658091,-165.104847923727,-170.923633613633,-148.909270253869,-172.073202844385,-55.249022391328,-156.184250384299,-173.712038855859,-151.597801784322,-164.071792580553,-186.386808204637,-66.2666192002439,-198.862023830692,-199.097488042636,-195.929520979709,-207.71096586826,-194.492548269491,-184.625051506849,-195.211065723737,-194.657035469024,-189.319696601049,-197.844585243077,-104.096079493599,-49.1748035930829
,56.2,152.060307293101,123.354324448293,129.426004459627,153.156889729067,161.454264040804,179.762377003783,107.174993795201,84.6517689825483,184.154856263286,-166.618376416945,28.5472077256081,-127.987701955792,-182.513134190993,-149.787947193236,-192.596783545148,-136.903678300182,22.1851016068877,-148.85616402582,-132.043300442914,-152.811176895335,-144.588072590801,-12.5912301908312,-140.901334929572,-156.273619298347,-151.306015525911,-95.0209989972124,-146.317973174797,-157.304929496383,-154.460074700194,-163.059108761467,-150.421099402821,-165.288746875682,-186.177591450868,-170.116636274465,-41.3703235184668,-156.61974267518,-167.796973657988,-165.104847923546,-170.923633613321,-148.909270253986,-172.073202844329,-55.2490223912317,-156.184250384014,-173.712038855906,-151.597801784311,-164.071792580468,-186.386808204564,-66.2666191999953,-198.862023830857,-199.097488042418,-195.929520979909,-207.710965868298,-194.492548269295,-184.625051506807,-195.211065723681,-194.657035469151,-189.3196966011,-197.844585243004,-104.096079493708,-49.1748035930908
,56.5,150.562874843231,121.596072566082,127.806041218135,152.301356987655,160.170562046065,178.862567120825,104.87791587493,82.6047138834398,183.594887054724,-170.445480534155,28.2940346130782,-131.040594504464,-186.768318087112,-152.410243612136,-196.939568787221,-139.7447150202,22.0481214295563,-152.381585093956,-135.693785366137,-156.139140629649,-147.831926383486,-13.6810197048408,-144.364783376743,-160.270946308852,-155.068449791868,-97.978514844306,-149.505111411498,-160.941660325308,-158.218618462157,-166.522071396764,-153.8700605938,-168.456664174856,-189.398255306452,-173.64471168465,-43.2921381432546,-160.834993522018,-171.36277287534,-168.689615421905,-174.379789085253,-152.743042075687,-175.184646802868,-58.1745357590527,-159.364017441246,-177.548376293412,-155.342160828672,-168.111595968861,-190.296577452303,-69.9479836655799,-202.801820231277,-203.517500037059,-200.239522677729,-212.064075513203,-198.388941228903,-188.414268030004,-199.36473341269,-198.828169006283,-193.172637423044,-205.699518272977,-108.960779106257,-50.7587560676209
,56.8,159.924666563047,132.722929674491,137.996082785627,157.254125276602,167.979439182567,184.173090622425,119.471476051719,95.4532448535648,186.714886314333,-146.642620246269,29.9023539993524,-112.293087388937,-160.369379437435,-136.68666094943,-170.087902121987,-122.523974465435,22.8097759464112,-130.608464427186,-113.142569218237,-135.699036712397,-127.973602558865,-7.02069453895983,-122.736958997059,-135.595708755617,-131.85161534484,-79.6544584363736,-129.873302966343,-138.415948722587,-134.753177393017,-145.119406639359,-132.248901221468,-148.657960244463,-169.40674129507,-151.460644000449,-31.0454995227455,-134.419688566278,-149.222511317472,-146.415385061731,-153.048925389131,-128.996969949059,-156.157688530688,-40.1486185812356,-139.801800599844,-153.848149011076,-132.110137721144,-143.065060416475,-166.14838474938,-47.0090483350721,-178.524025533979,-175.998753118515,-173.375611504845,-184.961956986626,-174.186811826669,-164.835166681078,-173.386463189166,-172.745884953377,-169.229404720367,-155.627817583763,-78.4997109110418,-40.7294165533102
,57.1,177.158202907043,152.338041367406,156.332795110249,169.511212547109,184.275604371036,196.456693342755,144.741351629435,118.941842294387,195.370581581771,-101.402954815654,32.6990891196061,-75.0096011052673,-109.813825793699,-102.244927002488,-117.915885510933,-86.310441918622,25.0452102550563,-88.0902908671961,-69.1089046377359,-94.6284133881799,-87.7963462580563,6.46875205837887,-82.3667982340438,-87.3407327098365,-86.2673312870644,-44.3967791554121,-91.2842351369625,-94.8563717416513,-91.0679414754854,-103.82986400447,-92.7078514449067,-112.074520625263,-131.210085306963,-111.42684367148,-10.3004890278654,-85.8137863466614,-106.888218037651,-103.980776231403,-111.24994356373,-82.9499688139121,-117.267037528456,-4.20651732090429,-100.879398021395,-107.290816701805,-87.4669264103166,-94.7083837748187,-118.856106456469,-3.32923255397191,-130.424772211326,-123.67123762851,-122.631842514765,-133.420287562542,-127.975398368994,-120.088726140189,-125.173366607031,-124.271734426701,-123.579337765134,-69.4508221530447,-22.2550949476268,-23.0672286056735
,57.4,190.074880657356,164.439557607562,169.087462396761,181.838473833561,196.751120042164,208.027187421369,160.121431996686,134.480517136068,205.697512088501,-69.446404571637,34.3314451760066,-44.8459235869386,-72.5692666359498,-72.2204868449201,-78.7605592942369,-56.2820662717737,26.9056797987651,-56.2592489105574,-36.339288507772,-64.4618770473437,-56.0018352852126,17.8333412728731,-54.1601749590219,-50.6571105296996,-52.4538547447336,-18.0308917304683,-60.634657716862,-63.2651362962944,-59.4633744070704,-70.309161858318,-64.8871102467748,-85.4556977183855,-103.42051492468,-83.7585935761823,3.1644637537886,-52.9276642553392,-76.4349828564597,-73.4735636278303,-79.9003616017842,-50.3708903951629,-88.1415340482151,20.45007255709,-71.5679840912287,-74.5998115401812,-55.7260125040792,-60.7202886807712,-84.3243693934119,24.360565725165,-95.6860145630155,-88.6668892259187,-88.1362610087861,-99.0612558098557,-94.8753426329635,-88.5819464837133,-92.199479700782,-91.2619310976879,-91.1680606963701,-22.9091282899176,16.1418876456749,-12.0380159097787
,57.7,203.091025343521,176.737774802244,181.540552055551,193.550691117063,208.044957630455,219.498668431783,174.448319157193,148.929691691171,215.392422394096,-41.238673765868,35.6829279996426,-16.5930204925265,-38.3896168356474,-45.3053895168773,-44.0862366328709,-29.4900234609743,28.100832469222,-26.7897871849395,-7.24480745837582,-40.0004612254387,-28.5137112804891,27.6804749719675,-29.5743003970279,-18.7266443654562,-22.9698054416546,6.07268533939722,-32.9118286441875,-36.1000239881154,-30.4972666835674,-37.6236058165406,-38.609082503422,-57.3088637943814,-76.0591628208628,-57.7331499830609,16.6746529993054,-24.2682276167985,-48.9481758616247,-45.2632156814877,-52.5523558034532,-23.6192347665538,-62.9100478795912,38.8841474333515,-47.9703911012734,-48.0531426156131,-28.0835555409196,-31.5326236649666,-54.899165698442,45.3842662044561,-65.890760238301,-59.5470167521194,-59.6865386263058,-69.9157622761364,-64.9141796047892,-62.3355415286433,-63.4032028767134,-62.6672474646455,-61.5614836470365,9.24284978964238,48.6650148008149,-3.5004713060287
