,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Content,,,,Std-2,Std-2,Std-2,Std-3,Std-3,Std-3,Std-4,Std-4,Std-4,,,,,,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,,,,,,,,,,,,,,,,,,,,,,,,
A,Peak 1,,,,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,,,,,,,None,None,None,None,None,None
A,Peak 2,,,,None,None,None,None,None,None,None,None,None,,,,,,,None,None,None,None,None,None
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,,,,,,,,,,,,,
B,Peak 1,None,None,None,None,None,None,None,None,None,None,85.8,None,None,None,None,None,None,None,None,None,None,None,None,None
B,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Neg Ctrl,Neg Ctrl,Neg Ctrl,,,
C,Sample,,,,,,,,,,,,,,,,,,,,,,,,
C,Peak 1,None,None,85.8,None,None,85.5,85.8,None,85.8,None,None,None,None,None,None,None,85.2,None,None,None,None,,,
C,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,
D,Content,,,,,,,,,,,,,,,,,,,,,,,,
D,Sample,,,,,,,,,,,,,,,,,,,,,,,,
D,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
D,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
E,Content,,,,,,,,,,,,,,,,,,,,,,,,
E,Sample,,,,,,,,,,,,,,,,,,,,,,,,
E,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
E,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
F,Content,,,,,,,,,,,,,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,,,,,,,,,,,,,
F,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
F,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
G,Content,,,,,,,,,,,,,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,,,,,,,,,,,,,
G,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
G,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
H,Content,,,,,,,,,,,,,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,,,,,,,,,,,,,
H,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
H,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
I,Content,,,,,,,,,,,,,,,,,,,,,,,,
I,Sample,,,,,,,,,,,,,,,,,,,,,,,,
I,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
I,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
J,Content,,,,,,,,,,,,,,,,,,,,,,,,
J,Sample,,,,,,,,,,,,,,,,,,,,,,,,
J,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
J,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
K,Content,,,,,,,,,,,,,,,,,,,,,,,,
K,Sample,,,,,,,,,,,,,,,,,,,,,,,,
K,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
K,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
L,Content,,,,,,,,,,,,,,,,,,,,,,,,
L,Sample,,,,,,,,,,,,,,,,,,,,,,,,
L,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
L,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
M,Content,,,,,,,,,,,,,,,,,,,,,,,,
M,Sample,,,,,,,,,,,,,,,,,,,,,,,,
M,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
M,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
N,Content,,,,,,,,,,,,,,,,,,,,,,,,
N,Sample,,,,,,,,,,,,,,,,,,,,,,,,
N,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
N,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
O,Content,,,,,,,,,,,,,,,,,,,,,,,,
O,Sample,,,,,,,,,,,,,,,,,,,,,,,,
O,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
O,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
P,Content,,,,,,,,,,,,,,,,,,,,,,,,
P,Sample,,,,,,,,,,,,,,,,,,,,,,,,
P,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
P,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
