,Temperature,A4,A5,A6,A7,A8,A9,A10,A11,A12,A19,A20,A21,A22,A23,A24,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
,55,11961.7730371633,11127.0557781858,11036.8658862526,10647.7803323128,11637.690704774,12103.6837816539,10656.6670480732,10121.373749211,11679.7589089001,8373.85002057318,3846.84723696826,8884.53585215052,8749.92451773082,8742.1158791871,8431.50523447669,8321.10572858365,3915.55621426988,8891.5328209311,8790.49805245796,8141.80152030695,8437.41988585581,4239.4421571502,8115.14639213806,8744.29581096097,9018.11547209421,8861.56089804012,8081.15631294762,8327.17534297086,8098.95596206274,8611.61513463961,8389.39114374797,8050.90985233919,7834.29814959206,7786.98174727739,7265.37070187123,8141.7315124444,8103.82347214911,7946.31313443598,7923.80442027191,9112.44451690053,8242.73877558903,9044.6280099094,8355.15090513225,8262.7094010936,8933.07226794035,8790.53393714131,9035.66437645041,9532.38521945228,8797.14349606338,8865.69326669957,8437.15298962905,8722.92498634415,8656.28572747897,8314.53972628348,8185.5074388741,8639.60988598036,8573.12421063854,5013.2143541129,7069.32000888692,3796.61453717138
,55.3,11916.1549449755,11090.0494808513,10998.0380849147,10601.8332653941,11589.2544255617,12049.7550685528,10624.5145499348,10095.9782185162,11624.5124520212,8423.83553349822,3838.28307465061,8922.93216273731,8804.67845798809,8787.0522633451,8489.28426954031,8362.17683207369,3908.90068378777,8936.18967013879,8830.11104259074,8187.64487337553,8480.79630763304,4243.2195262074,8157.41679261694,8791.17789675051,9063.50727675216,8890.06719773929,8125.05170490004,8374.36682181981,8145.29398447275,8660.53286726804,8434.51747356885,8100.49647640192,7890.1514270274,7838.01673815978,7277.78179892673,8188.71743524697,8154.16256424653,7995.8445888131,7975.08151035599,9157.11729797669,8294.36073644235,9061.2027166268,8402.00618024753,8314.82301275036,8978.55160847564,8839.75547491547,9091.5804189118,9552.26520521234,8856.80210321259,8925.42251311236,8495.93184592297,8785.23827610463,8714.63349195982,8369.92724173553,8244.07075859122,8698.00699662107,8629.92011961886,5072.56772968582,7100.54883273501,3811.3669782493
,55.6,11870.5368527877,11053.0431835167,10959.2102835768,10555.8861984753,11540.8181463495,11995.8263554517,10592.3620517964,10070.5826878214,11569.2659951422,8473.82104642326,3829.71891233296,8961.32847332411,8859.43239824537,8831.9886475031,8547.06330460393,8403.24793556373,3902.24515330567,8980.84651934647,8869.72403272353,8233.48822644412,8524.17272941027,4246.9968952646,8199.68719309583,8838.05998254005,9108.89908141011,8918.57349743845,8168.94709685245,8421.55830066876,8191.63200688276,8709.45059989647,8479.64380338973,8150.08310046466,7946.00470446274,7889.05172904217,7290.19289598223,8235.70335804953,8204.50165634395,8045.37604319021,8026.35860044008,9201.79007905286,8345.98269729566,9077.77742334419,8448.86145536281,8366.93662440712,9024.03094901094,8888.97701268963,9147.49646137319,9572.14519097241,8916.46071036181,8985.15175952514,8554.7107022169,8847.55156586511,8772.98125644066,8425.31475718758,8302.63407830835,8756.40410726178,8686.71602859917,5131.92110525874,7131.77765658309,3826.11941932723
,55.9,11824.9187605999,11016.0368861822,10920.3824822389,10509.9391315566,11492.3818671372,11941.8976423506,10560.209553658,10045.1871571266,11514.0195382632,8523.8065593483,3821.15475001531,8999.7247839109,8914.18633850264,8876.9250316611,8604.84233966754,8444.31903905377,3895.58962282357,9025.50336855415,8909.33702285632,8279.3315795127,8567.5491511875,4250.7742643218,8241.95759357471,8884.94206832959,9154.29088606806,8947.07979713762,8212.84248880487,8468.74977951772,8237.97002929277,8758.3683325249,8524.7701332106,8199.66972452739,8001.85798189808,7940.08671992456,7302.60399303773,8282.6892808521,8254.84074844138,8094.90749756732,8077.63569052415,9246.46286012903,8397.60465814898,9094.35213006158,8495.71673047809,8419.05023606388,9069.51028954624,8938.19855046379,9203.41250383458,9592.02517673247,8976.11931751102,9044.88100593792,8613.48955851082,8909.86485562559,8831.3290209215,8480.70227263964,8361.19739802546,8814.80121790249,8743.51193757949,5191.27448083166,7163.00648043118,3840.87186040515
,56.2,11779.3006684121,10979.0305888477,10881.554680901,10463.9920646379,11443.9455879249,11887.9689292495,10528.0570555196,10019.7916264319,11458.7730813842,8573.79207227334,3812.59058769766,9038.12109449769,8968.94027875992,8921.8614158191,8662.62137473117,8485.39014254381,3888.93409234146,9070.16021776183,8948.95001298911,8325.17493258129,8610.92557296472,4254.551633379,8284.22799405359,8931.82415411913,9199.68269072601,8975.58609683679,8256.73788075728,8515.94125836667,8284.30805170278,8807.28606515333,8569.89646303148,8249.25634859013,8057.71125933343,7991.12171080696,7315.01509009322,8329.67520365466,8305.1798405388,8144.43895194443,8128.91278060823,9291.13564120519,8449.22661900229,9110.92683677898,8542.57200559337,8471.16384772064,9114.98963008153,8987.42008823796,9259.32854629597,9611.90516249254,9035.77792466023,9104.6102523507,8672.26841480474,8972.17814538607,8889.67678540234,8536.08978809169,8419.76071774258,8873.19832854321,8800.3078465598,5250.62785640458,7194.23530427926,3855.62430148308
,56.5,11733.6825762241,10942.0242915132,10842.7268795631,10418.0449977192,11395.5093087127,11834.0402161483,10495.9045573809,9994.39609573711,11403.5266245052,8623.77758519845,3804.02642537995,9076.51740508439,9023.69421901724,8966.79779997705,8720.40040979466,8526.46124603387,3882.27856185942,9114.81706696962,8988.56300312204,8371.0182856499,8654.30199474197,4258.32900243629,8326.49839453245,8978.70623990861,9245.07449538366,9004.09239653595,8300.63327270974,8563.13273721556,8330.64607411287,8856.20379778177,8615.02279285231,8298.84297265281,8113.56453676863,8042.15670168926,7327.4261871488,8376.66112645721,8355.51893263618,8193.97040632146,8180.18987069217,9335.80842228141,8500.84857985558,9127.50154349633,8589.42728070851,8523.27745937742,9160.46897061682,9036.64162601208,9315.24458875732,9631.78514825249,9095.43653180952,9164.33949876339,8731.04727109875,9034.49143514657,8948.02454988309,8591.47730354372,8478.32403745968,8931.59543918398,8857.10375554014,5309.98123197747,7225.46412812739,3870.376742561
,56.8,11688.0644840363,10905.0179941787,10803.8990782252,10372.0979308004,11347.0730295004,11780.1115030472,10463.7520592425,9969.00056504234,11348.2801676262,8673.76309812349,3795.4622630623,9114.91371567117,9078.44815927451,9011.73418413505,8778.17944485828,8567.53234952391,3875.62303137732,9159.4739161773,9028.17599325483,8416.86163871848,8697.6784165192,4262.10637149349,8368.76879501134,9025.58832569815,9290.46630004161,9032.59869623511,8344.52866466216,8610.32421606451,8376.98409652289,8905.1215304102,8660.14912267318,8348.42959671554,8169.41781420397,8093.19169257165,7339.83728420429,8423.64704925977,8405.8580247336,8243.50186069857,8231.46696077625,9380.48120335758,8552.47054070889,9144.07625021373,8636.28255582379,8575.39107103418,9205.94831115212,9085.86316378624,9371.16063121871,9651.66513401256,9155.09513895874,9224.06874517617,8789.82612739267,9096.80472490704,9006.37231436393,8646.86481899578,8536.8873571768,8989.99254982469,8913.89966452046,5369.33460755039,7256.69295197547,3885.12918363893
,57.1,11637.055635029,10861.6819900682,10759.2394092179,10323.0709460127,11294.0154231071,11722.9434743675,10423.3300805911,9936.23563599077,11291.0178215964,8709.97103622655,3785.98667753954,9142.31961308274,9117.88343750574,9047.230301185,8820.32445305042,8598.37572082188,3868.47437225683,9191.4392495397,9054.64723766401,8450.72432234353,8729.37696464277,4261.96049830026,8398.57078108041,9058.08003424985,9322.31334134211,9050.45793888473,8376.95035896246,8644.42346392933,8409.79136138981,8941.57259755156,8692.85919220654,8386.61171850124,8213.67670175919,8131.52561197737,7345.32984861057,8455.4580690137,8443.36023964856,8280.12815208159,8270.30189116138,9411.35240587561,8592.89130331147,9150.11910880697,8671.69066953302,8613.69386791593,9237.9479591277,9120.54140936217,9413.00150438822,9658.29220769652,9200.57047906644,9267.88594840824,8833.08897757443,9143.44681994586,9050.6930641902,8688.61115496431,8580.49747321349,9033.37357973173,8956.82498654175,5400.4102242154,7270.40885721837,3894.17939580854
,57.4,11582.0139384783,10814.0947241159,10710.4408161678,10270.3145019815,11236.7204841374,11662.2181212437,10377.5585549871,9898.139629934,11230.8762488456,8735.42624761159,3775.92107937206,9160.28364388433,9145.12426069315,9073.24944606471,8849.69727313809,8619.61963277233,3860.61576892778,9212.94720638454,9070.31064013917,8474.30669396574,8750.82036295916,4258.32909995053,8418.95403404777,9078.66995732885,9342.92764315222,9059.75438525608,8399.73068010023,8667.96965667553,8432.35891130339,8967.80659940991,8716.49161346802,8416.23765849747,8248.74431059568,8160.81467471023,7346.48058350556,8476.13986526804,8470.70925589494,8306.6055318032,8298.83281296103,9431.09841814219,8623.40072793897,9147.33233237163,8697.39263402997,8640.64177958878,9259.22504237244,9143.58413753934,9443.24968624542,9654.72906403847,9234.16301079321,9299.38633828281,8864.44986519278,9177.95817862857,9083.95237728318,8719.75399940448,8612.95693629205,9065.53826709309,8988.85183757937,5413.79965100649,7271.19417772734,3899.41962787145
,57.7,11523.0477422256,10763.0550799334,10657.8588455007,10214.0179323372,11176.0811215445,11598.1372577536,10327.4253892036,9855.69924713022,11167.6293679544,8752.0321437669,3765.41367668859,9169.44226681066,9161.77325750902,9090.8381582054,8868.04584819383,8632.44192111414,3852.38321918136,9225.47834150557,9076.84812150086,8489.9164394305,8763.37071973269,4251.39833750276,8431.45983318141,9088.93265519879,9354.20284763516,9061.50950374424,8413.62614972127,8682.8133238337,8445.80000304516,8983.89683936332,8732.01445400937,8437.83919265725,8275.82020079724,8182.00392158058,7343.49082105864,8487.67402367542,8489.53119699129,8324.46898072547,8318.61689134093,9442.12625282821,8646.12874259373,9138.40673840433,8715.14207348091,8659.03618768771,9271.80188530221,9157.45923444753,9464.07504572771,9644.31135126547,9258.45032652449,9321.66378815391,8886.56254044646,9203.40602969358,9107.95361910866,8742.27133270866,8636.25655059642,9088.58293339503,9011.83552405693,5415.67861987531,7261.35559233084,3901.65827344073
