,Well,Fluor,Target,Content,Sample,Melt Temp
,A04,SYBR,,Std-2,,84.6
,A05,SYBR,,Std-2,,84.6
,A06,SYBR,,Std-2,,84.6
,A07,SYBR,,Std-3,,84.6
,A08,SYBR,,Std-3,,84.6
,A09,SYBR,,Std-3,,84.6
,A10,SYBR,,Std-4,,84.6
,A11,SYBR,,Std-4,,84.6
,A12,SYBR,,Std-4,,84.6
,A19,SYBR,,Unkn,,None
,A20,SYBR,,Unkn,,None
,A21,SYBR,,Unkn,,None
,A22,SYBR,,Unkn,,None
,A23,SYBR,,Unkn,,None
,A24,SYBR,,Unkn,,None
,B01,SYBR,,Unkn,,None
,B02,SYBR,,Unkn,,None
,B03,SYBR,,Unkn,,None
,B04,SYBR,,Unkn,,None
,B05,SYBR,,Unkn,,None
,B06,SYBR,,Unkn,,None
,B07,SYBR,,Unkn,,None
,B08,SYBR,,Unkn,,None
,B09,SYBR,,Unkn,,None
,B10,SYBR,,Unkn,,None
,B11,SYBR,,Unkn,,85.8
,B12,SYBR,,Unkn,,None
,B13,SYBR,,Unkn,,None
,B14,SYBR,,Unkn,,None
,B15,SYBR,,Unkn,,None
,B16,SYBR,,Unkn,,None
,B17,SYBR,,Unkn,,None
,B18,SYBR,,Unkn,,None
,B19,SYBR,,Unkn,,None
,B20,SYBR,,Unkn,,None
,B21,SYBR,,Unkn,,None
,B22,SYBR,,Unkn,,None
,B23,SYBR,,Unkn,,None
,B24,SYBR,,Unkn,,None
,C01,SYBR,,Unkn,,None
,C02,SYBR,,Unkn,,None
,C03,SYBR,,Unkn,,85.8
,C04,SYBR,,Unkn,,None
,C05,SYBR,,Unkn,,None
,C06,SYBR,,Unkn,,85.5
,C07,SYBR,,Unkn,,85.8
,C08,SYBR,,Unkn,,None
,C09,SYBR,,Unkn,,85.8
,C10,SYBR,,Unkn,,None
,C11,SYBR,,Unkn,,None
,C12,SYBR,,Unkn,,None
,C13,SYBR,,Unkn,,None
,C14,SYBR,,Unkn,,None
,C15,SYBR,,Unkn,,None
,C16,SYBR,,Unkn,,None
,C17,SYBR,,Unkn,,85.2
,C18,SYBR,,Unkn,,None
,C19,SYBR,,Neg Ctrl,,None
,C20,SYBR,,Neg Ctrl,,None
,C21,SYBR,,Neg Ctrl,,None
