,Cycle,A4,A5,A6,A7,A8,A9,A10,A11,A12,A19,A20,A21,A22,A23,A24,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
,1,11.0593130220177,1.75218542567018,5.37384283340543,7.53110888504625,6.52921409306828,3.81305765284969,-8.53978008040531,-7.04132818638254,1.8497893283984,-30.3430456167971,-28.0790262689761,-13.835214281733,-33.3577763618005,-34.6307516750503,-21.1559379666637,-27.0828067470043,6.72327486129689,-18.3720798094901,-15.1322504332238,-24.6052371407773,-15.1671091682183,-23.4551814445326,-21.187714463314,-8.67941455268283,-25.9262351654161,-17.5292714348234,-23.1238386135769,-28.4251968440249,-21.4448618842816,-20.2091830873937,-25.0801883795843,-44.6236872705958,-30.4818341266496,-22.9085972069897,-26.0758702475364,-24.3349646125448,-32.8251288762858,-33.412722980815,-41.7915062529792,-40.9493125933418,-23.9606661728731,-47.7441585731367,-37.9264828842215,-26.0115122500952,-15.3378268003748,-20.963043504129,-30.0123480170219,-49.0972136347591,-18.4106458485421,-37.4246315846776,-19.6886795477035,-38.0568060592063,-22.7049961911948,-28.066931764793,-15.6483175235458,-26.1751701392272,-21.0956643062414,-17.1644745542326,-15.9871241696087,-36.0895799535942
,2,10.8864162798272,4.66401859971029,3.46007785691882,-1.91677536548423,3.02681202470285,0.888799126799313,-3.49499774180276,-5.67343996817954,-1.65018327407142,-17.5509755692874,-15.1584546405415,-12.3353999292681,-19.7672857788534,-23.7368124461809,-14.4472130385843,-14.1224087177575,12.1261545276361,-10.3538614471263,-7.86636012154986,-13.4432264262341,-10.0236513588229,-17.4106240098627,-17.5731153848742,-6.59774267738248,-19.5011921902333,-15.6081835509035,-11.3688055819784,-16.9201615886341,-16.7043829271529,-13.4123871892584,-18.512744082228,-28.175431929667,-25.2172767727352,-17.1464336299482,-15.3241700736394,-16.4167227365888,-21.2245553679072,-17.0385016294272,-27.5190491825415,-20.8880197225499,-14.6308552241762,-31.3644946721024,-20.7087469013522,-16.5427398921534,-10.9052120367046,-15.6471103417607,-18.5894239681361,-27.6283247743986,-10.5649997455357,-27.432695877591,-17.3802167461899,-23.8108216646274,-11.5816413835901,-24.161954186663,-11.0410557994805,-14.7367832406062,-11.9948426326896,-10.8820147120382,-13.9470395213398,-21.007371247732
,3,5.56640492779206,4.06667912339481,4.25715708287316,2.46713015613068,3.79490744469513,5.22203043966783,-0.984734772013326,0.907070938377274,1.95826699880035,-8.40717596929244,-11.2298707183236,-6.12257006829805,-8.77954273984642,-7.13969948056638,-11.7739723010886,-6.74644209411963,16.1703210622468,-6.10478980595826,-5.13778908924314,-10.6649479018652,-6.18878343329834,-13.4548848643094,-9.48667034907294,-4.21891611749334,-11.4291350760082,-7.32824324892135,-8.04355591595959,-12.5882574644006,-11.7929194330814,-8.85834131436968,-10.6752913309751,-15.2575151303663,-15.5987102244703,-10.9088589488751,-8.36381181967499,-8.8494475765433,-13.1484419779508,-16.3874484780945,-16.4804428578491,-8.4442403537023,-10.1705682398424,-18.7377788921685,-12.4089286101066,-7.05027832513906,-6.50700961213806,-5.61800741921525,-10.8436596880865,-17.3193483067648,-7.40614657392189,-17.1121183749847,-8.68862773689307,-13.3677082106765,-7.65716778192382,-9.80368937539151,-5.67796637078436,-8.65621348133527,-6.49377915374725,-9.82027760312849,-4.26847670282541,-10.1963223696885
,4,3.03240438693911,2.35039613108529,3.49457327587243,-0.628386711105122,1.86054112884176,-2.98053545092625,0.898765651913436,4.95995526602837,1.03162338857419,-5.0992118903464,-7.13312270142751,-0.8559978914368,-0.408464742684828,-4.13647479006886,-9.28162286836869,-1.829698796907,21.5604280830048,-4.9615272540459,-3.1294390096059,-4.4507705379242,-4.98449058748292,-7.8559860117025,-1.23292999095156,-3.61165880981434,-11.6238918527688,-6.35455971063948,-3.27702815497014,-6.71087035895289,-7.8891073406653,-3.9623550430274,-5.79470822802932,-7.81214133004596,-6.99713011922995,-4.95544081862499,-4.01334027467283,-7.76538398541743,-5.75012911937301,-0.554371104939946,-9.54375148720237,-6.03341701667978,-6.55080628980613,-7.52987106438877,-6.05822696237374,-0.894872594231856,-5.61031310908584,-3.82888498444981,-8.37977735122649,-7.57755102517831,-4.7421338720751,-7.62616830331808,-1.73960647585,-8.29232714492946,-4.09856265314511,-1.73125024411593,0.12632938533352,-4.38448351903708,-3.40194434925161,-3.23861746754983,-1.75402279005039,-5.25491336746472
,5,3.73535412525644,2.73642337943465,4.44736656712939,3.04941369835387,4.56160200932482,5.45600698544786,6.31849950014384,0.135869882077259,3.56173210899397,0.460719923996294,-2.07112112653931,-0.560994996081263,2.94008370825622,1.16913430912018,1.38677840257742,-2.04943726048805,26.3776574205071,-0.567262838830629,0.755826034283473,-2.5749645035512,-3.26960870308631,-4.388630923866,0.174423295148245,-0.0181658223195882,-1.93101516996012,-0.478654422653108,1.25593043404979,-1.31434059304001,0.0631777976686863,-1.30250372052205,-1.71840741124288,-5.67565519626714,-3.5718557464661,-0.293311293199622,-2.51756575124,-1.81040000261783,-2.46758452803897,-2.47206241812273,0.499071072109473,-2.90520155875765,-3.66218332684048,-2.48860643696707,-1.45148777726445,-1.54843693856765,-1.12326317916404,0.0177480417655715,-3.47491292166342,-4.84657700362823,-1.42423635822934,-3.35987320911772,-0.491727816225648,-2.27818871015143,0.0395697186349935,-2.80584664905791,-1.97021355794777,-2.69413767889591,-1.10266146174172,-1.19141935944344,-2.51719680263432,-5.65189838633205
,6,2.22703005188487,-2.05716960681684,-1.21083640627694,5.19418252144214,3.38735848859415,0.964046875148597,1.97602750062561,1.76475852134399,2.60219020956174,1.23536477486186,-4.14008347489289,-1.17503285639214,3.95106655640666,3.15567478583807,4.9337285237898,2.33841414859717,30.9841354515484,1.80652739873176,1.42151279089785,0.570448464864057,3.55359642037502,-2.18969081940986,0.142085571231746,1.07022178673333,2.59160788987356,0.268471403405329,-0.066904576509387,0.686741620550492,3.91358901071226,2.76855168585962,0.462019101465103,-1.49130868676275,2.34608895633346,2.28297980985599,3.6495531182959,-0.263686095220692,-3.74946733205115,-0.130544401347379,2.0327929747782,1.51407010960793,1.34639645214065,-0.0144101684818452,5.29780679003034,0.859126612258933,0.705802851242879,1.51741547286247,2.44834236178485,1.90755605705726,1.65437802180986,0.651264673981586,0.0955867851535004,1.29128428122749,-1.07733758194581,1.28163847052519,-1.88801215053991,1.69232228034798,1.88982473947635,0.657050846625225,-2.68164855470968,-5.20780268433691
,7,-0.593498656056909,3.40302043109477,-1.28835294172586,3.01311886202757,0.889899448065989,1.61801789219089,3.11079657588425,2.62060750968521,1.19703799079343,3.89886178772713,-2.29713613220019,5.17242704118735,6.2232441546812,2.90737000400122,-0.573882531163235,1.60043542395579,34.6726666848608,2.19325359098866,1.19160195815539,2.21266452311647,2.6924342831403,-4.37818957843911,1.23290994856279,1.53944321749486,2.0197724096297,6.22480379633407,3.45948861721217,3.8565042573382,1.44523117580229,2.46485390292082,5.49885336292391,4.02639042915598,4.97000285657396,2.76854263109954,3.86481948329856,0.900585275481717,3.09727949560465,5.07078783713177,3.11780224695576,3.52071619250455,2.93433707596023,5.10279203016125,3.1967943765153,0.476610220991915,2.35743802350862,1.50039796354895,4.61795692140186,6.00134353771136,2.16162956536755,2.78983876308848,1.81289718723883,4.46855838454985,4.15968861404281,3.01597162428698,1.23015775155727,2.67555753131228,0.952822534138704,-0.937538266268803,3.55743090336455,-3.49973068319332
,8,-0.0554068007390924,1.75375411978303,2.38147997989245,1.23394647941768,0.135504895092708,2.1267342471906,1.9686201718846,1.64598341966939,1.09252601769322,4.7771961265521,-0.833387110532385,0.454482665503747,7.99967655738055,4.66623589316623,1.38420272135318,0.77174639761688,36.6555484966152,4.39797837557035,4.63369960757927,5.5500381821771,2.24524589346356,2.09568050425696,5.50475060800318,3.96912363492447,7.41834272992128,4.42545878830924,1.3755986709175,3.63096463894544,4.56155376073457,3.61990894157407,8.28973903113501,5.44952710531061,5.88803376382066,8.50554670721294,6.04095357906999,3.29318421675725,3.0960312699076,7.02434936807776,8.64277656644981,4.76432198853354,7.47451925965333,9.89005344068391,6.81367753458744,4.46218504803483,5.78366130966924,2.54549307182742,3.51835639416731,4.00620540938871,5.95990053380956,6.17174913761255,2.1108186968554,6.82161337167781,5.90981501661463,6.3792779594819,3.59872264619162,4.47815717729554,6.55681282307341,-0.163830544080611,3.64019949804515,-1.45773392423007
,9,1.56902867353529,2.06771749336576,1.34988239486347,-0.511284558559964,0.622837604068081,-1.12984000582856,3.0375882310459,2.84000329883065,1.59169178403226,3.58759130546468,1.15958475123898,5.30394983411952,5.15371163514328,5.59695609392838,-0.688952719271583,3.27886527333703,36.4805146472218,1.83254612674773,4.04383849431815,3.94288470562378,6.75679124063981,4.02852517013935,6.27139866590369,4.34906690931211,4.84212850238873,7.81778997428728,4.84156767558943,6.89866696647914,6.51012129491255,6.44883001302287,9.43799961893774,8.60950313441526,7.64540018940306,7.26665265919155,6.25836257916808,6.49418690197081,10.5798508430753,5.91066053377745,8.65358471779155,7.72401133900848,2.09746686631479,11.5240207304896,6.7425411841723,2.56498457506677,5.6099385004818,4.47752703833476,3.04155622637472,9.63368399876617,6.34027821586051,2.97450867399402,5.04243297083485,6.5716346907202,5.28725253637231,6.51790693378734,2.98653584951126,5.37970672681922,4.91850956659482,-2.33865187215542,-0.128529729440743,1.81963330954159
,10,4.59320911119994,3.90970925619513,1.38781147859208,-3.10390485228163,-5.44146344006504,-0.800715812933959,1.86009174363835,1.68578813915519,3.51313210896751,3.58979094604547,-1.08566647984844,6.6641927617502,4.32043328370492,5.18243206792704,2.19949657596408,4.23705226071297,39.0018422603571,6.19767697254974,3.5079066346907,7.42137200934121,6.62945507939639,5.10136044370211,7.14375529677409,3.34145318267838,9.19788303448559,7.79693048257195,8.7122081625007,5.1637919486584,9.79401190515546,6.32887092637657,6.71095432690299,9.72309885792492,7.89284157853672,3.41283710287235,4.79898345769698,4.47870091046843,7.81223237706445,5.88314702074831,8.85998729371204,6.76413712677322,6.39026023427232,12.2739801239036,10.1361317789801,4.10530033130544,7.12458295412671,7.059610201547,5.2333173919983,5.67471845600403,5.57294900711167,8.76874969656137,5.55997232108484,8.39009386766429,7.77997566508293,5.82236497156464,4.44685524604847,5.82221256633193,5.2143679535061,3.24315327001705,1.17081247261285,-2.40904009219321
