,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Content,,,,Std-2,Std-2,Std-2,Std-3,Std-3,Std-3,Std-4,Std-4,Std-4,,,,,,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,,,,,,,,,,,,,,,,,,,,,,,,
A,Cq,,,,15.1395687895881,15.0593263083659,15.3148554411821,20.4189448360147,20.2163113975325,20.3100686843238,24.232375887375,24.6470315496399,24.7587521240269,,,,,,,34.1778939517393,NaN,34.1017948100598,34.8984864552919,32.1957451837085,34.5500253209279
A,copy number,,,,156000000,156000000,156000000,15600000,15600000,15600000,1560000,1560000,1560000,,,,,,,14816.5995803019,NaN,15380.9573850713,10399.6545453516,39229.7764724598,12341.2414911699
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,,,,,,,,,,,,,
B,Cq,34.0126282556357,38.7931342199373,33.1804390672648,34.3439293160452,34.0532912431851,33.8884809965782,NaN,32.5136321558497,35.3307595260615,33.724034821059,34.1969574720366,33.1522444145008,34.1054449316426,32.6539183625056,33.3071998867214,33.2893169367245,34.091701097359,35.1951897220055,32.0765396150777,29.0902625456915,34.7496042668702,33.1772311356553,33.1070790919928,32.4573718491317
B,copy number,16069.6333134264,1535.1233040424,24184.8495978578,13656.1073529549,15751.829921882,17080.1339385752,NaN,33558.1894245149,8410.05275963314,18517.1378624185,14678.4965268088,24522.1405092687,15353.4033671204,31323.4917244467,22724.8232757276,22925.3314865035,15457.4104625712,8989.19675280378,41595.5517323497,180356.88153363,11188.7382517397,24222.9907894532,25072.2810740327,34498.5603582964
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Neg Ctrl,Neg Ctrl,Neg Ctrl,,,
C,Sample,,,,,,,,,,,,,,,,,,,,,,,,
C,Cq,33.1703146292297,37.0126629310318,33.078160558545,35.303940604412,33.427249900121,32.9297882244989,33.5484758033314,34.6790834194829,32.3153105638012,31.9190006987219,33.0236245635892,33.7326404375609,33.1884345123908,32.4306371920578,33.4778113978769,33.3087491674611,32.5742040556224,33.1643630793022,NaN,43.474878532829,NaN,,,
C,copy number,24305.4304258355,3681.16361693411,25430.9898535363,8521.58166796787,21423.4448988475,27353.7387229745,20184.9295237737,11583.1285902361,36992.0173840486,44942.3624202896,26121.4845083423,18439.0251436998,24090.0477101082,34954.6119766753,20897.8990693809,22707.5351098658,32574.3864481408,24376.5930461949,NaN,153.939530368487,NaN,,,
D,Content,,,,,,,,,,,,,,,,,,,,,,,,
D,Sample,,,,,,,,,,,,,,,,,,,,,,,,
D,Cq,,,,,,,,,,,,,,,,,,,,,,,,
D,copy number,,,,,,,,,,,,,,,,,,,,,,,,
E,Content,,,,,,,,,,,,,,,,,,,,,,,,
E,Sample,,,,,,,,,,,,,,,,,,,,,,,,
E,Cq,,,,,,,,,,,,,,,,,,,,,,,,
E,copy number,,,,,,,,,,,,,,,,,,,,,,,,
F,Content,,,,,,,,,,,,,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,,,,,,,,,,,,,
F,Cq,,,,,,,,,,,,,,,,,,,,,,,,
F,copy number,,,,,,,,,,,,,,,,,,,,,,,,
G,Content,,,,,,,,,,,,,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,,,,,,,,,,,,,
G,Cq,,,,,,,,,,,,,,,,,,,,,,,,
G,copy number,,,,,,,,,,,,,,,,,,,,,,,,
