,Well,Fluor,Target,Content,Sample,Cq,SQ
,A04,SYBR,,Std-2,,15.1395687895881,156000000
,A05,SYBR,,Std-2,,15.0593263083659,156000000
,A06,SYBR,,Std-2,,15.3148554411821,156000000
,A07,SYBR,,Std-3,,20.4189448360147,15600000
,A08,SYBR,,Std-3,,20.2163113975325,15600000
,A09,SYBR,,Std-3,,20.3100686843238,15600000
,A10,SYBR,,Std-4,,24.232375887375,1560000
,A11,SYBR,,Std-4,,24.6470315496399,1560000
,A12,SYBR,,Std-4,,24.7587521240269,1560000
,A19,SYBR,,Unkn,,34.1778939517393,14816.5995803019
,A20,SYBR,,Unkn,,NaN,NaN
,A21,SYBR,,Unkn,,34.1017948100598,15380.9573850713
,A22,SYBR,,Unkn,,34.8984864552919,10399.6545453516
,A23,SYBR,,Unkn,,32.1957451837085,39229.7764724598
,A24,SYBR,,Unkn,,34.5500253209279,12341.2414911699
,B01,SYBR,,Unkn,,34.0126282556357,16069.6333134264
,B02,SYBR,,Unkn,,38.7931342199373,1535.1233040424
,B03,SYBR,,Unkn,,33.1804390672648,24184.8495978578
,B04,SYBR,,Unkn,,34.3439293160452,13656.1073529549
,B05,SYBR,,Unkn,,34.0532912431851,15751.829921882
,B06,SYBR,,Unkn,,33.8884809965782,17080.1339385752
,B07,SYBR,,Unkn,,NaN,NaN
,B08,SYBR,,Unkn,,32.5136321558497,33558.1894245149
,B09,SYBR,,Unkn,,35.3307595260615,8410.05275963314
,B10,SYBR,,Unkn,,33.724034821059,18517.1378624185
,B11,SYBR,,Unkn,,34.1969574720366,14678.4965268088
,B12,SYBR,,Unkn,,33.1522444145008,24522.1405092687
,B13,SYBR,,Unkn,,34.1054449316426,15353.4033671204
,B14,SYBR,,Unkn,,32.6539183625056,31323.4917244467
,B15,SYBR,,Unkn,,33.3071998867214,22724.8232757276
,B16,SYBR,,Unkn,,33.2893169367245,22925.3314865035
,B17,SYBR,,Unkn,,34.091701097359,15457.4104625712
,B18,SYBR,,Unkn,,35.1951897220055,8989.19675280378
,B19,SYBR,,Unkn,,32.0765396150777,41595.5517323497
,B20,SYBR,,Unkn,,29.0902625456915,180356.88153363
,B21,SYBR,,Unkn,,34.7496042668702,11188.7382517397
,B22,SYBR,,Unkn,,33.1772311356553,24222.9907894532
,B23,SYBR,,Unkn,,33.1070790919928,25072.2810740327
,B24,SYBR,,Unkn,,32.4573718491317,34498.5603582964
,C01,SYBR,,Unkn,,33.1703146292297,24305.4304258355
,C02,SYBR,,Unkn,,37.0126629310318,3681.16361693411
,C03,SYBR,,Unkn,,33.078160558545,25430.9898535363
,C04,SYBR,,Unkn,,35.303940604412,8521.58166796787
,C05,SYBR,,Unkn,,33.427249900121,21423.4448988475
,C06,SYBR,,Unkn,,32.9297882244989,27353.7387229745
,C07,SYBR,,Unkn,,33.5484758033314,20184.9295237737
,C08,SYBR,,Unkn,,34.6790834194829,11583.1285902361
,C09,SYBR,,Unkn,,32.3153105638012,36992.0173840486
,C10,SYBR,,Unkn,,31.9190006987219,44942.3624202896
,C11,SYBR,,Unkn,,33.0236245635892,26121.4845083423
,C12,SYBR,,Unkn,,33.7326404375609,18439.0251436998
,C13,SYBR,,Unkn,,33.1884345123908,24090.0477101082
,C14,SYBR,,Unkn,,32.4306371920578,34954.6119766753
,C15,SYBR,,Unkn,,33.4778113978769,20897.8990693809
,C16,SYBR,,Unkn,,33.3087491674611,22707.5351098658
,C17,SYBR,,Unkn,,32.5742040556224,32574.3864481408
,C18,SYBR,,Unkn,,33.1643630793022,24376.5930461949
,C19,SYBR,,Neg Ctrl,,NaN,NaN
,C20,SYBR,,Neg Ctrl,,43.474878532829,153.939530368487
,C21,SYBR,,Neg Ctrl,,NaN,NaN
