,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,G10,SYBR,,Std-5,,,9.65542689396018,9.96240700729395,0.325946484949332,160000,5.20411998265593,160000,0,72,
,G11,SYBR,,Std-5,,,9.92731414171173,9.96240700729395,0.325946484949332,160000,5.20411998265593,160000,0,72,
,G12,SYBR,,Std-5,,,10.3044799862099,9.96240700729395,0.325946484949332,160000,5.20411998265593,160000,0,72,
,G13,SYBR,,Std-6,,,14.3062540485381,14.0636295385679,0.446617790855045,16000,4.20411998265593,16000,0,72,
,G14,SYBR,,Std-6,,,14.3364206475364,14.0636295385679,0.446617790855045,16000,4.20411998265593,16000,0,72,
,G15,SYBR,,Std-6,,,13.5482139196292,14.0636295385679,0.446617790855045,16000,4.20411998265593,16000,0,72,
,G16,SYBR,,Std-7,,,17.3781425641935,17.305510023738,0.116578287666937,1600,3.20411998265593,1600,0,72,
,G17,SYBR,,Std-7,,,17.3673460978817,17.305510023738,0.116578287666937,1600,3.20411998265593,1600,0,72,
,G18,SYBR,,Std-7,,,17.1710414091389,17.305510023738,0.116578287666937,1600,3.20411998265593,1600,0,72,
,G19,SYBR,,Std-8,,,21.0135870141696,21.3279179002077,0.335577061741172,160,2.20411998265592,160,0,72,
,G20,SYBR,,Std-8,,,21.2888461527436,21.3279179002077,0.335577061741172,160,2.20411998265592,160,0,72,
,G21,SYBR,,Std-8,,,21.6813205337099,21.3279179002077,0.335577061741172,160,2.20411998265592,160,0,72,
,H01,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,H02,SYBR,,Unkn,,,21.2528675067985,21.2528675067985,0,161.264038501167,2.20753753154426,161.264038501167,0,72,
,H03,SYBR,,Unkn,,,19.4221403417831,19.4221403417831,0,498.705507961039,2.69784416481727,498.705507961039,0,72,
,H04,SYBR,,Unkn,,,20.7725086808479,20.7725086808479,0,216.864052550914,2.33618756919902,216.864052550914,0,72,
,H05,SYBR,,Unkn,,,18.6682597557033,18.6682597557033,0,793.869271820653,2.89974899209806,793.869271820653,0,72,
,H06,SYBR,,Unkn,,,20.7462590989853,20.7462590989853,0,220.403126384012,2.34321775062301,220.403126384012,0,72,
,H07,SYBR,,Unkn,,,19.3507785428021,19.3507785428021,0,521.142307825706,2.71695633186835,521.142307825706,0,72,
,H08,SYBR,,Unkn,,,21.1903487776213,21.1903487776213,0,167.602827666023,2.2242813414386,167.602827666023,0,72,
,H09,SYBR,,Unkn,,,19.4533520646839,19.4533520646839,0,489.198390269909,2.68948501930038,489.198390269909,0,72,
,H10,SYBR,,Unkn,,,19.3246264658825,19.3246264658825,0,529.615149454928,2.72396039945011,529.615149454928,0,72,
,H11,SYBR,,Unkn,,,19.1418784055454,19.1418784055454,0,592.794428433185,2.77290411313575,592.794428433185,0,72,
,H12,SYBR,,Unkn,,,19.1660000724313,19.1660000724313,0,584.041666349044,2.76644383139318,584.041666349044,0,72,
,H13,SYBR,,Unkn,,,19.6493719708851,19.6493719708851,0,433.497732896158,2.63698683054749,433.497732896158,0,72,
,H14,SYBR,,Unkn,,,18.7334132417146,18.7334132417146,0,762.604809290263,2.88229953978061,762.604809290263,0,72,
,H15,SYBR,,Unkn,,,21.1931021735583,21.1931021735583,0,167.318485554417,2.2235439250077,167.318485554417,0,72,
,H16,SYBR,,Unkn,,,20.1109240615228,20.1109240615228,0,326.11714072449,2.51337362593391,326.11714072449,0,72,
,H17,SYBR,,Unkn,,,19.0152020343199,19.0152020343199,0,640.959616430867,2.80683066771894,640.959616430867,0,72,
,H18,SYBR,,Unkn,,,19.0490555022888,19.0490555022888,0,627.717170114006,2.79776400818517,627.717170114006,0,72,
,H19,SYBR,,Unkn,,,19.298344525606,19.298344525606,0,538.268849397536,2.7309992471272,538.268849397536,0,72,
,H20,SYBR,,Unkn,,,19.2098219710768,19.2098219710768,0,568.469828867901,2.75470741976448,568.469828867901,0,72,
,H21,SYBR,,Unkn,,,19.3429371804107,19.3429371804107,0,523.668452106421,2.71905641104338,523.668452106421,0,72,
,H22,SYBR,,Unkn,,,19.4565102169044,19.4565102169044,0,488.24656973721,2.68863920075777,488.24656973721,0,72,
,H23,SYBR,,Unkn,,,19.3007052306851,19.3007052306851,0,537.485807989262,2.73036700143728,537.485807989262,0,72,
,H24,SYBR,,Unkn,,,19.5086369292641,19.5086369292641,0,472.801219545509,2.67467858809571,472.801219545509,0,72,
,I01,SYBR,,Unkn,,,19.4755612361683,19.4755612361683,0,482.544026096375,2.68353694341752,482.544026096375,0,72,
,I02,SYBR,,Unkn,,,18.1148863432063,18.1148863432063,0,1116.74456503826,3.0479538475288,1116.74456503826,0,72,
,I03,SYBR,,Unkn,,,19.3261114605075,19.3261114605075,0,529.130367694038,2.72356268714817,529.130367694038,0,72,
,I04,SYBR,,Unkn,,,18.825286114838,18.825286114838,0,720.599709103634,2.85769408246777,720.599709103634,0,72,
,I05,SYBR,,Unkn,,,16.9685694347782,16.9685694347782,0,2264.44223188382,3.35496124588712,2264.44223188382,0,72,
,I06,SYBR,,Unkn,,,19.1409567484322,19.1409567484322,0,593.13144926747,2.7731509519902,593.13144926747,0,72,
,I07,SYBR,,Unkn,,,19.1313167762408,19.1313167762408,0,596.667985373224,2.77573273610327,596.667985373224,0,72,
,I08,SYBR,,Unkn,,,19.0561164782321,19.0561164782321,0,624.989804397385,2.79587293265596,624.989804397385,0,72,
,I09,SYBR,,Unkn,,,18.5158649306129,18.5158649306129,0,872.094366422193,2.94056348103239,872.094366422193,0,72,
,I10,SYBR,,Unkn,,,19.3687623170287,19.3687623170287,0,515.394648519432,2.71213990484246,515.394648519432,0,72,
,I11,SYBR,,Unkn,,,19.5851612610874,19.5851612610874,0,451.00752478678,2.65418378787821,451.00752478678,0,72,
,I12,SYBR,,Unkn,,,18.3789885613665,18.3789885613665,0,948.902970634035,2.97722180623908,948.902970634035,0,72,
,I13,SYBR,,Unkn,,,19.6907176695693,19.6907176695693,0,422.584532141022,2.62591359652902,422.584532141022,0,72,
,I14,SYBR,,Unkn,,,18.3593522280399,18.3593522280399,0,960.463406142851,2.9824808228021,960.463406142851,0,72,
,I15,SYBR,,Unkn,,,17.1000361832053,17.1000361832053,0,2088.10209507933,3.31975172912218,2088.10209507933,0,72,
,I16,SYBR,,Unkn,,,18.5703163861841,18.5703163861841,0,843.296414890317,2.92598025401303,843.296414890317,0,72,
,I17,SYBR,,Unkn,,,17.3612677349355,17.3612677349355,0,1777.41365259281,3.24978851172904,1777.41365259281,0,72,
,I18,SYBR,,Unkn,,,18.166075120222,18.166075120222,0,1082.04278460576,3.03424443336836,1082.04278460576,0,72,
,I19,SYBR,,Unkn,,,17.8484209124679,17.8484209124679,0,1316.19066439426,3.11931880606857,1316.19066439426,0,72,
,I20,SYBR,,Unkn,,,18.6892839255408,18.6892839255408,0,783.643046258712,2.89411828418737,783.643046258712,0,72,
,I21,SYBR,,Unkn,,,18.3305324352932,18.3305324352932,0,977.685917987163,2.99019935990761,977.685917987163,0,72,
,I22,SYBR,,Unkn,,,18.6404418840969,18.6404418840969,0,807.605362470932,2.90719919398112,807.605362470932,0,72,
,I23,SYBR,,Unkn,,,18.493767880107,18.493767880107,0,884.059567597779,2.94648152859616,884.059567597779,0,72,
,I24,SYBR,,Unkn,,,19.3525096259027,19.3525096259027,0,520.586272618945,2.71649271197828,520.586272618945,0,72,
,J01,SYBR,,Neg Ctrl,,,NaN,0,0,NaN,NaN,0,0,72,
,J02,SYBR,,Neg Ctrl,,,NaN,0,0,NaN,NaN,0,0,72,
,J03,SYBR,,Neg Ctrl,,,NaN,0,0,NaN,NaN,0,0,72,
