,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,G10,SYBR,,Std-5,,4182.27264641702,(+) Positive,Standard,Positive,False
,G11,SYBR,,Std-5,,4242.55192969416,(+) Positive,Standard,Positive,False
,G12,SYBR,,Std-5,,4154.40335718031,(+) Positive,Standard,Positive,False
,G13,SYBR,,Std-6,,3428.52744737669,(+) Positive,Standard,Positive,False
,G14,SYBR,,Std-6,,4375.35950853519,(+) Positive,Standard,Positive,False
,G15,SYBR,,Std-6,,4139.25169045721,(+) Positive,Standard,Positive,False
,G16,SYBR,,Std-7,,4010.30886652341,(+) Positive,Standard,Positive,False
,G17,SYBR,,Std-7,,4094.40629381123,(+) Positive,Standard,Positive,False
,G18,SYBR,,Std-7,,4221.90321366937,(+) Positive,Standard,Positive,False
,G19,SYBR,,Std-8,,3699.58812023751,(+) Positive,Standard,Positive,False
,G20,SYBR,,Std-8,,3603.13349694514,(+) Positive,Standard,Positive,False
,G21,SYBR,,Std-8,,3443.03792201611,(+) Positive,Standard,Positive,False
,H01,SYBR,,Unkn,,1.89575271346748,,Unknown,NoCall,False
,H02,SYBR,,Unkn,,2498.82063902825,(+) Positive,Unknown,Positive,False
,H03,SYBR,,Unkn,,2856.52275571934,(+) Positive,Unknown,Positive,False
,H04,SYBR,,Unkn,,3370.78734940396,(+) Positive,Unknown,Positive,False
,H05,SYBR,,Unkn,,3021.66035105639,(+) Positive,Unknown,Positive,False
,H06,SYBR,,Unkn,,3316.8398264128,(+) Positive,Unknown,Positive,False
,H07,SYBR,,Unkn,,3174.14358736367,(+) Positive,Unknown,Positive,False
,H08,SYBR,,Unkn,,2875.63027983526,(+) Positive,Unknown,Positive,False
,H09,SYBR,,Unkn,,3263.17331481023,(+) Positive,Unknown,Positive,False
,H10,SYBR,,Unkn,,3389.79358314812,(+) Positive,Unknown,Positive,False
,H11,SYBR,,Unkn,,3330.83122103944,(+) Positive,Unknown,Positive,False
,H12,SYBR,,Unkn,,3250.68132975861,(+) Positive,Unknown,Positive,False
,H13,SYBR,,Unkn,,3132.99206824492,(+) Positive,Unknown,Positive,False
,H14,SYBR,,Unkn,,3367.20403268448,(+) Positive,Unknown,Positive,False
,H15,SYBR,,Unkn,,3532.566086321,(+) Positive,Unknown,Positive,False
,H16,SYBR,,Unkn,,3447.00104553811,(+) Positive,Unknown,Positive,False
,H17,SYBR,,Unkn,,2961.53289993185,(+) Positive,Unknown,Positive,False
,H18,SYBR,,Unkn,,3318.27114367774,(+) Positive,Unknown,Positive,False
,H19,SYBR,,Unkn,,2937.47480131802,(+) Positive,Unknown,Positive,False
,H20,SYBR,,Unkn,,3319.89932181168,(+) Positive,Unknown,Positive,False
,H21,SYBR,,Unkn,,3216.57930110303,(+) Positive,Unknown,Positive,False
,H22,SYBR,,Unkn,,3346.952255758,(+) Positive,Unknown,Positive,False
,H23,SYBR,,Unkn,,3222.25495883518,(+) Positive,Unknown,Positive,False
,H24,SYBR,,Unkn,,3389.54371167562,(+) Positive,Unknown,Positive,False
,I01,SYBR,,Unkn,,4283.68799355365,(+) Positive,Unknown,Positive,False
,I02,SYBR,,Unkn,,2810.96709608064,(+) Positive,Unknown,Positive,False
,I03,SYBR,,Unkn,,3002.6015849225,(+) Positive,Unknown,Positive,False
,I04,SYBR,,Unkn,,2222.4153216331,(+) Positive,Unknown,Positive,False
,I05,SYBR,,Unkn,,2802.93598602564,(+) Positive,Unknown,Positive,False
,I06,SYBR,,Unkn,,3051.86379953893,(+) Positive,Unknown,Positive,False
,I07,SYBR,,Unkn,,3331.19108160357,(+) Positive,Unknown,Positive,False
,I08,SYBR,,Unkn,,3014.86466133366,(+) Positive,Unknown,Positive,False
,I09,SYBR,,Unkn,,2982.34969871158,(+) Positive,Unknown,Positive,False
,I10,SYBR,,Unkn,,3274.52747752596,(+) Positive,Unknown,Positive,False
,I11,SYBR,,Unkn,,3567.423962161,(+) Positive,Unknown,Positive,False
,I12,SYBR,,Unkn,,3498.58533044781,(+) Positive,Unknown,Positive,False
,I13,SYBR,,Unkn,,3674.00073148489,(+) Positive,Unknown,Positive,False
,I14,SYBR,,Unkn,,3360.58509764872,(+) Positive,Unknown,Positive,False
,I15,SYBR,,Unkn,,3170.72428561309,(+) Positive,Unknown,Positive,False
,I16,SYBR,,Unkn,,3570.86224735932,(+) Positive,Unknown,Positive,False
,I17,SYBR,,Unkn,,2908.25010688729,(+) Positive,Unknown,Positive,False
,I18,SYBR,,Unkn,,2998.01585522345,(+) Positive,Unknown,Positive,False
,I19,SYBR,,Unkn,,3364.54976700484,(+) Positive,Unknown,Positive,False
,I20,SYBR,,Unkn,,3448.3846357607,(+) Positive,Unknown,Positive,False
,I21,SYBR,,Unkn,,3370.76520881334,(+) Positive,Unknown,Positive,False
,I22,SYBR,,Unkn,,3719.11958807137,(+) Positive,Unknown,Positive,False
,I23,SYBR,,Unkn,,3634.48046292153,(+) Positive,Unknown,Positive,False
,I24,SYBR,,Unkn,,3464.59066700237,(+) Positive,Unknown,Positive,False
,J01,SYBR,,Neg Ctrl,,20.7674946048754,,ControlNegative,Negative,True
,J02,SYBR,,Neg Ctrl,,3.39857746304306,,ControlNegative,Negative,True
,J03,SYBR,,Neg Ctrl,,5.25602911012084,,ControlNegative,Negative,True
