,Temperature,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,J1,J2,J3
,72,64.1421721021864,65.1048103383032,64.1250931224743,54.5422734230408,72.3062947093865,68.432312349699,67.3834173097996,69.2059756523829,69.6495923864377,72.3949159637496,72.7584225437299,70.84968782742,0.999152951808583,33.2324869814321,33.8775973184131,47.3905551027606,38.5001541085837,47.4728463538077,38.563486723918,41.3656175437106,41.7591801226256,42.7147628009773,40.0135917679722,39.3598223954461,40.108664034497,44.9302641954912,52.8801425978013,47.1914009093632,34.310712792082,41.5466973748562,31.4263114208627,43.0691915580178,38.4759888905287,45.0300842731297,41.5347760420811,44.116493435585,51.9212467040541,35.9916653334531,29.8092691118234,29.3060875892694,35.5592042164997,37.3788377890889,34.6024014298282,37.083247753689,35.9540397796316,44.8537790591363,48.8720906433296,44.1121754924745,50.8228461074059,43.0374201547581,35.8546051680844,41.6892026265657,34.6975955441663,29.5815589314568,44.3052314218269,39.4628742684401,46.477020748792,44.8720204528927,52.0838522546876,40.0041259885923,8.36883634754952,7.31671575053826,7.88918931304852
,72.5,138.974706221402,141.060422399656,138.937701765362,118.174925749923,156.663638537004,148.270010091015,145.997404171233,149.946280580163,150.907450170618,156.855651254792,157.643248844751,153.507656959407,2.16483139558409,72.0037217931035,73.4014608565598,102.679536055982,83.4170005685978,102.857833766586,83.5542212351554,89.62550467804,90.4782235990222,92.5486527354492,86.6961154972755,85.2796151901307,86.9021054080745,97.3489057568984,114.573642295236,102.248035303619,74.3398777161777,90.0178443121879,68.0903414118683,93.3165817090364,83.3646425961476,97.5651825917794,89.9920147578425,95.585735777101,112.49603452545,77.9819415558147,64.5867497422855,63.4965231100826,77.0449424690842,80.9874818763594,74.9718697646301,80.3470367996595,77.9004195225366,97.183187961462,105.889529727214,95.5763802336967,110.116166566044,93.2477436686445,77.6849778641831,90.326605690891,75.1781236790287,64.0933776848228,95.9946680806252,85.5028942482872,100.700211622383,97.2227109812657,112.848346551823,86.6756063086152,18.1324787530241,15.8528841261664,17.0932435116051
,73,128.284344204369,130.209620676602,128.250186244949,109.084546846082,144.612589418771,136.864624699399,134.7668346196,138.411951304767,139.299184772882,144.789831927503,145.516845087462,141.699375654834,1.99830590361523,66.4649739628665,67.7551946368235,94.7811102055214,77.0003082171654,94.9456927076174,77.1269734478358,82.7312350874214,83.518360245253,85.4295256019532,80.0271835359483,78.7196447908898,80.2173280689901,89.8605283909831,105.760285195604,94.3828018187232,68.6214255841641,83.0933947497101,62.8526228417245,86.1383831160317,76.951977781061,90.0601685462577,83.0695520841641,88.2329868711718,103.842493408107,71.9833306669059,59.6185382236481,58.612175178537,71.1184084330007,74.7576755781797,69.2048028596585,74.1664955073798,71.9080795592645,89.7075581182726,97.7441812866607,88.2243509849509,101.645692214808,86.0748403095199,71.7092103361708,83.3784052531282,69.3951910883342,59.1631178629116,88.6104628436558,78.9257485368823,92.9540414975859,89.744040905782,104.167704509374,80.0082519771831,16.7376726951001,14.6334315010774,15.778378626097
,73.5,128.28434420438,130.20962067658,128.250186244945,109.084546846081,144.612589418746,136.864624699427,134.76683461959,138.411951304766,139.299184772851,144.789831927507,145.516845087458,141.699375654839,1.99830590362058,66.4649739628577,67.7551946368249,94.7811102055341,77.0003082171725,94.9456927076194,77.1269734478424,82.7312350874232,83.5183602452487,85.4295256019584,80.0271835359504,78.7196447908939,80.2173280689904,89.8605283909685,105.760285195601,94.382801818718,68.6214255841725,83.0933947497222,62.8526228417247,86.1383831160258,76.9519777810489,90.0601685462436,83.0695520841543,88.2329868711724,103.842493408125,71.9833306669109,59.6185382236545,58.612175178532,71.1184084329917,74.7576755781888,69.2048028596603,74.1664955073727,71.9080795592704,89.7075581182735,97.7441812866582,88.2243509849507,101.645692214813,86.0748403095222,71.709210336172,83.3784052531278,69.3951910883391,59.1631178629277,88.6104628436635,78.9257485368769,92.9540414975968,89.7440409057863,104.167704509368,80.0082519771888,16.7376726951003,14.6334315010764,15.7783786261042
,74,128.284344204303,130.209620676774,128.250186244976,109.084546846093,144.612589418949,136.864624699206,134.766834619665,138.411951304771,139.299184773079,144.789831927456,145.516845087486,141.699375654835,1.99830590358556,66.4649739629225,67.7551946368222,94.7811102054363,77.0003082171168,94.9456927075873,77.1269734477846,82.7312350874118,83.5183602452864,85.4295256019313,80.0271835359174,78.7196447908705,80.217328069004,89.860528391089,105.760285195624,94.3828018187744,68.6214255841074,83.0933947496287,62.8526228417272,86.1383831160824,76.951977781141,90.0601685463698,83.069552084231,88.232986871164,103.842493407973,71.9833306668706,59.6185382235869,58.6121751785781,71.1184084330509,74.7576755781161,69.2048028596364,74.1664955074323,71.9080795592081,89.7075581182662,97.7441812866743,88.2243509849366,101.645692214795,86.0748403094874,71.7092103361629,83.378405253151,69.3951910882905,59.1631178627993,88.6104628435969,78.9257485369189,92.9540414975081,89.7440409057665,104.167704509421,80.0082519771613,16.7376726950985,14.6334315010831,15.7783786260478
,74.5,128.202941087055,130.045683753092,128.13569812938,108.966407984184,144.668135748512,136.849959685703,134.777405040169,138.428422445724,139.34170563667,144.776653231583,145.563790391591,141.650613481524,1.96418170730612,66.063708942288,67.2940565987824,94.346486051671,76.676058875073,94.607082920706,76.6314790330086,82.3591147793809,83.0055234918382,84.970457104909,79.5904053880295,78.2555076190145,79.7477389465151,89.511272796032,105.379559988028,94.0887915321753,68.1921515153911,82.7300689565889,62.4073127902558,85.7785564358994,76.6238025423943,89.7847585362906,82.6274647349829,87.8107653115055,103.395130953276,71.4904279355201,58.9881434861534,58.1616274967979,70.4965411560499,74.1580715815762,68.520862164105,73.5993100401421,71.3877821495792,89.1641524875988,97.2412525129951,87.7967274273462,101.152577939458,85.6374922144164,71.1675458219975,82.8785594266587,69.0576367074482,58.7266396136819,88.1970491821012,78.430921692262,92.6522728854568,89.2888285794647,103.852614464043,79.5710969856971,16.7734166851445,14.7381138570568,15.8543667278864
,75,128.780800095474,131.18572607677,128.941124176135,109.76767866596,144.26570883715,136.977491574093,134.726007803343,138.354729875535,139.106975668334,144.894064989634,145.279715204615,141.968554082065,2.21206630045856,68.5727833137871,70.1561853370335,97.0878904147382,78.7386512385442,96.7210296123967,79.7455096466865,84.7683193436638,86.2831958990355,87.8511460514753,82.2415188488185,81.1371440216039,82.7196280957833,91.6883662991991,107.776770384215,95.9118509598757,70.8651724372652,84.9875488399477,65.1034854072608,88.0327760757386,78.614086688744,91.5458532941866,85.4536112647463,90.441945962333,106.208328415066,74.5126429602922,62.9092827723134,60.9837296467808,74.5160661452213,77.9512705444987,72.7131521029012,77.2041235284253,74.6914314044849,92.6434009498184,100.38346208657,90.4841213869111,104.36369474508,88.491735920561,74.5568204132023,86.0185051352587,71.1802169296308,61.3981929740108,90.8133989680507,81.5569735523929,94.5517165597789,92.0869756287054,105.852917208376,82.2697192643725,16.5772373114803,14.0843721607081,15.3600443117526
,75.5,129.257527824631,132.354153801236,129.68484370827,110.753935642677,143.969452204779,136.868527224275,134.485884550556,137.931448276755,138.364416165347,144.796231909352,144.637004727387,142.435582251627,2.40154375517238,73.2548740496241,75.6568908040691,102.016842239846,82.3330211230333,100.602314001228,85.5061786109518,88.6306803324901,91.8254181381221,93.0940235711257,87.7919453608513,86.7595299993752,88.0645927614116,95.8299403855951,112.023162425602,99.4723879418741,75.9479642056556,89.3658443725903,70.8280279968604,92.2042278439493,82.8044687260575,94.4886519349977,90.2702736036269,95.4517055023196,111.342716281906,80.6752701176882,70.3055561203183,66.2629372818677,80.9773309729198,84.6803576798848,81.1563836524761,83.4623111769555,80.3238105756251,98.5380358011691,106.300363025114,95.3757680934102,109.27437505528,92.7590627271024,80.8082026338782,91.6380643989614,74.9672394362426,66.7496682118515,95.391150653337,87.050112026235,97.991798003108,97.6652839226315,109.309092737512,87.47287906572,15.9552398250542,12.8337010072833,14.6042844737813
,76,129.384151987645,132.432608540084,129.69430020766,111.000973676648,144.092431908254,136.91049717361,134.375466305165,137.80246861842,137.996323166167,144.744911820069,144.425545124424,142.832453926872,2.23683825921091,76.3661503490906,79.5499203490662,104.951924982463,84.0870584213981,103.839012398911,88.5639250128863,90.2689208680856,94.9249321722274,96.8234993739279,92.331066576192,89.9933186166325,90.6179574133632,98.442011412838,115.367941184215,101.692337163414,79.2983364762509,91.9775665639592,75.3735193652602,94.9550267548902,86.0948813143074,96.2598929590876,92.7346891400762,98.6458230787831,114.459733118274,84.9000311895521,75.8938863718425,69.3688700650198,84.1959400456277,88.756253850344,87.7864996760095,87.1266388955455,84.5831435587967,101.400359462191,110.066670680463,98.5192309633471,111.850339888234,95.267139175653,85.2635241401392,96.1455598899324,77.8887011550572,71.3884033666327,98.4879212434755,90.9866017884037,100.185729711745,101.93033330327,111.622708402982,91.897590642468,15.5498749798896,12.1615507026779,14.1623913817484
,76.5,129.590490603956,132.87681786956,130.333191954054,110.851845907898,144.406241731211,137.444577973885,134.606697557564,137.740805166461,138.090198940752,144.620234098693,144.28901436169,143.044031692628,1.92056820596258,78.6478612191252,82.6389960844778,107.969860132301,86.322472939007,106.814634614892,91.07011698151,91.7196481470056,97.4909517431023,100.093821498738,96.4160139936188,92.6487430413738,92.771332775586,100.309679447445,118.403759633337,103.251637138747,82.2839536650632,93.9756497964153,79.3547053747403,96.8933528874385,89.6200159715999,98.3237790554243,93.976222365813,100.820909152476,117.164906738804,88.1650514244701,81.172230798666,71.3079963416276,85.9295296977891,91.8281475009007,93.3432540014026,90.0106334477802,88.3049899737784,103.237679506688,112.350217248485,101.678040646261,114.427357951781,98.1199088313222,89.295349638131,100.02871439911,80.8277140114909,75.8016823483938,101.54699238916,94.6313399275493,101.96028975237,105.515035838996,113.441725171152,96.5988214176698,15.6969197341947,11.8695853837154,13.8049671290028
