,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,G10,SYBR,,Std-5,,86,686.995500629243,79,93,
,G11,SYBR,,Std-5,,86,707.540456966999,79.5,92,
,G12,SYBR,,Std-5,,86,700.236073532355,79.5,92.5,
,G13,SYBR,,Std-6,,86,666.165399059445,79,92,
,G14,SYBR,,Std-6,,86,791.075128395437,80,95,
,G15,SYBR,,Std-6,,86,746.458298903681,76,93,
,G16,SYBR,,Std-7,,86,743.949738448859,79,93,
,G17,SYBR,,Std-7,,86,770.002067005126,80,92,
,G18,SYBR,,Std-7,,86,795.235834291085,79.5,93,
,G19,SYBR,,Std-8,,86,762.472264627711,81,92.5,
,G20,SYBR,,Std-8,,86,765.208801382137,80.5,94,
,G21,SYBR,,Std-8,,86,732.073062352149,80.5,91.5,
,H01,SYBR,,Unkn,,None,None,None,None,
,H02,SYBR,,Unkn,,87.5,427.491187111662,74.5,95,
,H03,SYBR,,Unkn,,None,None,None,None,
,H04,SYBR,,Unkn,,None,None,None,None,
,H05,SYBR,,Unkn,,88.5,413.782415422117,74.5,95,
,H06,SYBR,,Unkn,,89.5,413.048420309469,74.5,95,
,H07,SYBR,,Unkn,,None,None,None,None,
,H08,SYBR,,Unkn,,87,472.695488346514,74.5,95,
,H09,SYBR,,Unkn,,None,None,None,None,
,H10,SYBR,,Unkn,,87.5,445.861216501619,74.5,95,
,H11,SYBR,,Unkn,,88,427.740199333111,74.5,95,
,H12,SYBR,,Unkn,,87.5,415.015784284449,74.5,95,
,H13,SYBR,,Unkn,,88,459.149542108806,74.5,95,
,H14,SYBR,,Unkn,,88.5,482.080306605852,74.5,95,
,H15,SYBR,,Unkn,,89,417.605102223865,74.5,95,
,H16,SYBR,,Unkn,,88.5,460.147286092351,74.5,95,
,H17,SYBR,,Unkn,,88,427.287833190484,74.5,95,
,H18,SYBR,,Unkn,,88.5,458.555439721937,74.5,95,
,H19,SYBR,,Unkn,,87.5,409.791723439487,74.5,95,
,H20,SYBR,,Unkn,,88.5,449.478373253574,74.5,95,
,H21,SYBR,,Unkn,,None,None,None,None,
,H22,SYBR,,Unkn,,88.5,474.481001006053,74.5,95,
,H23,SYBR,,Unkn,,88.5,470.91680716148,74.5,95,
,H24,SYBR,,Unkn,,88.5,459.341314488809,74.5,95,
,I01,SYBR,,Unkn,,88.5,533.220204278139,74.5,95,
,I02,SYBR,,Unkn,,None,None,None,None,
,I03,SYBR,,Unkn,,87.5,410.58701801062,74.5,95,
,I04,SYBR,,Unkn,,None,None,None,None,
,I05,SYBR,,Unkn,,88.5,444.90670937937,74.5,95,
,I06,SYBR,,Unkn,,None,None,None,None,
,I07,SYBR,,Unkn,,87.5,482.753602927292,74.5,95,
,I08,SYBR,,Unkn,,87,470.562030766861,74.5,95,
,I09,SYBR,,Unkn,,88,426.393104154091,74.5,95,
,I10,SYBR,,Unkn,,88.5,485.693429072378,74.5,95,
,I11,SYBR,,Unkn,,None,None,None,None,
,I12,SYBR,,Unkn,,87,482.658054480597,74.5,95,
,I13,SYBR,,Unkn,,88.5,478.995266076698,74.5,95,
,I14,SYBR,,Unkn,,87.5,496.628365750369,74.5,95,
,I15,SYBR,,Unkn,,88.5,468.110360842054,74.5,95,
,I16,SYBR,,Unkn,,88.5,453.66168867595,74.5,95,
,I17,SYBR,,Unkn,,88,419.216010335449,74.5,95,
,I18,SYBR,,Unkn,,87.5,422.916245169408,74.5,95,
,I19,SYBR,,Unkn,,87.5,501.705767543794,74.5,95,
,I20,SYBR,,Unkn,,88,426.540684040421,74.5,95,
,I21,SYBR,,Unkn,,88.5,495.503268926152,74.5,95,
,I22,SYBR,,Unkn,,87.5,499.438403538534,74.5,95,
,I23,SYBR,,Unkn,,88.5,539.974788436912,74.5,95,
,I24,SYBR,,Unkn,,88,462.835911137451,74.5,95,
,J01,SYBR,,Neg Ctrl,,None,None,None,None,
,J02,SYBR,,Neg Ctrl,,None,None,None,None,
,J03,SYBR,,Neg Ctrl,,None,None,None,None,
