,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Content,,,,,,,,,,,,,,,,,,,,,,,,
A,Sample,,,,,,,,,,,,,,,,,,,,,,,,
A,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
A,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
B,Content,,,,,,,,,,,,,,,,,,,,,,,,
B,Sample,,,,,,,,,,,,,,,,,,,,,,,,
B,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
B,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
C,Content,,,,,,,,,,,,,,,,,,,,,,,,
C,Sample,,,,,,,,,,,,,,,,,,,,,,,,
C,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
C,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
D,Content,,,,,,,,,,,,,,,,,,,,,,,,
D,Sample,,,,,,,,,,,,,,,,,,,,,,,,
D,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
D,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
E,Content,,,,,,,,,,,,,,,,,,,,,,,,
E,Sample,,,,,,,,,,,,,,,,,,,,,,,,
E,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
E,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
F,Content,,,,,,,,,,,,,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,,,,,,,,,,,,,
F,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
F,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
G,Content,,,,,,,,,,Std-5,Std-5,Std-5,Std-6,Std-6,Std-6,Std-7,Std-7,Std-7,Std-8,Std-8,Std-8,,,
G,Sample,,,,,,,,,,,,,,,,,,,,,,,,
G,Peak 1,,,,,,,,,,86,86,86,86,86,86,86,86,86,86,86,86,,,
G,Peak 2,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,,,
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,,,,,,,,,,,,,
H,Peak 1,None,87.5,None,None,88.5,89.5,None,87,None,87.5,88,87.5,88,88.5,89,88.5,88,88.5,87.5,88.5,None,88.5,88.5,88.5
H,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
I,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
I,Sample,,,,,,,,,,,,,,,,,,,,,,,,
I,Peak 1,88.5,None,87.5,None,88.5,None,87.5,87,88,88.5,None,87,88.5,87.5,88.5,88.5,88,87.5,87.5,88,88.5,87.5,88.5,88
I,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
J,Content,Neg Ctrl,Neg Ctrl,Neg Ctrl,,,,,,,,,,,,,,,,,,,,,
J,Sample,,,,,,,,,,,,,,,,,,,,,,,,
J,Peak 1,None,None,None,,,,,,,,,,,,,,,,,,,,,
J,Peak 2,None,None,None,,,,,,,,,,,,,,,,,,,,,
K,Content,,,,,,,,,,,,,,,,,,,,,,,,
K,Sample,,,,,,,,,,,,,,,,,,,,,,,,
K,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
K,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
L,Content,,,,,,,,,,,,,,,,,,,,,,,,
L,Sample,,,,,,,,,,,,,,,,,,,,,,,,
L,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
L,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
M,Content,,,,,,,,,,,,,,,,,,,,,,,,
M,Sample,,,,,,,,,,,,,,,,,,,,,,,,
M,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
M,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
N,Content,,,,,,,,,,,,,,,,,,,,,,,,
N,Sample,,,,,,,,,,,,,,,,,,,,,,,,
N,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
N,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
O,Content,,,,,,,,,,,,,,,,,,,,,,,,
O,Sample,,,,,,,,,,,,,,,,,,,,,,,,
O,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
O,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
P,Content,,,,,,,,,,,,,,,,,,,,,,,,
P,Sample,,,,,,,,,,,,,,,,,,,,,,,,
P,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
P,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
