,Temperature,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,J1,J2,J3
,72,7339.52746643197,7414.76507974847,7326.84086776698,6713.06934165324,7707.79746170463,7478.91417318544,7267.31062037514,7325.68682643633,7492.3603432446,7229.07357154206,7175.69950424663,7032.44035479752,3104.61557545207,6006.71458984217,6147.9363917465,6756.33999221874,6298.44467486324,6671.15248704618,6459.76259588237,6295.8204387064,6507.89916794058,6620.81159502598,6536.23627085171,6437.75906132762,6411.92181234088,6608.82330080814,6883.39186272891,6655.84684194205,6097.24270612283,6510.56293469846,6054.65836595509,6455.03676348837,6280.48682165735,6514.45304997841,6398.41687455479,6569.52777810885,7618.2079975713,6477.92048062246,6389.95199251572,5714.54529850132,6308.86555979744,6436.24813839644,6727.42089940394,6399.27527046021,6439.87140450989,6717.31221091216,6867.01817172013,6829.99175433667,6994.41276988377,6798.27158742171,6658.23019278131,6851.61513057841,6202.56659168847,6266.37731815254,6688.64310512361,6660.31399158257,6681.0336474981,6928.7048093667,6978.21212131063,6640.64493961926,3307.89003088116,3271.74426570931,3152.85034978416
,72.5,7275.38529432979,7349.66026941017,7262.71577464451,6658.5270682302,7635.49116699525,7410.48186083574,7199.92720306534,7256.48085078395,7422.71075085816,7156.67865557831,7102.9410817029,6961.5906669701,3103.61642250026,5973.48210286073,6114.05879442809,6708.94943711598,6259.94452075466,6623.67964069238,6421.19910915846,6254.45482116269,6466.13998781796,6578.096832225,6496.22267908374,6398.39923893218,6371.81314830638,6563.89303661265,6830.51172013111,6608.65544103269,6062.93199333075,6469.01623732361,6023.23205453423,6411.96757193035,6242.01083276682,6469.42296570528,6356.88209851271,6525.41128467326,7566.28675086725,6441.928815289,6360.14272340389,5685.23921091205,6273.30635558094,6398.86930060735,6692.81849797411,6362.19202270652,6403.91736473025,6672.45843185302,6818.1460810768,6785.8795788442,6943.58992377636,6755.23416726695,6622.37558761322,6809.92592795185,6167.8689961443,6236.79575922109,6644.33787370178,6620.85111731413,6634.55662674931,6883.8327889138,6926.12826905594,6600.64081363067,3299.52119453361,3264.42754995877,3144.96116047112
,73,7211.2431222276,7284.55545907186,7198.59068152203,6603.98479480716,7563.18487228586,7342.04954848603,7132.54378575554,7187.27487513156,7353.06115847172,7084.28373961456,7030.18265915917,6890.74097914268,3102.61726954845,5940.2496158793,6080.18119710968,6661.55888201321,6221.44436664608,6576.20679433857,6382.63562243454,6213.08920361898,6424.38080769533,6535.38206942402,6456.20908731577,6359.03941653673,6331.70448427188,6518.96277241716,6777.63157753331,6561.46404012333,6028.62128053867,6427.46953994875,5991.80574311336,6368.89838037234,6203.53484387629,6424.39288143215,6315.34732247063,6481.29479123768,7514.3655041632,6405.93714995555,6330.33345429207,5655.93312332278,6237.74715136444,6361.49046281826,6658.21609654428,6325.10877495283,6367.96332495062,6627.60465279389,6769.27399043347,6741.76740335172,6892.76707766896,6712.19674711219,6586.52098244514,6768.23672532528,6133.17140060014,6207.21420028963,6600.03264227996,6581.38824304569,6588.07960600051,6838.96076846091,6874.04441680125,6560.63668764208,3291.15235818606,3257.11083420823,3137.07197115807
,73.5,7147.10095012542,7219.45064873356,7134.46558839956,6549.44252138412,7490.87857757647,7273.61723613633,7065.16036844574,7118.06889947918,7283.41156608528,7011.88882365081,6957.42423661544,6819.89129131527,3101.61811659665,5907.01712889787,6046.30359979127,6614.16832691045,6182.94421253749,6528.73394798476,6344.07213571062,6171.72358607527,6382.6216275727,6492.66730662305,6416.19549554779,6319.67959414129,6291.59582023739,6474.03250822167,6724.7514349355,6514.27263921396,5994.31056774658,6385.92284257389,5960.3794316925,6325.82918881432,6165.05885498576,6379.36279715902,6273.81254642854,6437.17829780209,7462.44425745914,6369.9454846221,6300.52418518025,5626.62703573351,6202.18794714794,6324.11162502918,6623.61369511445,6288.02552719914,6332.00928517099,6582.75087373475,6720.40189979014,6697.65522785925,6841.94423156155,6669.15932695743,6550.66637727705,6726.54752269872,6098.47380505597,6177.63264135817,6555.72741085813,6541.92536877725,6541.60258525172,6794.08874800802,6821.96056454657,6520.63256165348,3282.78352183851,3249.79411845769,3129.18278184502
,74,7082.95877802323,7154.34583839526,7070.34049527708,6494.90024796108,7418.57228286709,7205.18492378664,6997.77695113594,7048.8629238268,7213.76197369884,6939.49390768706,6884.6658140717,6749.04160348785,3100.61896364484,5873.78464191643,6012.42600247285,6566.77777180769,6144.44405842891,6481.26110163095,6305.5086489867,6130.35796853156,6340.86244745008,6449.95254382207,6376.18190377982,6280.31977174584,6251.48715620289,6429.10224402617,6671.8712923377,6467.0812383046,5959.9998549545,6344.37614519904,5928.95312027164,6282.7599972563,6126.58286609523,6334.33271288589,6232.27777038646,6393.0618043665,7410.52301075509,6333.95381928864,6270.71491606842,5597.32094814424,6166.62874293144,6286.73278724008,6589.01129368462,6250.94227944545,6296.05524539136,6537.89709467561,6671.52980914681,6653.54305236677,6791.12138545415,6626.12190680267,6514.81177210897,6684.85832007215,6063.7762095118,6148.05108242672,6511.4221794363,6502.46249450881,6495.12556450293,6749.21672755513,6769.87671229188,6480.62843566489,3274.41468549096,3242.47740270716,3121.29359253197
,74.5,7018.8166059211,7089.24102805681,7006.21540215458,6440.35797453803,7346.26598815755,7136.7526114371,6930.39353382608,6979.65694817441,7144.11238131223,6867.09899172334,6811.90739152795,6678.19191566043,3099.61981069306,5840.55215493495,5978.54840515444,6519.387216705,6105.94390432037,6433.78825527717,6266.94516226283,6088.99235098785,6299.10326732742,6407.23778102111,6336.16831201187,6240.95994935041,6211.37849216838,6384.17197983059,6618.99114973988,6419.88983739519,5925.68914216247,6302.82944782425,5897.52680885077,6239.69080569824,6088.10687720463,6289.30262861267,6190.74299434432,6348.94531093093,7358.60176405115,6297.96215395522,6240.90564695665,5568.01486055494,6131.06953871489,6249.35394945105,6554.40889225481,6213.85903169172,6260.10120561177,6493.04331561648,6622.65771850347,6609.43087687431,6740.29853934676,6583.08448664794,6478.95716694089,6643.16911744557,6029.07861396767,6118.46952349536,6467.11694801452,6462.99962024033,6448.6485437542,6704.34470710225,6717.79286003715,6440.62430967632,3266.04584914341,3235.16068695661,3113.40440321896
,75,6954.67443381892,7024.13621771851,6942.09030903211,6385.81570111498,7273.95969344816,7068.3202990874,6863.01011651628,6910.45097252202,7074.46278892579,6794.70407575959,6739.14896898422,6607.34222783301,3098.62065774125,5807.31966795352,5944.67080783603,6471.99666160224,6067.44375021179,6386.31540892336,6228.38167553891,6047.62673344414,6257.3440872048,6364.52301822013,6296.1547202439,6201.60012695497,6171.26982813389,6339.2417156351,6566.11100714208,6372.69843648583,5891.37842937039,6261.2827504494,5866.10049742991,6196.62161414023,6049.6308883141,6244.27254433954,6149.20821830224,6304.82881749534,7306.68051734709,6261.97048862176,6211.09637784483,5538.70877296567,6095.51033449839,6211.97511166196,6519.80649082498,6176.77578393803,6224.14716583214,6448.18953655735,6573.78562786014,6565.31870138183,6689.47569323935,6540.04706649318,6443.1025617728,6601.479914819,5994.38101842351,6088.8879645639,6422.81171659269,6423.53674597189,6402.17152300541,6659.47268664936,6665.70900778247,6400.62018368772,3257.67701279586,3227.84397120607,3105.51521390592
,75.5,6890.04384301325,6958.04778583812,6877.27828721605,6330.56459452049,7201.98667671618,6999.79999665668,6795.6901217295,6841.34382371535,7005.0683217209,6722.2300876206,6666.67221826511,6536.19996696574,3097.41675961177,5771.67959084827,5908.02638228938,6421.99836157689,6026.99810005095,6336.81090384826,6186.84522232634,6004.02839405224,6212.50788656147,6319.05384443702,6253.52045958858,6159.4554815284,6128.34362936447,6292.21591786927,6510.94651329868,6323.74297385687,5854.492072166,6217.5560983163,5832.00232570022,6151.39346250112,6009.18584799109,6197.59000000595,6105.02091816467,6258.1789947018,7252.07509591486,6223.02140690021,6177.50474030839,5506.69939928572,6056.21992661989,6170.99864989363,6481.10044522195,6136.2894233806,6185.07134159474,6400.0753237142,6521.89596457473,6518.64078454382,6635.69416147993,6494.38555776799,6403.99796951972,6556.79163723348,5957.65809659428,6056.68753613774,6376.02600320188,6381.1049106355,6353.88389058431,6611.86939223867,6611.73461525552,6357.99312775035,3249.52264038858,3221.15534959137,3098.0819532039
,76,6825.46147533321,6891.91425710637,6812.49032082566,6275.15927981655,7129.93204435902,6931.42895498784,6728.50570118336,6772.48630740751,6936.05135097821,6649.90706480289,6594.46271919668,6464.9173384227,3096.26695279729,5734.24082910572,5869.18693157459,6370.19427327123,5985.30953170479,6285.76846787411,6143.18218737491,5959.25622910866,6165.79857671668,6271.5879274582,6208.44819748646,6115.10689329937,6083.52602234623,6243.58394613078,6454.17482311342,6273.37743575728,5815.61432960637,6172.11464217511,5795.37816751079,6104.57790813378,5966.8991525194,6149.90680379723,6059.22282853771,6209.58295030754,7195.55963615517,6181.50370061032,6140.96335951624,5472.69963587118,6014.92824304272,6127.59801404773,6438.82263003917,6093.61015412705,6143.96492168198,6350.01356515632,6467.73655023633,6470.12704204432,6580.46853099004,6447.48089128645,6362.47911521888,6509.949509187,5919.49337210246,6022.18434140986,6327.5750147435,6336.64665898454,6304.31863850247,6561.93606241869,6556.52825728912,6313.19729584337,3241.69243932125,3214.94093674949,3090.87425828197
,76.5,6760.65810498319,6825.5902659671,6747.52455875261,6219.63021800661,7057.86150867308,6862.83302198625,6661.27351846603,6703.52831691885,6867.00737472373,6577.50029552585,6522.23942159198,6393.40629388767,3095.19943367245,5695.45068845032,5828.61873988731,6317.06916349598,5942.86828300264,6233.02661089053,6098.38632861655,5913.81239829898,6117.69169225127,6222.32119635237,6161.26780211749,6069.57126010188,6037.81560243559,6193.88946610963,6395.64065206424,6222.15615921805,5775.26412928429,6125.67964786548,5756.71633747897,6056.56652471038,5923.07980320341,6101.3086158842,6012.48151784988,6159.68860644243,7137.69101220721,6138.27947056978,6101.67483704983,5437.51938749025,5972.27679290699,6082.41931461649,6393.4763078832,6049.30786026565,6100.5861158642,6298.86375921529,6412.06727566372,6420.15221073467,6523.88749168393,6399.10946135676,6318.81881031277,6460.75425878331,5879.78088001675,5985.3385475341,6277.57023714101,6290.17959649888,6253.77625574934,6510.0434167927,6500.20141251547,6266.07848131582,3233.90070029687,3208.93861734761,3083.90246507006
