,Well,Fluor,Target,Content,Sample,Melt Temp
,G10,SYBR,,Std-5,,86
,G11,SYBR,,Std-5,,86
,G12,SYBR,,Std-5,,86
,G13,SYBR,,Std-6,,86
,G14,SYBR,,Std-6,,86
,G15,SYBR,,Std-6,,86
,G16,SYBR,,Std-7,,86
,G17,SYBR,,Std-7,,86
,G18,SYBR,,Std-7,,86
,G19,SYBR,,Std-8,,86
,G20,SYBR,,Std-8,,86
,G21,SYBR,,Std-8,,86
,H01,SYBR,,Unkn,,None
,H02,SYBR,,Unkn,,87.5
,H03,SYBR,,Unkn,,None
,H04,SYBR,,Unkn,,None
,H05,SYBR,,Unkn,,88.5
,H06,SYBR,,Unkn,,89.5
,H07,SYBR,,Unkn,,None
,H08,SYBR,,Unkn,,87
,H09,SYBR,,Unkn,,None
,H10,SYBR,,Unkn,,87.5
,H11,SYBR,,Unkn,,88
,H12,SYBR,,Unkn,,87.5
,H13,SYBR,,Unkn,,88
,H14,SYBR,,Unkn,,88.5
,H15,SYBR,,Unkn,,89
,H16,SYBR,,Unkn,,88.5
,H17,SYBR,,Unkn,,88
,H18,SYBR,,Unkn,,88.5
,H19,SYBR,,Unkn,,87.5
,H20,SYBR,,Unkn,,88.5
,H21,SYBR,,Unkn,,None
,H22,SYBR,,Unkn,,88.5
,H23,SYBR,,Unkn,,88.5
,H24,SYBR,,Unkn,,88.5
,I01,SYBR,,Unkn,,88.5
,I02,SYBR,,Unkn,,None
,I03,SYBR,,Unkn,,87.5
,I04,SYBR,,Unkn,,None
,I05,SYBR,,Unkn,,88.5
,I06,SYBR,,Unkn,,None
,I07,SYBR,,Unkn,,87.5
,I08,SYBR,,Unkn,,87
,I09,SYBR,,Unkn,,88
,I10,SYBR,,Unkn,,88.5
,I11,SYBR,,Unkn,,None
,I12,SYBR,,Unkn,,87
,I13,SYBR,,Unkn,,88.5
,I14,SYBR,,Unkn,,87.5
,I15,SYBR,,Unkn,,88.5
,I16,SYBR,,Unkn,,88.5
,I17,SYBR,,Unkn,,88
,I18,SYBR,,Unkn,,87.5
,I19,SYBR,,Unkn,,87.5
,I20,SYBR,,Unkn,,88
,I21,SYBR,,Unkn,,88.5
,I22,SYBR,,Unkn,,87.5
,I23,SYBR,,Unkn,,88.5
,I24,SYBR,,Unkn,,88
,J01,SYBR,,Neg Ctrl,,None
,J02,SYBR,,Neg Ctrl,,None
,J03,SYBR,,Neg Ctrl,,None
