,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Content,,,,,,,,,,,,,,,,,,,,,,,,
A,Sample,,,,,,,,,,,,,,,,,,,,,,,,
A,Cq,,,,,,,,,,,,,,,,,,,,,,,,
A,copy number,,,,,,,,,,,,,,,,,,,,,,,,
B,Content,,,,,,,,,,,,,,,,,,,,,,,,
B,Sample,,,,,,,,,,,,,,,,,,,,,,,,
B,Cq,,,,,,,,,,,,,,,,,,,,,,,,
B,copy number,,,,,,,,,,,,,,,,,,,,,,,,
C,Content,,,,,,,,,,,,,,,,,,,,,,,,
C,Sample,,,,,,,,,,,,,,,,,,,,,,,,
C,Cq,,,,,,,,,,,,,,,,,,,,,,,,
C,copy number,,,,,,,,,,,,,,,,,,,,,,,,
D,Content,,,,,,,,,,,,,,,,,,,,,,,,
D,Sample,,,,,,,,,,,,,,,,,,,,,,,,
D,Cq,,,,,,,,,,,,,,,,,,,,,,,,
D,copy number,,,,,,,,,,,,,,,,,,,,,,,,
E,Content,,,,,,,,,,,,,,,,,,,,,,,,
E,Sample,,,,,,,,,,,,,,,,,,,,,,,,
E,Cq,,,,,,,,,,,,,,,,,,,,,,,,
E,copy number,,,,,,,,,,,,,,,,,,,,,,,,
F,Content,,,,,,,,,,,,,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,,,,,,,,,,,,,
F,Cq,,,,,,,,,,,,,,,,,,,,,,,,
F,copy number,,,,,,,,,,,,,,,,,,,,,,,,
G,Content,,,,,,,,,,Std-5,Std-5,Std-5,Std-6,Std-6,Std-6,Std-7,Std-7,Std-7,Std-8,Std-8,Std-8,,,
G,Sample,,,,,,,,,,,,,,,,,,,,,,,,
G,Cq,,,,,,,,,,9.65542689396018,9.92731414171173,10.3044799862099,14.3062540485381,14.3364206475364,13.5482139196292,17.3781425641935,17.3673460978817,17.1710414091389,21.0135870141696,21.2888461527436,21.6813205337099,,,
G,copy number,,,,,,,,,,160000,160000,160000,16000,16000,16000,1600,1600,1600,160,160,160,,,
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,,,,,,,,,,,,,
H,Cq,NaN,21.2528675067985,19.4221403417831,20.7725086808479,18.6682597557033,20.7462590989853,19.3507785428021,21.1903487776213,19.4533520646839,19.3246264658825,19.1418784055454,19.1660000724313,19.6493719708851,18.7334132417146,21.1931021735583,20.1109240615228,19.0152020343199,19.0490555022888,19.298344525606,19.2098219710768,19.3429371804107,19.4565102169044,19.3007052306851,19.5086369292641
H,copy number,NaN,161.264038501167,498.705507961039,216.864052550914,793.869271820653,220.403126384012,521.142307825706,167.602827666023,489.198390269909,529.615149454928,592.794428433185,584.041666349044,433.497732896158,762.604809290263,167.318485554417,326.11714072449,640.959616430867,627.717170114006,538.268849397536,568.469828867901,523.668452106421,488.24656973721,537.485807989262,472.801219545509
I,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
I,Sample,,,,,,,,,,,,,,,,,,,,,,,,
I,Cq,19.4755612361683,18.1148863432063,19.3261114605075,18.825286114838,16.9685694347782,19.1409567484322,19.1313167762408,19.0561164782321,18.5158649306129,19.3687623170287,19.5851612610874,18.3789885613665,19.6907176695693,18.3593522280399,17.1000361832053,18.5703163861841,17.3612677349355,18.166075120222,17.8484209124679,18.6892839255408,18.3305324352932,18.6404418840969,18.493767880107,19.3525096259027
