,Well,Fluor,Target,Content,Sample,Cq,SQ
,G10,SYBR,,Std-5,,9.65542689396018,160000
,G11,SYBR,,Std-5,,9.92731414171173,160000
,G12,SYBR,,Std-5,,10.3044799862099,160000
,G13,SYBR,,Std-6,,14.3062540485381,16000
,G14,SYBR,,Std-6,,14.3364206475364,16000
,G15,SYBR,,Std-6,,13.5482139196292,16000
,G16,SYBR,,Std-7,,17.3781425641935,1600
,G17,SYBR,,Std-7,,17.3673460978817,1600
,G18,SYBR,,Std-7,,17.1710414091389,1600
,G19,SYBR,,Std-8,,21.0135870141696,160
,G20,SYBR,,Std-8,,21.2888461527436,160
,G21,SYBR,,Std-8,,21.6813205337099,160
,H01,SYBR,,Unkn,,NaN,NaN
,H02,SYBR,,Unkn,,21.2528675067985,161.264038501167
,H03,SYBR,,Unkn,,19.4221403417831,498.705507961039
,H04,SYBR,,Unkn,,20.7725086808479,216.864052550914
,H05,SYBR,,Unkn,,18.6682597557033,793.869271820653
,H06,SYBR,,Unkn,,20.7462590989853,220.403126384012
,H07,SYBR,,Unkn,,19.3507785428021,521.142307825706
,H08,SYBR,,Unkn,,21.1903487776213,167.602827666023
,H09,SYBR,,Unkn,,19.4533520646839,489.198390269909
,H10,SYBR,,Unkn,,19.3246264658825,529.615149454928
,H11,SYBR,,Unkn,,19.1418784055454,592.794428433185
,H12,SYBR,,Unkn,,19.1660000724313,584.041666349044
,H13,SYBR,,Unkn,,19.6493719708851,433.497732896158
,H14,SYBR,,Unkn,,18.7334132417146,762.604809290263
,H15,SYBR,,Unkn,,21.1931021735583,167.318485554417
,H16,SYBR,,Unkn,,20.1109240615228,326.11714072449
,H17,SYBR,,Unkn,,19.0152020343199,640.959616430867
,H18,SYBR,,Unkn,,19.0490555022888,627.717170114006
,H19,SYBR,,Unkn,,19.298344525606,538.268849397536
,H20,SYBR,,Unkn,,19.2098219710768,568.469828867901
,H21,SYBR,,Unkn,,19.3429371804107,523.668452106421
,H22,SYBR,,Unkn,,19.4565102169044,488.24656973721
,H23,SYBR,,Unkn,,19.3007052306851,537.485807989262
,H24,SYBR,,Unkn,,19.5086369292641,472.801219545509
,I01,SYBR,,Unkn,,19.4755612361683,482.544026096375
,I02,SYBR,,Unkn,,18.1148863432063,1116.74456503826
,I03,SYBR,,Unkn,,19.3261114605075,529.130367694038
,I04,SYBR,,Unkn,,18.825286114838,720.599709103634
,I05,SYBR,,Unkn,,16.9685694347782,2264.44223188382
,I06,SYBR,,Unkn,,19.1409567484322,593.13144926747
,I07,SYBR,,Unkn,,19.1313167762408,596.667985373224
,I08,SYBR,,Unkn,,19.0561164782321,624.989804397385
,I09,SYBR,,Unkn,,18.5158649306129,872.094366422193
,I10,SYBR,,Unkn,,19.3687623170287,515.394648519432
,I11,SYBR,,Unkn,,19.5851612610874,451.00752478678
,I12,SYBR,,Unkn,,18.3789885613665,948.902970634035
,I13,SYBR,,Unkn,,19.6907176695693,422.584532141022
,I14,SYBR,,Unkn,,18.3593522280399,960.463406142851
,I15,SYBR,,Unkn,,17.1000361832053,2088.10209507933
,I16,SYBR,,Unkn,,18.5703163861841,843.296414890317
,I17,SYBR,,Unkn,,17.3612677349355,1777.41365259281
,I18,SYBR,,Unkn,,18.166075120222,1082.04278460576
,I19,SYBR,,Unkn,,17.8484209124679,1316.19066439426
,I20,SYBR,,Unkn,,18.6892839255408,783.643046258712
,I21,SYBR,,Unkn,,18.3305324352932,977.685917987163
,I22,SYBR,,Unkn,,18.6404418840969,807.605362470932
,I23,SYBR,,Unkn,,18.493767880107,884.059567597779
,I24,SYBR,,Unkn,,19.3525096259027,520.586272618945
,J01,SYBR,,Neg Ctrl,,NaN,NaN
,J02,SYBR,,Neg Ctrl,,NaN,NaN
,J03,SYBR,,Neg Ctrl,,NaN,NaN
