,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-3,,4186.81476668198,(+) Positive,Standard,Positive,False
,A02,SYBR,,Std-3,,5190.34649934434,(+) Positive,Standard,Positive,False
,A03,SYBR,,Std-3,,5014.28051139222,(+) Positive,Standard,Positive,False
,A04,SYBR,,Std-4,,5644.53529718671,(+) Positive,Standard,Positive,False
,A05,SYBR,,Std-4,,4030.56001174286,(+) Positive,Standard,Positive,False
,A06,SYBR,,Std-4,,5241.18132309045,(+) Positive,Standard,Positive,False
,A07,SYBR,,Std-5,,5330.06307252119,(+) Positive,Standard,Positive,False
,A08,SYBR,,Std-5,,5217.62606174239,(+) Positive,Standard,Positive,False
,A09,SYBR,,Std-5,,5024.24152169765,(+) Positive,Standard,Positive,False
,A10,SYBR,,Std-6,,5600.14685408193,(+) Positive,Standard,Positive,False
,A11,SYBR,,Std-6,,5763.59931488056,(+) Positive,Standard,Positive,False
,A12,SYBR,,Std-6,,4412.59969096925,(+) Positive,Standard,Positive,False
,A13,SYBR,,Std-7,,5061.40106854466,(+) Positive,Standard,Positive,False
,A14,SYBR,,Std-7,,5065.25670340626,(+) Positive,Standard,Positive,False
,A15,SYBR,,Std-7,,5400.87026263502,(+) Positive,Standard,Positive,False
,A19,SYBR,,Unkn-1,,3654.19106215523,,Unknown,NoCall,False
,A20,SYBR,,Unkn-1,,3677.27702274648,,Unknown,NoCall,False
,A21,SYBR,,Unkn-1,,3836.58042281176,,Unknown,NoCall,False
,A22,SYBR,,Unkn,,3681.81012712126,,Unknown,NoCall,False
,A23,SYBR,,Unkn,,3682.92636854792,,Unknown,NoCall,False
,A24,SYBR,,Unkn,,3836.68421746406,,Unknown,NoCall,False
,B01,SYBR,,Unkn,,3589.64498084485,,Unknown,NoCall,False
,B02,SYBR,,Unkn,,3827.51241798815,,Unknown,NoCall,False
,B03,SYBR,,Unkn,,3793.75674998202,,Unknown,NoCall,False
,B04,SYBR,,Unkn,,3300.44475448166,,Unknown,NoCall,False
,B05,SYBR,,Unkn,,3261.98092709276,,Unknown,NoCall,False
,B06,SYBR,,Unkn,,3048.30942984011,,Unknown,NoCall,False
,B07,SYBR,,Unkn,,3587.99111903102,,Unknown,NoCall,False
,B08,SYBR,,Unkn,,3331.54758077032,,Unknown,NoCall,False
,B09,SYBR,,Unkn,,3448.96198958423,,Unknown,NoCall,False
,B10,SYBR,,Unkn,,3797.47839979294,,Unknown,NoCall,False
,B11,SYBR,,Unkn,,3369.28109831122,,Unknown,NoCall,False
,B12,SYBR,,Unkn,,3204.56560287311,,Unknown,NoCall,False
,B13,SYBR,,Unkn,,3401.12562495299,,Unknown,NoCall,False
,B14,SYBR,,Unkn,,3362.27137594984,,Unknown,NoCall,False
,B15,SYBR,,Unkn,,3584.95274158536,,Unknown,NoCall,False
,B16,SYBR,,Unkn,,3453.54455293349,,Unknown,NoCall,False
,B17,SYBR,,Unkn,,3481.05710170081,,Unknown,NoCall,False
,B18,SYBR,,Unkn,,3646.99197950666,,Unknown,NoCall,False
,B19,SYBR,,Unkn,,3182.50521764301,,Unknown,NoCall,False
,B20,SYBR,,Unkn,,3169.23679764612,,Unknown,NoCall,False
,B21,SYBR,,Unkn,,3228.05246704459,,Unknown,NoCall,False
,B22,SYBR,,Unkn,,2993.27617957069,,Unknown,NoCall,False
,B23,SYBR,,Unkn,,2807.25213779724,,Unknown,NoCall,False
,B24,SYBR,,Unkn,,3286.95094801244,,Unknown,NoCall,False
,C01,SYBR,,Unkn,,3226.74513356142,,Unknown,NoCall,False
,C02,SYBR,,Unkn,,2911.21814687334,,Unknown,NoCall,False
,C03,SYBR,,Unkn,,3416.29656075698,,Unknown,NoCall,False
,C04,SYBR,,Unkn,,3414.67444810468,,Unknown,NoCall,False
,C05,SYBR,,Unkn,,3264.27249428126,,Unknown,NoCall,False
,C06,SYBR,,Unkn,,3288.69919737872,,Unknown,NoCall,False
,C07,SYBR,,Unkn,,2867.32093948921,,Unknown,NoCall,False
,C08,SYBR,,Unkn,,3587.37697261686,,Unknown,NoCall,False
,C09,SYBR,,Unkn,,3431.93623752255,,Unknown,NoCall,False
,C10,SYBR,,Unkn,,3783.40266807125,,Unknown,NoCall,False
,C11,SYBR,,Unkn,,3315.36253524387,,Unknown,NoCall,False
,C13,SYBR,,Unkn,,3114.16622501347,,Unknown,NoCall,False
,C14,SYBR,,Unkn,,3400.67455008646,,Unknown,NoCall,False
,C15,SYBR,,Unkn,,3369.99008009586,,Unknown,NoCall,False
,C16,SYBR,,Unkn,,2890.65996811683,,Unknown,NoCall,False
,C17,SYBR,,Unkn,,3487.97070832426,,Unknown,NoCall,False
,C18,SYBR,,Unkn,,3518.04223513106,,Unknown,NoCall,False
,C19,SYBR,,Unkn,,3577.77078801745,,Unknown,NoCall,False
,C20,SYBR,,Unkn,,3238.78440314466,,Unknown,NoCall,False
,C21,SYBR,,Unkn,,3235.66173460891,,Unknown,NoCall,False
,C22,SYBR,,Neg Ctrl,,4159.74863403737,,ControlNegative,Negative,True
,C23,SYBR,,Neg Ctrl,,3892.46250643579,,ControlNegative,Negative,True
,C24,SYBR,,Neg Ctrl,,3015.89191403323,,ControlNegative,Negative,True
