,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-3,,84,628.521014656447,76.5,91,
,A02,SYBR,,Std-3,,84,725.973698755203,77,91,
,A03,SYBR,,Std-3,,84,721.208892971314,76.5,92,
,A04,SYBR,,Std-4,,83.5,764.800646762441,77,92,
,A05,SYBR,,Std-4,,83.5,584.761140613934,77,90,
,A06,SYBR,,Std-4,,83.5,725.861461866695,76.5,90,
,A07,SYBR,,Std-5,,84,748.324049030878,76,90.5,
,A08,SYBR,,Std-5,,83.5,738.128260005052,76,90.5,
,A09,SYBR,,Std-5,,83.5,717.204946754857,76,90,
,A10,SYBR,,Std-6,,83.5,788.572945974957,76,91,
,A11,SYBR,,Std-6,,83.5,812.282401529741,76,90,
,A12,SYBR,,Std-6,,83.5,607.629817959276,76.5,91,
,A13,SYBR,,Std-7,,83.5,729.969388573622,76,91.5,
,A14,SYBR,,Std-7,,83.5,736.587310270103,76.5,91.5,
,A15,SYBR,,Std-7,,83.5,779.636877639637,76,90,
,A19,SYBR,,Unkn-1,,83.5,403.998225853996,67.5,93,
,A20,SYBR,,Unkn-1,,83.5,407.16312214952,67.5,93,
,A21,SYBR,,Unkn-1,,83.5,417.733866363218,67.5,92.5,
,A22,SYBR,,Unkn,,83.5,429.855742299813,67.5,93,
,A23,SYBR,,Unkn,,83.5,426.075233050296,67.5,92,
,A24,SYBR,,Unkn,,84,395.117221738941,67.5,93.5,
,B01,SYBR,,Unkn,,84,356.73428354635,67.5,93.5,
,B02,SYBR,,Unkn,,83.5,434.663378036435,67.5,93.5,
,B03,SYBR,,Unkn,,84,368.816719995947,67.5,93,
,B04,SYBR,,Unkn,,84,347.41311518662,67.5,93.5,
,B05,SYBR,,Unkn,,83.5,365.21116639138,67.5,93,
,B06,SYBR,,Unkn,,None,None,None,None,
,B07,SYBR,,Unkn,,83.5,362.445079843956,67.5,93,
,B08,SYBR,,Unkn,,83.5,363.241615543683,67.5,93.5,
,B09,SYBR,,Unkn,,83.5,368.629397215427,67.5,93.5,
,B10,SYBR,,Unkn,,83.5,419.271349371163,67.5,95,
,B11,SYBR,,Unkn,,84,400.847182176047,67.5,93.5,
,B12,SYBR,,Unkn,,None,None,None,None,
,B13,SYBR,,Unkn,,84,397.25260236949,67.5,93.5,
,B14,SYBR,,Unkn,,84,352.729923368964,67.5,93,
,B15,SYBR,,Unkn,,83.5,403.721407406819,67.5,92.5,
,B16,SYBR,,Unkn,,83.5,357.131683980896,67.5,94,
,B17,SYBR,,Unkn,,83.5,372.48443941394,67.5,95,
,B18,SYBR,,Unkn,,84,397.118150099555,67.5,93,
,B19,SYBR,,Unkn,,83.5,365.599587691433,67.5,93.5,
,B20,SYBR,,Unkn,,83.5,408.927614768368,67.5,94,
,B21,SYBR,,Unkn,,83.5,382.056270632342,67.5,94,
,B22,SYBR,,Unkn,,83.5,370.706528809228,67.5,94,
,B23,SYBR,,Unkn,,83.5,392.487857758033,67.5,95,
,B24,SYBR,,Unkn,,84,374.988204995347,67.5,92.5,
,C01,SYBR,,Unkn,,84,402.526810784308,67.5,95,
,C02,SYBR,,Unkn,,84,375.628947016222,67.5,93.5,
,C03,SYBR,,Unkn,,84,406.27146932531,67.5,93.5,
,C04,SYBR,,Unkn,,84,387.243526620879,67.5,93.5,
,C05,SYBR,,Unkn,,83.5,348.487878372343,67.5,92,
,C06,SYBR,,Unkn,,84,343.626896759215,67.5,94,
,C07,SYBR,,Unkn,,83.5,394.010034037721,67.5,95,
,C08,SYBR,,Unkn,,84,425.38859511771,67.5,93.5,
,C09,SYBR,,Unkn,,84,389.465786728407,67.5,93.5,
,C10,SYBR,,Unkn,,84,417.771621780222,67.5,94,
,C11,SYBR,,Unkn,,83.5,384.777051293016,67.5,94,
,C13,SYBR,,Unkn,,84,385.847296364607,67.5,94,
,C14,SYBR,,Unkn,,83.5,361.52225688891,67.5,94,
,C15,SYBR,,Unkn,,84,370.309225285836,67.5,95,
,C16,SYBR,,Unkn,,84,369.659615815861,67.5,94,
,C17,SYBR,,Unkn,,83.5,416.631308425117,67.5,95,
,C18,SYBR,,Unkn,,84,447.902945370491,67.5,95,
,C19,SYBR,,Unkn,,84,413.501509521306,67.5,95,
,C20,SYBR,,Unkn,,84,444.988246996549,67.5,95,
,C21,SYBR,,Unkn,,84,363.02360351203,67.5,92,
,C22,SYBR,,Neg Ctrl,,83.5,633.63995880143,67.5,90,
,C23,SYBR,,Neg Ctrl,,84,574.679542365804,67.5,91.5,
,C24,SYBR,,Neg Ctrl,,83,423.067852588946,67.5,93,
