,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Content,Std-3,Std-3,Std-3,Std-4,Std-4,Std-4,Std-5,Std-5,Std-5,Std-6,Std-6,Std-6,Std-7,Std-7,Std-7,,,,Unkn-1,Unkn-1,Unkn-1,Unkn,Unkn,Unkn
A,Sample,,,,,,,,,,,,,,,,,,,,,,,,
A,Cq,15.4406309260284,15.7537420063919,15.8769093542648,19.0671869090806,19.5784014005832,19.2785951233749,21.4736352186654,21.7381776732716,21.7346458596583,25.4595301573056,25.3489803811479,25.8433223669894,29.0172399821187,29.27178079775,29.1734023356736,,,,18.9855869612002,18.9467087030358,18.9575822401155,18.0602895303225,18.0688528844508,18.6257444280239
A,copy number,17600000,17600000,17600000,1760000,1760000,1760000,176000,176000,176000,17600,17600,17600,1760,1760,1760,,,,1721128.69234093,1768211.71119131,1754915.20353157,3271671.20702224,3252280.4893,2209519.06319491
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,,,,,,,,,,,,,
B,Cq,19.4377815601142,17.0837793071991,19.5692081194556,18.2480536938351,18.6685811002235,18.3106297521182,19.1597302025928,18.4054588658945,18.1103462220417,17.4131292216029,17.4490465213989,19.9729093693256,18.2389850166929,17.3589276197649,17.2502349284338,17.8626806870512,17.1852661805433,17.6616529477915,17.3279573268176,17.0324774084813,17.1964231114856,16.8888933565087,16.5642894932265,18.86364762099
B,copy number,1257438.84163854,6444147.33161885,1147796.05507051,2871858.19165761,2144783.51185516,2749778.55678494,1525151.84620228,2574594.76474132,3159938.92204436,5127124.81043313,5000870.79243623,867277.152578966,2889994.34451957,5323710.73824999,5740937.84998156,3752703.57975159,6005780.52871304,4314689.93028251,5439403.73419258,6677775.68612396,5959446.07743599,7377669.22614911,9242297.07641048,1873161.85664889
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Neg Ctrl,Neg Ctrl,Neg Ctrl
C,Sample,,,,,,,,,,,,,,,,,,,,,,,,
C,Cq,16.8131097384668,16.888868918951,17.6597963874903,18.1893217876946,17.0333014959389,16.3513150902277,16.8795324579632,17.1775898940372,17.1780664755678,17.7734385112309,17.0809966321867,,16.4669890296939,17.4616387681908,17.2386480191684,17.0831230114976,16.4846888652468,16.3779619516987,17.8011410041939,16.3824780125078,18.3846216482604,31.9334840169979,31.2829852423203,28.3121872692821
C,copy number,7776178.68847851,7377794.38200711,4320254.21128467,2991364.50695718,6673956.67052165,10714869.9273095,7425766.34370685,6037868.98160242,6035871.79072834,3992535.30200665,6456607.33015839,,9888122.07341108,4957347.41176487,5787300.5516901,6447083.8618185,9767371.76471358,10518491.8683887,3916490.59528171,10485568.579938,2612106.21793048,214.938589571242,337.617620477817,2654.93378116164
D,Content,,,,,,,,,,,,,,,,,,,,,,,,
D,Sample,,,,,,,,,,,,,,,,,,,,,,,,
D,Cq,,,,,,,,,,,,,,,,,,,,,,,,
D,copy number,,,,,,,,,,,,,,,,,,,,,,,,
E,Content,,,,,,,,,,,,,,,,,,,,,,,,
E,Sample,,,,,,,,,,,,,,,,,,,,,,,,
E,Cq,,,,,,,,,,,,,,,,,,,,,,,,
E,copy number,,,,,,,,,,,,,,,,,,,,,,,,
F,Content,,,,,,,,,,,,,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,,,,,,,,,,,,,
F,Cq,,,,,,,,,,,,,,,,,,,,,,,,
F,copy number,,,,,,,,,,,,,,,,,,,,,,,,
G,Content,,,,,,,,,,,,,,,,,,,,,,,,
G,Sample,,,,,,,,,,,,,,,,,,,,,,,,
G,Cq,,,,,,,,,,,,,,,,,,,,,,,,
G,copy number,,,,,,,,,,,,,,,,,,,,,,,,
H,Content,,,,,,,,,,,,,,,,,,,,,,,,
H,Sample,,,,,,,,,,,,,,,,,,,,,,,,
H,Cq,,,,,,,,,,,,,,,,,,,,,,,,
H,copy number,,,,,,,,,,,,,,,,,,,,,,,,
I,Content,,,,,,,,,,,,,,,,,,,,,,,,
I,Sample,,,,,,,,,,,,,,,,,,,,,,,,
I,Cq,,,,,,,,,,,,,,,,,,,,,,,,
I,copy number,,,,,,,,,,,,,,,,,,,,,,,,
J,Content,,,,,,,,,,,,,,,,,,,,,,,,
J,Sample,,,,,,,,,,,,,,,,,,,,,,,,
J,Cq,,,,,,,,,,,,,,,,,,,,,,,,
J,copy number,,,,,,,,,,,,,,,,,,,,,,,,
K,Content,,,,,,,,,,,,,,,,,,,,,,,,
K,Sample,,,,,,,,,,,,,,,,,,,,,,,,
K,Cq,,,,,,,,,,,,,,,,,,,,,,,,
