,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,G07,SYBR,,Std-3,,,10.0852524754564,10.3780835592138,0.338124246409386,15300000,7.1846914308176,15300000,0,72,
,G08,SYBR,,Std-3,,,10.7481404955145,10.3780835592138,0.338124246409386,15300000,7.1846914308176,15300000,0,72,
,G09,SYBR,,Std-3,,,10.3008577066705,10.3780835592138,0.338124246409386,15300000,7.1846914308176,15300000,0,72,
,G10,SYBR,,Std-4,,,13.7163057608212,14.0376517138803,0.281318442489269,1530000,6.1846914308176,1530000,0,72,
,G11,SYBR,,Std-4,,,14.2394665173503,14.0376517138803,0.281318442489269,1530000,6.1846914308176,1530000,0,72,
,G12,SYBR,,Std-4,,,14.1571828634695,14.0376517138803,0.281318442489269,1530000,6.1846914308176,1530000,0,72,
,G13,SYBR,,Std-5,,,18.1268613818687,18.0844276917924,0.0725676921539087,153000,5.1846914308176,153000,0,72,
,G14,SYBR,,Std-5,,,18.1257856532216,18.0844276917924,0.0725676921539087,153000,5.1846914308176,153000,0,72,
,G15,SYBR,,Std-5,,,18.0006360402869,18.0844276917924,0.0725676921539087,153000,5.1846914308176,153000,0,72,
,G16,SYBR,,Std-6,,,21.9052577749297,22.2922026277236,0.395468322335176,15300,4.1846914308176,15300,0,72,
,G17,SYBR,,Std-6,,,22.6956761366007,22.2922026277236,0.395468322335176,15300,4.1846914308176,15300,0,72,
,G18,SYBR,,Std-6,,,22.2756739716404,22.2922026277236,0.395468322335176,15300,4.1846914308176,15300,0,72,
,H01,SYBR,,Unkn,,,22.9692974235669,22.9692974235669,0,9614.32369176652,3.98291873971707,9614.32369176652,0,72,
,H02,SYBR,,Unkn,,,23.162715720861,23.162715720861,0,8596.22758862571,3.93430790509487,8596.22758862571,0,72,
,H03,SYBR,,Unkn,,,22.0498177713087,22.0498177713087,0,16368.4242631983,4.21400687325823,16368.4242631983,0,72,
,H04,SYBR,,Unkn,,,22.9834233691667,22.9834233691667,0,9536.05040185271,3.97936853782282,9536.05040185271,0,72,
,H05,SYBR,,Unkn,,,19.7427366997371,19.7427366997371,0,62206.21794109,4.79383379759334,62206.21794109,0,72,
,H06,SYBR,,Unkn,,,23.4489114073853,23.4489114073853,0,7284.16545944639,3.8623798022119,7284.16545944639,0,72,
,H07,SYBR,,Unkn,,,21.8968768262161,21.8968768262161,0,17883.1797289418,4.25244474130312,17883.1797289418,0,72,
,H08,SYBR,,Unkn,,,23.278890171129,23.278890171129,0,8037.30358413598,3.9051103727605,8037.30358413598,0,72,
,H09,SYBR,,Unkn,,,21.3513845881612,21.3513845881612,0,24521.1325311645,4.38954052460155,24521.1325311645,0,72,
