,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,G07,SYBR,,Std-3,,2799.13227448416,(+) Positive,Standard,Positive,False
,G08,SYBR,,Std-3,,3091.39400308938,(+) Positive,Standard,Positive,False
,G09,SYBR,,Std-3,,2934.12676314557,(+) Positive,Standard,Positive,False
,G10,SYBR,,Std-4,,2754.79084547824,(+) Positive,Standard,Positive,False
,G11,SYBR,,Std-4,,2877.51133998089,(+) Positive,Standard,Positive,False
,G12,SYBR,,Std-4,,2922.48924537831,(+) Positive,Standard,Positive,False
,G13,SYBR,,Std-5,,3093.54136683865,(+) Positive,Standard,Positive,False
,G14,SYBR,,Std-5,,2980.89735290665,(+) Positive,Standard,Positive,False
,G15,SYBR,,Std-5,,3193.17477805665,(+) Positive,Standard,Positive,False
,G16,SYBR,,Std-6,,2989.42204096422,(+) Positive,Standard,Positive,False
,G17,SYBR,,Std-6,,2793.78453022896,(+) Positive,Standard,Positive,False
,G18,SYBR,,Std-6,,2907.23455353869,(+) Positive,Standard,Positive,False
,H01,SYBR,,Unkn,,2056.75005468023,(+) Positive,Unknown,Positive,False
,H02,SYBR,,Unkn,,1984.7387244701,(+) Positive,Unknown,Positive,False
,H03,SYBR,,Unkn,,1933.57698657406,(+) Positive,Unknown,Positive,False
,H04,SYBR,,Unkn,,2301.34180402556,(+) Positive,Unknown,Positive,False
,H05,SYBR,,Unkn,,1811.00648494037,(+) Positive,Unknown,Positive,False
,H06,SYBR,,Unkn,,2331.3599264802,(+) Positive,Unknown,Positive,False
,H07,SYBR,,Unkn,,2115.05613333651,(+) Positive,Unknown,Positive,False
,H08,SYBR,,Unkn,,2199.16093762188,(+) Positive,Unknown,Positive,False
,H09,SYBR,,Unkn,,2471.80374269693,(+) Positive,Unknown,Positive,False
,H10,SYBR,,Unkn,,1702.30406549077,(+) Positive,Unknown,Positive,False
,H11,SYBR,,Unkn,,319.756042980442,,Unknown,NoCall,False
,H12,SYBR,,Unkn,,2112.18945654167,(+) Positive,Unknown,Positive,False
,H13,SYBR,,Unkn,,2251.47491630231,(+) Positive,Unknown,Positive,False
,H14,SYBR,,Unkn,,2384.63795649656,(+) Positive,Unknown,Positive,False
,H15,SYBR,,Unkn,,2618.1314887845,(+) Positive,Unknown,Positive,False
,H16,SYBR,,Unkn,,2339.82812667856,(+) Positive,Unknown,Positive,False
,H17,SYBR,,Unkn,,2228.29263166155,(+) Positive,Unknown,Positive,False
,H18,SYBR,,Unkn,,2372.04642355012,(+) Positive,Unknown,Positive,False
,H19,SYBR,,Unkn,,2348.68987436339,(+) Positive,Unknown,Positive,False
,H20,SYBR,,Unkn,,2286.74268068832,(+) Positive,Unknown,Positive,False
,H21,SYBR,,Unkn,,2427.1936945255,(+) Positive,Unknown,Positive,False
,H22,SYBR,,Unkn,,2454.31395969595,(+) Positive,Unknown,Positive,False
,H23,SYBR,,Unkn,,2341.13929351113,(+) Positive,Unknown,Positive,False
,H24,SYBR,,Unkn,,2223.76080140681,(+) Positive,Unknown,Positive,False
,I01,SYBR,,Unkn,,1897.47338986578,(+) Positive,Unknown,Positive,False
,I02,SYBR,,Unkn,,1672.89727195369,(+) Positive,Unknown,Positive,False
,I03,SYBR,,Unkn,,2243.65785474098,(+) Positive,Unknown,Positive,False
,I04,SYBR,,Unkn,,2048.36616333064,(+) Positive,Unknown,Positive,False
,I05,SYBR,,Unkn,,1948.9869390178,(+) Positive,Unknown,Positive,False
,I06,SYBR,,Unkn,,2052.9460361167,(+) Positive,Unknown,Positive,False
,I07,SYBR,,Unkn,,2302.26141668629,(+) Positive,Unknown,Positive,False
,I08,SYBR,,Unkn,,2007.4083948879,(+) Positive,Unknown,Positive,False
,I09,SYBR,,Unkn,,2034.74864978023,(+) Positive,Unknown,Positive,False
,I10,SYBR,,Unkn,,2069.56589017198,(+) Positive,Unknown,Positive,False
,I11,SYBR,,Unkn,,1240.73665941158,(+) Positive,Unknown,Positive,False
,I12,SYBR,,Unkn,,2118.36596514758,(+) Positive,Unknown,Positive,False
,I13,SYBR,,Unkn,,2017.88860502025,(+) Positive,Unknown,Positive,False
,I14,SYBR,,Unkn,,1467.39940413267,(+) Positive,Unknown,Positive,False
,I15,SYBR,,Unkn,,2126.86191698069,(+) Positive,Unknown,Positive,False
,I16,SYBR,,Unkn,,592.331307645637,(+) Positive,Unknown,Positive,False
,I17,SYBR,,Unkn,,2049.54221759833,(+) Positive,Unknown,Positive,False
,I18,SYBR,,Unkn,,2397.31941463249,(+) Positive,Unknown,Positive,False
,I19,SYBR,,Unkn,,2247.56667483828,(+) Positive,Unknown,Positive,False
,I20,SYBR,,Unkn,,2532.50626080621,(+) Positive,Unknown,Positive,False
,I21,SYBR,,Unkn,,2452.65956869819,(+) Positive,Unknown,Positive,False
,I22,SYBR,,Unkn,,2740.97541610503,(+) Positive,Unknown,Positive,False
,I23,SYBR,,Unkn,,2571.39617250789,(+) Positive,Unknown,Positive,False
,I24,SYBR,,Unkn,,2697.6427761704,(+) Positive,Unknown,Positive,False
,J01,SYBR,,Neg Ctrl,,152.114792598172,,ControlNegative,Negative,True
