,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,G07,SYBR,,Std-3,,87.9,916.956517505265,83.4,91.2,
,G08,SYBR,,Std-3,,87.9,1006.20907476782,83.7,91.2,
,G09,SYBR,,Std-3,,87.9,967.104629826827,83.1,91.2,
,G10,SYBR,,Std-4,,87.9,959.599656249215,84,90.9,
,G11,SYBR,,Std-4,,87.9,997.576911559629,84,91.2,
,G12,SYBR,,Std-4,,87.9,1009.2883707305,84.3,90.9,
,G13,SYBR,,Std-5,,87.9,1016.63742236615,83.7,90.9,
,G14,SYBR,,Std-5,,87.9,982.972002679238,83.7,90.9,
,G15,SYBR,,Std-5,,87.9,1026.46931280498,84.3,90.9,
,G16,SYBR,,Std-6,,87.9,983.981384359058,83.7,90.9,
,G17,SYBR,,Std-6,,87.9,922.301716708919,82.5,90.3,
,G18,SYBR,,Std-6,,87.9,930.52800832242,84,92.4,
,H01,SYBR,,Unkn,,89.7,353.25760056363,81.6,94.5,
,H02,SYBR,,Unkn,,89.4,350.415875276813,81.3,94.5,
,H03,SYBR,,Unkn,,None,None,None,None,
,H04,SYBR,,Unkn,,90,388.05135927292,73.5,94.5,
,H05,SYBR,,Unkn,,89.7,349.806480604889,73.5,94.5,
,H06,SYBR,,Unkn,,89.7,382.530277397966,73.5,94.5,
,H07,SYBR,,Unkn,,89.7,321.718415286209,73.5,94.5,
,H08,SYBR,,Unkn,,88.2,387.126646851233,73.5,94.5,
,H09,SYBR,,Unkn,,90.3,422.980155291704,73.5,94.5,
,H10,SYBR,,Unkn,,None,None,None,None,
,H11,SYBR,,Unkn,,None,None,None,None,
,H12,SYBR,,Unkn,,89.7,341.255884988121,73.5,94.5,
,H13,SYBR,,Unkn,,89.4,376.999565975368,73.5,94.5,
,H14,SYBR,,Unkn,,89.7,424.634656363852,73.5,94.5,
,H15,SYBR,,Unkn,,89.7,417.632447549848,81.6,94.5,
,H16,SYBR,,Unkn,,89.7,395.122433793334,81.3,94.5,
,H17,SYBR,,Unkn,,89.7,369.874081551419,73.8,94.5,
,H18,SYBR,,Unkn,,89.7,388.714862000826,73.5,94.5,
,H19,SYBR,,Unkn,,89.7,380.707651866543,73.5,94.5,
,H20,SYBR,,Unkn,,89.7,415.893008489271,80.4,94.5,
,H21,SYBR,,Unkn,,89.7,435.529668635504,73.5,94.5,
,H22,SYBR,,Unkn,,89.7,410.100594370996,73.5,94.5,
,H23,SYBR,,Unkn,,89.7,444.412718503092,73.5,94.5,
,H24,SYBR,,Unkn,,89.7,383.780205472321,73.8,94.5,
,I01,SYBR,,Unkn,,89.4,376.141031498501,73.5,94.5,
,I02,SYBR,,Unkn,,None,None,None,None,
,I03,SYBR,,Unkn,,89.7,352.459103226081,73.5,94.5,
,I04,SYBR,,Unkn,,90,346.310235041531,73.5,94.5,
,I05,SYBR,,Unkn,,89.7,319.878316015669,73.5,94.5,
,I06,SYBR,,Unkn,,89.7,355.835786070987,73.5,94.5,
,I07,SYBR,,Unkn,,89.7,403.198787707875,73.5,94.5,
,I08,SYBR,,Unkn,,89.7,315.671942789605,73.5,94.5,
,I09,SYBR,,Unkn,,89.4,342.266012231676,73.8,94.5,
,I10,SYBR,,Unkn,,89.7,332.123621734984,73.5,94.5,
,I11,SYBR,,Unkn,,None,None,None,None,
,I12,SYBR,,Unkn,,89.7,339.531511459328,73.8,94.5,
,I13,SYBR,,Unkn,,89.4,306.900923679783,73.5,94.5,
,I14,SYBR,,Unkn,,None,None,None,None,
,I15,SYBR,,Unkn,,89.7,365.285567795268,74.4,94.5,
,I16,SYBR,,Unkn,,None,None,None,None,
,I17,SYBR,,Unkn,,89.7,398.250453254108,73.5,94.5,
,I18,SYBR,,Unkn,,89.4,416.956704007379,74.1,94.5,
,I19,SYBR,,Unkn,,89.7,363.281997711027,73.5,94.5,
,I20,SYBR,,Unkn,,89.7,501.116736664756,73.5,94.5,
,I21,SYBR,,Unkn,,89.7,469.551930367987,80.7,94.5,
,I22,SYBR,,Unkn,,89.7,491.628826617897,73.8,94.5,
,I23,SYBR,,Unkn,,89.7,476.977939970667,80.7,94.5,
,I24,SYBR,,Unkn,,89.7,469.884895663227,73.8,94.5,
,J01,SYBR,,Neg Ctrl,,None,None,None,None,
