,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Content,,,,,,,,,,,,,,,,,,,,,,,,
A,Sample,,,,,,,,,,,,,,,,,,,,,,,,
A,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
A,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
B,Content,,,,,,,,,,,,,,,,,,,,,,,,
B,Sample,,,,,,,,,,,,,,,,,,,,,,,,
B,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
B,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
C,Content,,,,,,,,,,,,,,,,,,,,,,,,
C,Sample,,,,,,,,,,,,,,,,,,,,,,,,
C,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
C,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
D,Content,,,,,,,,,,,,,,,,,,,,,,,,
D,Sample,,,,,,,,,,,,,,,,,,,,,,,,
D,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
D,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
E,Content,,,,,,,,,,,,,,,,,,,,,,,,
E,Sample,,,,,,,,,,,,,,,,,,,,,,,,
E,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
E,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
F,Content,,,,,,,,,,,,,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,,,,,,,,,,,,,
F,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
F,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
G,Content,,,,,,,Std-3,Std-3,Std-3,Std-4,Std-4,Std-4,Std-5,Std-5,Std-5,Std-6,Std-6,Std-6,,,,,,
G,Sample,,,,,,,,,,,,,,,,,,,,,,,,
G,Peak 1,,,,,,,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,,,,,,
G,Peak 2,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,,,,,,,,,,,,,
H,Peak 1,89.7,89.4,None,90,89.7,89.7,89.7,88.2,90.3,None,None,89.7,89.4,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7,89.7
H,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
I,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
I,Sample,,,,,,,,,,,,,,,,,,,,,,,,
I,Peak 1,89.4,None,89.7,90,89.7,89.7,89.7,89.7,89.4,89.7,None,89.7,89.4,None,89.7,None,89.7,89.4,89.7,89.7,89.7,89.7,89.7,89.7
I,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
J,Content,Neg Ctrl,,,,,,,,,,,,,,,,,,,,,,,
J,Sample,,,,,,,,,,,,,,,,,,,,,,,,
J,Peak 1,None,,,,,,,,,,,,,,,,,,,,,,,
J,Peak 2,None,,,,,,,,,,,,,,,,,,,,,,,
K,Content,,,,,,,,,,,,,,,,,,,,,,,,
K,Sample,,,,,,,,,,,,,,,,,,,,,,,,
K,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
K,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
L,Content,,,,,,,,,,,,,,,,,,,,,,,,
L,Sample,,,,,,,,,,,,,,,,,,,,,,,,
L,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
L,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
M,Content,,,,,,,,,,,,,,,,,,,,,,,,
M,Sample,,,,,,,,,,,,,,,,,,,,,,,,
M,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
M,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
N,Content,,,,,,,,,,,,,,,,,,,,,,,,
N,Sample,,,,,,,,,,,,,,,,,,,,,,,,
N,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
N,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
O,Content,,,,,,,,,,,,,,,,,,,,,,,,
O,Sample,,,,,,,,,,,,,,,,,,,,,,,,
O,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
O,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
P,Content,,,,,,,,,,,,,,,,,,,,,,,,
P,Sample,,,,,,,,,,,,,,,,,,,,,,,,
P,Peak 1,,,,,,,,,,,,,,,,,,,,,,,,
P,Peak 2,,,,,,,,,,,,,,,,,,,,,,,,
