,Temperature,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,J1
,72,5787.03935839764,6053.01712896105,6122.78790915581,6136.53837593005,6265.62710288393,6107.97890766904,6136.19502846258,6049.152598928,6241.97607045043,6042.31506042597,5839.48761010358,5982.22072398418,5246.69384022295,5205.34774758798,4993.33271823373,5375.53198744372,5033.76132468851,5371.88777657312,5167.10318219711,5327.87882165929,5659.02692395987,4756.24802477806,3698.41447769608,5271.41983995062,5421.5636379057,5482.96477663856,5589.42528201683,5403.5128736506,5254.43092117269,5436.95502026277,5255.54881192177,5376.7263271146,5407.79270862175,5477.65376569287,5468.70909457101,5318.27736930486,5224.42454940694,5071.3742622502,5369.25636090019,5327.4280066995,5219.84475217229,5203.92189839589,5423.52581707776,5122.59403955823,5277.91268794216,5322.0577761036,4345.68682328705,5314.59078163722,5564.65395501697,4629.63475215327,5429.05168601439,3993.19620801067,5303.30113635863,5487.4779431678,5302.54514293462,5653.81633112643,5699.53442113376,5766.80048777884,5733.89410098044,5677.69292469453,3506.01897806729
,72.3,5769.89999210235,6034.41726685538,6104.75102327809,6118.50805698108,6246.32462334606,6089.18190744389,6114.95849589617,6028.17955486666,6220.26512153894,6021.99461492698,5820.51935575435,5963.5714720076,5241.82267498676,5200.97980162887,4990.68300371863,5369.89950624713,5032.43261270393,5365.93577371988,5164.32988734311,5321.89117134661,5652.13928345375,4754.74425738103,3686.11539422715,5268.56618261585,5421.0621853886,5481.59705580307,5581.8039524713,5401.35300964918,5255.656161098,5433.74736047565,5254.82205344205,5376.98714439756,5403.61605989367,5475.2473191866,5468.29305290151,5319.01996151884,5221.5620311366,5069.40987836681,5366.58753191891,5324.03881219779,5217.71595010355,5201.89024208489,5421.69243060883,5121.19193547039,5278.92952235574,5319.95609646341,4341.7700922834,5315.36533480232,5564.69870686722,4629.21001347217,5433.21033348222,3984.81343253761,5302.40626341371,5490.46192036781,5301.3839568775,5653.67545717128,5699.62949266521,5767.49176581462,5733.17333065625,5678.51057490855,3498.67267619174
,72.6,5752.76062580707,6015.81740474971,6086.71413740036,6100.47773803211,6227.0221438082,6070.38490721874,6093.72196332975,6007.20651080532,6198.55417262746,6001.67416942799,5801.55110140513,5944.92222003102,5236.95150975056,5196.61185566976,4988.03328920352,5364.26702505054,5031.10390071935,5359.98377086665,5161.55659248911,5315.90352103392,5645.25164294763,4753.240489984,3673.81631075822,5265.71252528107,5420.5607328715,5480.22933496758,5574.18262292577,5399.19314564775,5256.88140102331,5430.53970068852,5254.09529496232,5377.24796168052,5399.4394111656,5472.84087268032,5467.87701123201,5319.76255373281,5218.69951286626,5067.44549448342,5363.91870293763,5320.64961769609,5215.58714803481,5199.85858577388,5419.85904413989,5119.78983138256,5279.94635676932,5317.85441682323,4337.85336127975,5316.13988796742,5564.74345871746,4628.78527479107,5437.36898095004,3976.43065706455,5301.51139046878,5493.44589756782,5300.22277082037,5653.53458321613,5699.72456419666,5768.1830438504,5732.45256033206,5679.32822512257,3491.32637431618
,72.9,5735.62125951178,5997.21754264403,6068.67725152264,6082.44741908313,6207.71966427033,6051.58790699359,6072.48543076334,5986.23346674398,6176.84322371597,5981.353723929,5782.5828470559,5926.27296805444,5232.08034451437,5192.24390971065,4985.38357468841,5358.63454385394,5029.77518873478,5354.03176801341,5158.78329763512,5309.91587072124,5638.36400244151,4751.73672258698,3661.51722728929,5262.8588679463,5420.0592803544,5478.86161413209,5566.56129338024,5397.03328164632,5258.10664094863,5427.3320409014,5253.36853648259,5377.50877896347,5395.26276243753,5470.43442617405,5467.4609695625,5320.50514594679,5215.83699459593,5065.48111060003,5361.24987395635,5317.26042319439,5213.45834596607,5197.82692946288,5418.02565767095,5118.38772729472,5280.9631911829,5315.75273718304,4333.9366302761,5316.91444113252,5564.78821056771,4628.36053610997,5441.52762841787,3968.04788159149,5300.61651752386,5496.42987476783,5299.06158476324,5653.39370926098,5699.81963572811,5768.87432188618,5731.73179000786,5680.14587533659,3483.98007244063
,73.2,5718.4818932165,5978.61768053836,6050.64036564491,6064.41710013416,6188.41718473246,6032.79090676843,6051.24889819692,5965.26042268264,6155.13227480449,5961.03327843,5763.61459270668,5907.62371607786,5227.20917927817,5187.87596375154,4982.73386017331,5353.00206265735,5028.4464767502,5348.07976516018,5156.01000278112,5303.92822040856,5631.4763619354,4750.23295518995,3649.21814382036,5260.00521061152,5419.5578278373,5477.49389329661,5558.93996383471,5394.87341764489,5259.33188087394,5424.12438111428,5252.64177800286,5377.76959624643,5391.08611370946,5468.02797966777,5467.044927893,5321.24773816076,5212.97447632559,5063.51672671664,5358.58104497507,5313.87122869269,5211.32954389733,5195.79527315188,5416.19227120201,5116.98562320689,5281.98002559648,5313.65105754286,4330.01989927245,5317.68899429761,5564.83296241795,4627.93579742887,5445.6862758857,3959.66510611844,5299.72164457894,5499.41385196785,5297.90039870611,5653.25283530584,5699.91470725956,5769.56559992196,5731.01101968367,5680.96352555061,3476.63377056507
,73.5,5701.34252692131,5960.01781843269,6032.6034797671,6046.38678118517,6169.11470519477,6013.99390654342,6030.0123656305,5944.28737862132,6133.42132589306,5940.712832931,5744.64633835744,5888.97446410125,5222.33801404198,5183.50801779242,4980.08414565804,5347.36958146078,5027.11776476566,5342.12776230693,5153.23670792708,5297.94057009574,5624.58872142922,4748.72918779296,3636.91906035151,5257.15155327684,5419.05637532029,5476.12617246118,5551.3186342893,5392.71355364348,5260.55712079924,5420.91672132723,5251.91501952304,5378.03041352937,5386.90946498149,5465.62153316155,5466.62888622341,5321.99033037489,5210.11195805511,5061.55234283334,5355.91221599374,5310.48203419097,5209.20074182871,5193.76361684093,5414.35888473312,5115.58351911907,5282.99686001014,5311.54937790274,4326.10316826877,5318.46354746268,5564.87771426817,4627.51105874762,5449.84492335356,3951.28233064541,5298.82677163419,5502.39782916792,5296.73921264891,5653.11196135066,5700.00977879099,5770.25687795769,5730.29024935944,5681.78117576462,3469.28746868955
,73.8,5684.20316062602,5941.41795632702,6014.56659388938,6028.3564622362,6149.8122256569,5995.19690631827,6008.77583306408,5923.31433455998,6111.71037698158,5920.39238743201,5725.67808400822,5870.32521212467,5217.46684880579,5179.14007183331,4977.43443114293,5341.73710026419,5025.78905278108,5336.17575945369,5150.46341307308,5291.95291978306,5617.7010809231,4747.22542039593,3624.61997688258,5254.29789594207,5418.55492280319,5474.75845162569,5543.69730474377,5390.55368964205,5261.78236072455,5417.7090615401,5251.18826104331,5378.29123081232,5382.73281625342,5463.21508665528,5466.21284455391,5322.73292258886,5207.24943978477,5059.58795894995,5353.24338701246,5307.09283968927,5207.07193975997,5191.73196052992,5412.52549826418,5114.18141503123,5284.01369442372,5309.44769826255,4322.18643726512,5319.23810062778,5564.92246611841,4627.08632006652,5454.00357082138,3942.89955517235,5297.93189868927,5505.38180636794,5295.57802659178,5652.97108739551,5700.10485032244,5770.94815599347,5729.56947903525,5682.59882597863,3461.941166814
,74.1,5666.7390318161,5922.61518120056,5996.19830065343,6010.02452063872,6130.28695853712,5975.98883744356,5987.09666051907,5902.17551082056,6089.49439630705,5899.47715339867,5706.33740387572,5850.94865638583,5210.88784397799,5172.86191085603,4973.19691553709,5334.62514035639,5022.29380314246,5328.24276538584,5146.02873343566,5283.71763413207,5609.25209398223,4744.99037155971,3611.22594983954,5249.79848798737,5415.97866022208,5471.09584644912,5534.58778556412,5386.32113009499,5260.68853543815,5412.48834432952,5248.29885597613,5376.30505659411,5376.74540939209,5458.78775222413,5463.29340146946,5320.68590816263,5202.69639143664,5055.79325684971,5348.38886466178,5301.76042311197,5203.28822908606,5188.18305816171,5408.14740519607,5110.96447151906,5282.78996991509,5305.47280888843,4317.02842845733,5318.02960001191,5562.5280910008,4625.27182734901,5455.82025367882,3932.21905120328,5295.26909944598,5506.45136089952,5292.81848104083,5650.79351845749,5698.17699745033,5768.99685709394,5726.51752306253,5680.68920854284,3453.61181033933
,74.4,5648.90632999966,5903.40837806996,5977.54422607024,5991.36225183069,6110.88163600773,5956.41481482352,5965.44751528992,5881.07636472015,6067.27282061668,5878.20019992691,5686.75050317783,5831.326778906,5202.4677465228,5165.4062696607,4967.90912447485,5326.19022572426,5017.35144731436,5318.49569750277,5140.46755491546,5274.1515116939,5599.39514798556,4741.92125209854,3596.84930929126,5243.95797429115,5412.12995810669,5465.88469133146,5524.32053639366,5380.47397598963,5258.16769021989,5405.95717382835,5243.84011749685,5372.42225085735,5369.30189882935,5452.92871567008,5458.46181417986,5316.75635320139,5196.57680916461,5050.58743981051,5341.83750593226,5294.84382514799,5197.53873185518,5183.09894107439,5401.91657203933,5106.41782552123,5280.24268501365,5300.07813606771,4311.07952640081,5315.34826831488,5558.36485007504,4622.32587610813,5455.93966958259,3920.11462514245,5291.10427379524,5505.99003004588,5288.7375489176,5647.13273576148,5694.79041421426,5765.56863525341,5721.85980464175,5677.26494447164,3444.72613486027
,74.7,5631.3900331857,5884.26298950764,5958.86602745379,5972.62107102279,6091.41505071181,5936.89045304157,5943.66106297184,5860.25773196037,6045.12702762741,5856.90719055157,5667.14198089994,5811.6769560691,5193.48193373679,5156.76124682141,4962.05364329337,5316.5223999688,5011.39908722572,5307.72240133956,5134.18601667323,5263.44353819944,5588.43307603731,4738.53680818786,3581.44052228724,5237.32699776951,5406.97791363616,5459.07684421213,5512.93524278704,5373.58732368416,5254.36255299547,5398.34187414097,5238.13991423203,5366.85438408314,5360.97219582394,5445.81828236468,5452.52215976425,5311.49266330864,5189.46188870167,5044.45520539032,5334.53062062934,5286.87208126134,5190.60476860697,5176.76561188862,5394.78092276739,5100.68080223692,5276.35844232924,5293.42476646793,4304.5688738035,5311.62051311341,5553.04105866182,4618.60964507616,5454.74465552114,3907.01688587911,5285.89310295588,5504.2081490205,5283.78871453641,5642.54934467199,5690.10345081368,5760.81578793941,5715.76448873567,5672.64172307831,3434.94133927881
,75,5614.02922091919,5864.99114026868,5940.26711713452,5954.14485808928,6072.20277961905,5917.59618565125,5922.02650593299,5839.80718262825,6022.97653375834,5835.5522469455,5647.28994533542,5791.78591909543,5183.33322366932,5147.16635434267,4955.46905574131,5305.92335695801,5004.35774635671,5296.21279662003,5127.48461875988,5251.71464169297,5576.94641289759,4734.67906823824,3564.87020444277,5229.87949384324,5400.69254550914,5451.28490729663,5500.84481836208,5365.63776398288,5249.3543084826,5390.0947296495,5231.81335304276,5360.30287747148,5351.86424058962,5437.57452830706,5445.46747218331,5305.13575215704,5181.49506928662,5036.97370016833,5326.48049324863,5278.25660430289,5182.81986990073,5169.70249239447,5386.79803154038,5094.14232928246,5271.62330546984,5285.68399038703,4297.26645656347,5306.85460236939,5546.7330410665,4614.81389427767,5452.33686913322,3892.96968520909,5279.6328337974,5501.40509786914,5278.24729194927,5637.04738638328,5684.69762690646,5754.83830179079,5708.80714502236,5666.94285991632,3424.68766246537
,75.3,5596.38343786814,5845.73977637082,5921.91644882959,5935.70445195929,6053.10424692352,5898.44028654953,5900.18500092227,5819.96123862148,6000.84857101546,5814.24268610229,5627.56281778251,5771.86700672748,5172.20318500671,5136.89109756743,4948.36793802107,5294.88473268866,4996.69386082162,5284.34262462604,5120.34113901013,5239.1871215347,5565.56079855346,4730.63122159223,3546.90896238824,5221.7096041343,5393.58708059889,5443.07198168776,5487.99308300502,5356.68218289248,5243.16547953868,5380.78368383371,5225.01933958981,5352.9551817243,5342.16646653032,5428.409264494,5437.55655553222,5297.85259454363,5172.82893407403,5028.73465982708,5317.91396685052,5269.05845745025,5174.21419929671,5162.06649235844,5378.09436776538,5086.70730299958,5266.01948809653,5277.44455960184,4289.61048493613,5301.31177302678,5539.33244863672,4610.60097723935,5449.02638297235,3878.17906627276,5272.5132490662,5497.51757238286,5272.08187541133,5630.68066577293,5678.58462877176,5747.78487125151,5701.10365695474,5659.76848078402,3413.76263448149
