,Well,Fluor,Target,Content,Sample,Cq,SQ
,G07,SYBR,,Std-3,,10.0852524754564,15300000
,G08,SYBR,,Std-3,,10.7481404955145,15300000
,G09,SYBR,,Std-3,,10.3008577066705,15300000
,G10,SYBR,,Std-4,,13.7163057608212,1530000
,G11,SYBR,,Std-4,,14.2394665173503,1530000
,G12,SYBR,,Std-4,,14.1571828634695,1530000
,G13,SYBR,,Std-5,,18.1268613818687,153000
,G14,SYBR,,Std-5,,18.1257856532216,153000
,G15,SYBR,,Std-5,,18.0006360402869,153000
,G16,SYBR,,Std-6,,21.9052577749297,15300
,G17,SYBR,,Std-6,,22.6956761366007,15300
,G18,SYBR,,Std-6,,22.2756739716404,15300
,H01,SYBR,,Unkn,,22.9692974235669,9614.32369176652
,H02,SYBR,,Unkn,,23.162715720861,8596.22758862571
,H03,SYBR,,Unkn,,22.0498177713087,16368.4242631983
,H04,SYBR,,Unkn,,22.9834233691667,9536.05040185271
,H05,SYBR,,Unkn,,19.7427366997371,62206.21794109
,H06,SYBR,,Unkn,,23.4489114073853,7284.16545944639
,H07,SYBR,,Unkn,,21.8968768262161,17883.1797289418
,H08,SYBR,,Unkn,,23.278890171129,8037.30358413598
,H09,SYBR,,Unkn,,21.3513845881612,24521.1325311645
,H10,SYBR,,Unkn,,22.2906442475424,14239.0554973637
,H11,SYBR,,Unkn,,34.3784684899766,13.0469782674621
,H12,SYBR,,Unkn,,20.2413947404629,46613.1673760986
,H13,SYBR,,Unkn,,20.5373052271504,39277.0571166637
,H14,SYBR,,Unkn,,20.3458132897184,43879.9003554525
,H15,SYBR,,Unkn,,23.2945232309159,7964.91958651349
,H16,SYBR,,Unkn,,21.1412279326539,27692.2424620291
,H17,SYBR,,Unkn,,20.6356408225545,37104.3438857947
,H18,SYBR,,Unkn,,20.3711722903912,43240.6570309464
,H19,SYBR,,Unkn,,21.8394159788438,18487.8361339897
,H20,SYBR,,Unkn,,20.1885729714755,48060.0302993644
,H21,SYBR,,Unkn,,21.403475727877,23792.9736711041
,H22,SYBR,,Unkn,,21.2805823529671,25546.7047887013
,H23,SYBR,,Unkn,,20.2671766740593,45922.8647624918
,H24,SYBR,,Unkn,,20.7334304191468,35062.8969732833
,I01,SYBR,,Unkn,,19.7556641082648,61742.5863668586
,I02,SYBR,,Unkn,,19.7582413227302,61650.5704897933
,I03,SYBR,,Unkn,,22.2149783365791,14876.4021620247
,I04,SYBR,,Unkn,,20.8811748950026,32189.625916873
,I05,SYBR,,Unkn,,20.1190709395811,50032.434055157
,I06,SYBR,,Unkn,,20.996983078003,30103.0464982445
,I07,SYBR,,Unkn,,21.5956550610228,21288.7063721434
,I08,SYBR,,Unkn,,21.3427384097255,24644.1318998397
,I09,SYBR,,Unkn,,20.2064682111164,47564.8926500921
,I10,SYBR,,Unkn,,20.0723599727128,51403.3307712825
,I11,SYBR,,Unkn,,24.2960660489721,4461.37516005058
,I12,SYBR,,Unkn,,19.3208581286434,79407.6581374369
,I13,SYBR,,Unkn,,20.047873424593,52136.9162254903
,I14,SYBR,,Unkn,,21.1038489421912,28297.7820017435
,I15,SYBR,,Unkn,,18.7613653131882,109768.28153041
,I16,SYBR,,Unkn,,32.3760444460908,41.5689414784979
,I17,SYBR,,Unkn,,18.5603703469009,123308.185023382
,I18,SYBR,,Unkn,,20.5049135804338,40020.2472752539
,I19,SYBR,,Unkn,,20.9571328786948,30805.3251313755
,I20,SYBR,,Unkn,,19.4043722100343,75661.1990987236
,I21,SYBR,,Unkn,,18.7447585469915,110828.271279757
,I22,SYBR,,Unkn,,21.0434133062835,29304.9764596356
,I23,SYBR,,Unkn,,19.9543742405055,55035.6390131553
,I24,SYBR,,Unkn,,21.7884870524386,19040.8262729122
,J01,SYBR,,Neg Ctrl,,NaN,NaN
