	shannon
1100SP3-16S-V3-V4	7.36409908781
1300SP3-16S-V3-V4	7.12845360309
1500SP3-16S-V3-V4	7.27854287981
900SP1-16S-V3-V4	7.98084660446
600SP4-16S-V3-V4	8.20877633086
200SP4-16S-V3-V4	7.00917459809
1500SP2-16S-V3-V4	7.42390957703
300SP1-16S-V3-V4	7.22092741582
1100SP2-16S-V3-V4	7.20381736935
500SP1-16S-V3-V4	7.21465020658
800SP4-16S-V3-V4	7.68761144408
1300SP2-16S-V3-V4	7.02438742977
300SP3-16S-V3-V4	7.4822432283
500SP3-16S-V3-V4	7.22905736693
900SP3-16S-V3-V4	7.48925556753
1400SP4-16S-V3-V4	6.89356222378
1000SP4-16S-V3-V4	7.48701258111
1200SP4-16S-V3-V4	7.26182944937
900SP2-16S-V3-V4	7.51095057147
500SP2-16S-V3-V4	7.07475257836
1300SP1-16S-V3-V4	7.05637871155
1100SP1-16S-V3-V4	7.27165682959
1500SP1-16S-V3-V4	7.07235696688
300SP2-16S-V3-V4	7.49501339121
600SP3-16S-V3-V4	8.15629577837
200SP3-16S-V3-V4	7.28715740664
800SP3-16S-V3-V4	8.00047370906
1100SP4-16S-V3-V4	7.30770664324
800SP2-16S-V3-V4	7.05540064273
1300SP4-16S-V3-V4	7.13629682803
1500SP4-16S-V3-V4	7.22577949798
200SP2-16S-V3-V4	7.07094405667
1400SP1-16S-V3-V4	6.9199281644
1200SP1-16S-V3-V4	7.64457264183
1000SP1-16S-V3-V4	7.43488089158
600SP2-16S-V3-V4	7.0903638116
1400SP3-16S-V3-V4	7.02019201442
1000SP3-16S-V3-V4	7.13901656226
1200SP3-16S-V3-V4	7.74617746998
300SP4-16S-V3-V4	7.40681717119
500SP4-16S-V3-V4	7.25557317704
800SP1-16S-V3-V4	7.68732535364
1000SP2-16S-V3-V4	7.35323310318
600SP1-16S-V3-V4	8.15636080064
1200SP2-16S-V3-V4	7.42177813625
900SP4-16S-V3-V4	7.29929398806
200SP1-16S-V3-V4	7.28381278586
1400SP2-16S-V3-V4	7.17007720849
