	simpson
1100SP3-16S-V3-V4	0.986658126736
1300SP3-16S-V3-V4	0.981902968002
1500SP3-16S-V3-V4	0.983266557557
900SP1-16S-V3-V4	0.989520580978
600SP4-16S-V3-V4	0.990512597319
200SP4-16S-V3-V4	0.980819385707
1500SP2-16S-V3-V4	0.983741065946
300SP1-16S-V3-V4	0.985922520354
1100SP2-16S-V3-V4	0.983783565975
500SP1-16S-V3-V4	0.982988653418
800SP4-16S-V3-V4	0.987333302815
1300SP2-16S-V3-V4	0.979387690586
300SP3-16S-V3-V4	0.986337691477
500SP3-16S-V3-V4	0.983899095688
900SP3-16S-V3-V4	0.984300532994
1400SP4-16S-V3-V4	0.980088578402
1000SP4-16S-V3-V4	0.983628245737
1200SP4-16S-V3-V4	0.978285539444
900SP2-16S-V3-V4	0.986042420022
500SP2-16S-V3-V4	0.981026395653
1300SP1-16S-V3-V4	0.981980309945
1100SP1-16S-V3-V4	0.983032645901
1500SP1-16S-V3-V4	0.981136557077
300SP2-16S-V3-V4	0.987540964899
600SP3-16S-V3-V4	0.987360925739
200SP3-16S-V3-V4	0.982879419205
800SP3-16S-V3-V4	0.99040828594
1100SP4-16S-V3-V4	0.981337202689
800SP2-16S-V3-V4	0.981477620832
1300SP4-16S-V3-V4	0.980648760111
1500SP4-16S-V3-V4	0.980330514559
200SP2-16S-V3-V4	0.981310027766
1400SP1-16S-V3-V4	0.979875938088
1200SP1-16S-V3-V4	0.984698566124
1000SP1-16S-V3-V4	0.980967748667
600SP2-16S-V3-V4	0.975814223775
1400SP3-16S-V3-V4	0.979815538415
1000SP3-16S-V3-V4	0.980964624733
1200SP3-16S-V3-V4	0.98593043232
300SP4-16S-V3-V4	0.985645119422
500SP4-16S-V3-V4	0.985039940082
800SP1-16S-V3-V4	0.987294586366
1000SP2-16S-V3-V4	0.981204413402
600SP1-16S-V3-V4	0.986999395012
1200SP2-16S-V3-V4	0.982147690562
900SP4-16S-V3-V4	0.983306317819
200SP1-16S-V3-V4	0.982743814704
1400SP2-16S-V3-V4	0.982056328864
